company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
5.18민주유공자유족회,799820,9,1450860,0,0,9,1450860,0,1,9,1451680,1,1,9,1451680,1,0,9,1451680,0,0,9,1451680,0,1,9,1451680,1,0,9,1451680,0,1,8,1337560,0,0,8,1337560,0,0,8,1337560,0,0,8,1337560,0,0
5.18민주유공자유족회광주광역시지부,883820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,450800,2,0,3,450360,0,0,3,450360,0,0,3,450360,0,0,3,450360,0,0
5.18민주화운동교육관,593820,,,,,,,,,,,,,,,,,,,,,6,1359260,6,1,5,1122200,0,0,5,1122200,0,0,5,1122200,0,1,4,865340,0,0,5,1108520,1,0,5,1108520,0,0
5.18민중항쟁기념행사위원회,514829,4,1102500,1,1,4,1116000,1,0,4,1116000,0,0,5,1383300,1,0,5,1383300,0,0,5,1383300,0,0,6,1630800,1,0,6,1630800,0,1,5,1425760,0,0,5,1425760,0,0,5,1425760,0,0,5,1425760,0,0
5.1관광,201814,55,15958840,2,0,55,15958840,0,2,57,16864760,4,5,53,15582540,1,3,55,16483620,5,3,59,17847980,7,1,59,17852400,1,1,61,18256580,3,2,60,19181520,1,0,64,20073860,4,2,65,20381400,3,1,65,20331100,1,3
5007동민호,612928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2816880,0,1,10,2265620,0,0,10,2265620,0,0,11,2715620,1,0,11,2715620,0,8
500글로벌매니지먼트코리아유한회사,104866,6,3113360,0,0,6,3113360,0,0,6,3113360,0,0,6,3113360,0,0,7,3413320,1,0,7,3413320,0,1,7,3155020,1,1,6,2599720,0,0,6,2714380,0,0,6,2714380,0,0,6,2714380,0,0,6,2714380,0,0
5067부대,124830,13,2488460,0,0,13,2488460,0,0,13,2488460,0,0,13,2488460,0,0,13,2488460,0,0,13,2488460,0,0,13,2488460,0,0,13,2488460,0,0,13,2719840,0,0,13,2719840,0,0,13,2719840,0,0,13,2719840,0,1
517디자인그룹,114872,4,1377440,0,0,4,1385460,0,0,4,1385460,0,0,4,1385460,0,0,4,1385460,0,0,4,1385460,0,0,4,1385460,0,0,4,1385460,0,0,4,1392640,0,0,4,1392640,0,0,4,1392640,0,0,4,1392640,0,0
518민주화운동공로자회,641820,9,1531500,2,1,8,1383000,0,1,7,1236580,0,0,7,1236580,0,0,7,1236580,0,1,6,1090960,0,0,8,1387960,2,0,8,1387960,0,1,7,1237100,0,0,7,1237100,0,0,7,1237100,0,0,7,1237100,0,0
518민주화운동부상자회,262820,11,1643880,0,2,10,1492960,1,1,9,1346180,0,0,9,1346180,0,0,10,1494680,1,0,10,1494680,0,0,11,1697260,1,3,10,1542020,2,2,8,1272400,0,0,8,1272400,0,0,8,1272400,0,0,8,1272400,0,0
518민주화운동부상자회,401821,3,556200,0,0,6,1019700,3,2,4,648900,0,2,,,,,,,,,,,,,,,,,3,741600,1,1,,,,,,,,,,,,,,,,
518민주화운동부상자회대전의류사업소,674820,,,,,,,,,,,,,3,360000,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518민주화운동부상자회환경관리사업소,297820,5,918000,0,1,4,911700,0,1,3,726300,0,0,3,726300,0,0,3,726300,0,0,3,726300,0,0,3,726300,0,0,3,726300,0,0,3,720880,0,0,3,720880,0,0,3,720880,0,0,3,720880,0,0
52어린이집,140801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2014140,0,0,11,2089420,0,0,11,2089420,0,0,11,2089420,0,0,11,2089420,0,0
54케이,550870,3,405000,0,0,3,405000,0,0,3,405000,0,0,3,405000,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55플란트치과의원,398600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3835720,0,0,12,3927560,0,1,11,3354260,0,0,11,3354260,0,1,12,3581680,2,1
55플란트치과의원,776960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5820840,1,1,19,5903600,0,1,19,5912600,1,1,19,5945000,1,1,18,5657000,0,0
56몬스터주식회사,897860,5,1065860,0,0,5,1065860,0,0,5,1065860,0,0,5,1065860,0,0,5,1065860,0,0,5,1065860,0,0,5,1065860,0,0,5,1065860,0,1,4,1289420,0,0,4,1289420,0,0,5,1541420,1,0,5,1541420,0,0
5708부대,135830,16,3754180,0,0,16,3754180,0,0,16,3754180,0,1,15,3495080,0,0,15,3495080,0,0,15,3495080,0,1,14,3296720,0,0,14,3296720,0,0,14,2829600,0,1,13,2659860,0,0,13,2659860,0,0,13,2659860,0,0
5708부대,135830,19,3691280,0,0,19,3691280,0,0,21,4086000,2,1,20,3889260,0,0,20,3889260,0,0,20,3889260,0,0,20,3889260,0,1,19,3692520,0,0,19,3298080,0,1,18,3123480,0,1,18,3169640,1,0,18,3169640,0,0
5767부대,221830,15,3022820,2,0,15,3022820,0,0,15,3022820,0,0,15,3022820,0,0,15,3022820,0,0,15,3022820,0,0,16,3225760,1,1,15,3031820,0,0,15,3169980,0,1,,,,,,,,,,,,
57번중도매인,122906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2394840,0,0,11,2717820,1,0,11,2717820,0,1,11,2721700,1,0,11,2721700,0,0
593아트디엔에이주식회사,368880,4,1241520,0,0,4,1241520,0,0,4,1241520,0,0,4,1241520,0,0,4,1241520,0,1,4,1150360,1,0,4,1150360,0,0,4,1150360,0,0,4,1180520,0,0,5,1402460,1,0,6,1609460,1,0,6,1609460,0,1
5g엔지니어링,554880,4,1328640,0,0,4,1328640,0,0,4,1328640,0,0,4,1328640,0,0,4,1328640,0,0,4,1328640,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,
5minlab,220886,102,36080040,0,0,109,38686860,7,1,112,39781260,4,1,114,40322600,3,3,115,41004700,4,5,111,39858560,1,5,107,38379060,1,2,105,37847800,0,0,107,42954400,2,0,110,44160400,3,2,111,44339340,3,1,110,43766040,0,2
5to7&구욱희씨가산점알디파트너스주식회사,119854,4,774000,0,1,4,774000,1,0,4,774000,0,0,4,774000,0,0,4,774000,0,0,4,774000,0,0,4,774000,0,1,3,585000,0,1,3,593080,1,0,4,800080,1,0,4,800080,0,0,4,800080,0,0
5T국제특허법률사무소,220047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,5776200,1,0,19,5757860,0,0,19,5757860,0,0,19,5525120,0,1,18,5435120,0,0
5T국제특허법률사무소,220047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,7643820,3,0,18,7630660,0,1,17,7348440,0,0,17,7348440,0,0,17,7348440,0,0
5락발전소,419810,4,508300,0,0,4,508300,0,1,3,328300,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,162000,1,0,3,162000,0,0
5바코드（5BarCode）,305338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2757000,0,0,12,2763100,0,2,10,2259560,0,0,10,2259560,0,0,10,2259560,0,1
5브릭스,308860,10,2492440,0,0,10,2492440,0,1,10,2492440,1,1,9,2303440,0,0,11,2701960,2,0,12,2953960,1,0,13,3205960,1,2,11,2611960,0,1,11,2721840,1,2,9,2244840,0,1,8,2066560,0,0,9,2246560,1,0
5아침주식회사,212870,5,1278900,0,0,5,1278900,0,0,5,1278900,0,0,5,1278900,0,0,5,1278900,0,1,5,1114560,1,0,5,1114560,0,0,5,925460,0,0,5,1049460,0,0,5,1089780,0,0,5,1089780,0,0,5,1376440,0,0
5튼튼의원,410919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3485260,0,1,13,3517140,1,1,12,3225180,0,1,12,3228420,1,0,12,3228420,0,0
5,314810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,864000,1,0,4,1224000,1,0,4,1224000,0,0
5,302826,12,1994440,2,1,12,1994440,1,0,12,1994440,0,0,12,1994440,0,0,12,1994440,0,0,13,2288480,1,0,13,2288480,0,1,12,2092640,0,0,12,2330120,0,1,13,2534960,2,0,13,2534960,0,0,14,2653120,1,1
5,210800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3273700,1,0,16,3510120,1,2,15,3245620,1,2,16,3379800,3,0,16,3379800,0,2
5,108801,17,3583460,0,0,17,3583460,0,1,18,3685340,2,0,18,3685340,0,5,17,3229860,4,1,17,3234640,1,0,17,3234640,0,0,17,3234640,0,0,18,3480060,1,0,18,3480060,0,0,18,3480060,0,1,18,3488880,1,1
5263,808090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
5,139820,3,577140,0,0,3,577140,0,0,3,577140,0,0,3,577140,0,0,3,577140,0,0,3,577140,0,0,3,577140,0,0,3,577140,0,0,3,654380,0,2,3,610820,2,1,3,605240,1,0,3,605240,0,0
5,657850,3,767780,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,117810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1697520,1,0,6,1697520,0,0,6,1697520,0,0
