company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
가가애경재가복지센터,615803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2140140,1,0,14,2165440,0,1,13,2039440,0,0,13,2039440,0,0,13,2039440,0,1
가가월드재가센터,264820,8,955580,1,0,8,955580,0,2,8,1078360,2,0,10,1242160,2,1,9,1167100,0,1,9,1127500,1,1,9,1233700,1,1,8,1038760,0,0,9,1163400,1,0,9,1163400,0,0,9,1163400,0,0,9,1163400,0,0
가가이앤지주식회사,122864,5,1754280,0,0,5,1754280,0,0,5,1754280,0,0,5,1754280,0,0,5,1754280,0,0,5,1754280,0,0,5,1754280,0,0,5,1754280,0,0,5,1981400,0,0,5,1981400,0,0,5,1981400,0,0,5,1981400,0,3
가가이앤지주식회사,122864,,,,,,,,,4,1035000,3,0,4,1035000,0,1,3,765000,0,0,3,765000,0,1,,,,,,,,,,,,,0,0,0,0,,,,,,,,
가가이앤지주식회사,122864,4,2042260,0,0,4,2042260,0,0,4,2042260,0,0,4,2042260,0,0,4,2042260,0,0,4,2042260,0,0,4,2042260,0,1,3,1585700,0,1,,,,,,,,,,,,,,,,
가가이앤지주식회사,122864,4,1638900,0,0,4,1638900,0,0,4,1638900,0,1,3,1118520,0,0,3,1118520,0,0,4,1568520,1,0,4,1568520,0,1,4,1698020,1,0,4,1731040,0,0,6,2797440,2,0,6,2797440,0,0,6,2797440,0,0
가가이앤지주식회사,122864,93,28321740,4,67,26,8502460,0,11,15,4301880,0,7,8,2685640,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
가가이앤지주식회사,122864,12,3810940,0,0,18,5212900,6,6,12,2711040,0,2,12,3453820,2,8,9,2166820,5,2,9,2493040,2,0,10,2650340,1,5,5,1756340,0,0,6,1899000,1,2,9,2285700,5,0,9,2726240,0,0,9,2002140,0,0
가가이엔지,617817,3,861740,0,0,3,657000,0,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가가이엔지,617817,30,8335820,0,3,27,7723020,0,2,31,8939160,6,1,31,8994520,1,1,32,8986780,2,5,31,8946940,4,1,36,10377000,6,1,35,10141660,0,2,35,10315020,2,1,35,10475580,1,0,37,10947900,2,0,38,11183340,1,1
가가이엔지,617817,4,686300,0,0,4,686300,0,4,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
가가이엔지,617817,6,1207420,0,1,5,1005920,0,1,5,1017160,1,0,5,1017160,0,0,5,1017160,0,1,4,821960,0,0,5,1011400,1,0,5,1011400,0,0,5,1015640,0,0,6,1210840,1,0,6,1210840,0,0,6,1210840,0,0
가가이엔지,839880,8,2099840,1,0,8,2099840,0,0,8,2099840,0,0,8,2099840,0,0,8,2099840,0,0,8,2099840,0,0,8,2099840,0,0,8,2099840,0,0,8,2355180,0,0,8,2355180,0,0,8,2355180,0,0,9,2577120,1,0
