company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
나너앤정상어학원주식회사,126867,13,4409880,0,0,13,4409880,0,0,13,4143300,0,0,13,4143300,0,0,13,4143300,0,0,14,4281540,1,0,14,4277400,0,2,12,3784920,0,0,12,3826840,0,0,12,3826840,0,6,8,2223700,2,1,7,2133700,0,1
나너우리센터,128821,,,,,,,,,,,,,3,749160,1,0,3,749160,0,0,3,749160,0,1,,,,,,,,,,,,,,,,,,,,,,,,
나너우리작업장,128821,6,586260,0,0,6,586260,0,0,7,843300,1,0,7,843300,0,0,7,843300,0,0,7,843300,0,0,7,843300,0,0,7,843300,0,0,7,868320,0,0,7,868320,0,0,7,868320,0,0,7,868320,0,0
나너울,214879,4,1486160,0,0,4,1486160,0,0,4,1486160,0,1,3,1285020,0,0,3,1285020,0,0,3,1285020,0,0,3,1285020,0,0,3,1285020,0,0,3,1320560,0,0,3,1320560,0,0,3,1320560,0,0,3,1320560,0,0
나너으뜸,370880,5,1498940,0,1,4,1206080,0,0,4,1206080,0,0,4,1206080,0,1,3,1004660,0,0,4,1477160,1,0,4,1477160,0,0,4,1477160,0,0,4,1515240,0,0,4,1515240,0,0,4,1515240,0,0,4,1515240,0,0
나노,608813,4,800000,0,0,5,1205000,1,3,8,3429900,6,1,8,3537900,1,0,8,3537900,0,0,9,4093200,1,0,9,4093200,0,2,8,3330900,1,1,9,3320280,2,1,10,3905280,2,2,8,3122280,0,0,8,3122280,0,0
나노,620813,4,1471580,0,0,9,3181540,5,6,3,1161080,0,0,6,2435120,3,1,5,2054240,0,0,8,2675240,3,2,6,2261240,0,2,4,1361240,0,0,4,1334780,0,0,4,1334780,0,0,4,1334780,0,0,4,1334780,0,0
나노,107880,,,,,,,,,,,,,,,,,,,,,,,,,3,658800,3,3,,,,,,,,,,,,,,,,,,,,
나노건설,621816,5,1595500,0,0,5,1595500,0,0,5,1595500,0,0,5,1595500,0,1,4,1397500,0,0,5,1703500,1,1,5,1703500,1,0,5,1703500,0,0,5,1639700,0,0,5,1639700,0,0,5,1639700,0,0,5,1639700,0,0
나노건설,621816,,,,,,,,,,,,,3,446400,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
나노건축사사무소,220817,4,1030020,0,0,4,1030020,0,0,4,1030020,0,0,4,1030020,0,0,4,1030020,0,0,4,1030020,0,0,4,1030020,0,0,4,1030020,0,0,4,1027160,0,0,4,1027160,0,0,4,1027160,0,0,4,1027160,0,0
나노그램주식회사,519810,3,453500,0,1,,,,,3,453500,1,0,3,453500,0,0,3,453500,0,0,3,453500,0,0,3,453500,0,0,3,453500,0,3,,,,,,,,,,,,,,,,
나노그린,255870,4,737360,2,0,4,737360,0,0,5,926360,1,0,5,926360,0,1,4,737360,0,0,4,737360,0,0,4,737360,0,1,3,548360,0,0,3,544660,0,0,3,544660,0,0,3,544660,0,0,3,544660,0,0
나노기술,123817,19,6789200,0,0,20,7149200,1,0,20,7149200,0,0,20,7152520,0,2,18,6502380,0,3,15,5570080,0,0,15,5399000,0,0,15,5399000,0,0,15,5331520,0,0,15,5331520,0,0,15,5331520,0,1,14,5014280,0,0
나노네트웍스,117818,3,692900,0,0,3,692900,0,0,3,692900,0,0,3,692900,0,0,3,692900,0,0,3,692900,0,0,3,692900,0,0,3,692900,0,0,3,690360,0,0,3,690360,0,0,3,690360,0,0,3,690360,0,0
나노넷,101867,,,,,,,,,7,2214600,0,0,7,2214600,0,1,6,1819600,0,0,8,2286880,2,0,8,2286880,0,0,8,2286880,0,0,8,2379580,0,0,8,2379580,0,0,9,2661540,1,0,9,2562460,0,1
나노닉스,131817,8,3511600,1,0,9,3691600,1,1,8,3135500,0,0,9,3734720,1,1,8,3302720,0,0,9,3512680,1,1,8,3169240,0,0,9,3349240,1,0,9,3286320,0,1,9,3353820,1,0,9,3353820,0,1,8,3088320,0,0
나노덴,546080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2837460,1,0
나노디앤씨,105874,12,4185660,0,0,12,4185660,0,0,13,4421360,1,0,13,4421360,0,0,13,4421360,0,0,14,4657060,1,1,13,4425400,0,1,12,4189700,0,0,12,4045340,0,0,12,4045340,0,0,12,4045340,0,1,11,3741140,0,1
나노라티스주식회사,706810,6,744360,0,1,6,814300,1,0,7,869020,1,1,6,748880,0,2,5,662580,1,0,5,662580,0,1,5,657000,1,0,5,657000,0,0,5,669940,0,1,5,819620,1,0,8,1376980,3,0,8,1707380,0,0
