company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
바게트서울,263090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,,,,,0,0,0,0,,,,
바구스코리아유한회사,323870,3,1233360,0,0,3,1233360,0,0,3,1233360,0,0,3,1233360,0,0,3,1233360,0,0,3,1233360,0,0,3,1233360,0,0,3,1233360,0,0,3,1273320,0,0,3,1273320,0,0,3,1273320,0,0,3,1273320,0,0
바끄레꼬라지오꿈앤카페,277820,,,,,,,,,,,,,,,,,13,2414380,0,0,13,2414380,0,1,13,2442100,1,0,13,2442100,0,0,13,2533820,0,0,13,2533820,0,0,13,2533820,0,0,13,2533820,0,0
바끄레카페,277820,13,2414380,0,0,13,2414380,0,0,13,2414380,0,0,13,2414380,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바나,417812,6,1793480,0,0,6,1793480,0,1,5,1343480,0,0,5,1343480,0,0,6,1673240,1,0,6,1673240,0,0,6,1673240,0,0,6,1673240,0,0,6,1904920,0,0,6,1866400,0,0,6,1866400,0,0,6,1866400,0,0
바나,694860,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
바나건설,417813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,405720,1,0,3,405720,0,0,3,405720,0,0,3,405720,0,0
바나글로벌주식회사,431810,3,585000,0,0,4,837000,1,0,4,837000,0,0,4,837000,0,0,4,837000,0,0,4,837000,0,0,5,1089000,1,1,6,1383300,2,0,7,1608200,1,0,7,1608200,0,0,7,1608200,0,0,7,1608200,0,0
바나나10,875860,8,1767140,0,0,8,1767140,0,0,8,1767140,0,0,8,1767140,0,0,8,1767140,0,0,8,1767140,0,0,8,1767140,0,0,8,1767140,0,0,8,1859720,0,1,7,1620680,0,0,7,1620680,0,0,7,1620680,0,0
바나나건축사사무소주식회사,258810,11,3347240,0,0,11,3347240,0,0,11,3347240,0,0,11,3347240,0,0,11,3347240,0,2,9,2861880,0,2,7,2181660,0,0,8,2393160,1,0,8,2480540,0,0,9,2767000,1,1,8,2484400,0,0,8,2484400,0,0
바나나리프인터내셔널주식회사바나나리프농카이,546850,9,2278940,0,0,9,2278940,0,0,9,2278940,0,0,9,2278940,0,0,9,2278940,0,1,8,2049080,0,0,8,2049080,0,0,9,2274080,1,0,9,2243940,0,0,9,2243940,0,0,9,2243940,0,0,9,2243940,0,0
바나나립주식회사,624870,10,2407020,0,0,10,2407020,0,0,10,2407020,0,0,11,2659020,1,0,11,2659020,0,1,11,2359500,1,1,10,2170500,0,0,10,2170500,0,0,11,2404120,1,0,11,2404120,0,0,11,2404120,0,0,11,2404120,0,0
바나나모터스,114853,4,1150640,0,0,4,1150640,0,0,4,1150640,0,0,4,1150640,0,0,4,1150640,0,0,4,1150640,0,1,3,821240,0,0,3,821240,0,1,,,,,,,,,,,,,,,,
바나나성형외과의원,833150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4741240,0,2,13,4400400,0,0,15,4890360,2,1,15,4845900,1,2,13,4320220,0,1
바나나어린이집,124802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3571000,0,0,21,3928100,1,0,23,4215740,2,0,24,4404380,1,0,25,4593020,1,0
바나나어린이집,182800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2252560,0,0,11,2294000,0,0,11,2294000,0,0,12,2420000,1,0,12,2420000,0,0
바나나어린이집,506801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2097140,0,0,14,2211180,0,0,14,2211180,0,0,14,2211180,0,1,13,2112180,0,0
바나나컬쳐게이밍앤미디어주식회사,796880,46,16947580,0,0,46,16947580,0,33,13,5558980,0,0,14,5918980,1,0,14,5918980,0,0,14,5918980,0,0,14,5918980,0,0,14,5918980,0,0,14,6078400,0,1,13,5718400,0,2,11,4847560,0,0,12,5245360,1,2
바나나컴퍼니,105880,3,802420,0,0,3,802420,0,0,3,802420,0,0,3,802420,0,0,3,802420,0,0,4,982420,1,0,4,982420,0,0,4,982420,0,0,4,908360,0,0,4,906820,0,1,3,726820,0,0,3,726820,0,0
