company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
자라다아이엔씨주식회사,215876,4,1049020,0,0,4,1049020,0,0,4,1049020,0,0,4,1049020,0,0,4,1049020,0,0,4,1049020,0,0,4,1049020,0,0,4,1049020,0,1,4,1288240,1,0,4,1288240,0,0,4,1288240,0,0,4,1288240,0,0
자라다의원,254450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5845360,0,4,18,5831040,2,2,17,5197720,1,0,20,6259980,3,1,20,6043620,1,1
자라리테일코리아주식회사,101863,1234,252559400,133,125,1268,255924140,159,171,1404,274062400,307,203,1303,259647420,102,199,1264,254127080,160,200,1157,245654860,93,95,1287,261927220,225,168,1310,270559700,191,101,1432,275770020,223,198,1425,276894060,191,253,1291,260564740,119,136,1310,262862720,155,181
자라소프트주식회사,177860,7,2283180,0,0,7,2283180,0,0,7,2283180,0,0,8,2565140,1,0,9,2959600,1,0,9,2959600,0,0,9,2959600,0,0,9,2959600,0,0,9,3108000,0,0,9,3108000,0,0,10,3465740,1,0,10,3465740,0,0
자라탄플릿주식회사,406816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,682380,0,0,4,682380,0,0
자락당,105878,15,3750900,0,0,15,3750900,0,0,15,3750900,0,0,16,3921900,1,1,16,3914080,1,0,16,3914080,0,0,18,4283080,2,3,15,3718420,0,0,16,4028960,1,1,15,3846540,0,0,15,3846540,0,0,15,3846540,0,1
자란,382860,,,,,0,0,0,0,,,,,,,,,,,,,14,3847220,14,5,16,4864860,7,2,15,4803380,1,2,17,5246900,4,2,16,4894100,1,1,18,5510600,3,1,19,5830100,2,1
자란초등학교,125830,16,4057660,0,0,17,4354660,1,0,17,4354660,0,2,16,3976660,1,6,15,3751780,5,0,16,4021780,1,0,17,4291780,1,2,15,3836380,0,0,15,3993520,0,0,15,3993520,0,1,14,3723520,0,1,13,3515620,0,0
자람건설의정부디자인도서관건립공사,838860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1723840,4,0,4,1723840,0,0,4,1630060,0,0,4,1630060,0,1
자람건설주식회사,422870,7,1635240,0,0,8,1824240,1,0,8,1824240,0,1,7,1589080,0,0,7,1589080,0,1,6,1364720,0,0,7,1625720,1,0,7,1625720,0,1,6,1503700,0,0,6,1503700,0,1,5,1172600,0,0,5,1172600,0,0
자람건축,329870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1243440,4,1,3,919440,0,0,3,919440,0,1,,,,,3,955440,1,1
자람농업회사법인유한회사,321870,4,710800,0,1,3,506140,0,0,3,506140,0,0,3,506140,0,0,3,506140,0,0,3,506140,0,0,3,506140,0,0,3,506140,0,0,3,426960,0,0,3,426960,0,0,3,426960,0,0,3,426960,0,0
자람동산어린이집,128804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3241640,1,0,20,3510120,0,0,21,3695520,1,2,21,3804160,2,0,22,3992800,1,0
자람디자인,877870,3,599940,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자람몬테소리어린이집,580800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1943700,2,0,11,1943700,0,0
자람사회적협동조합,508821,3,491400,0,0,3,491400,0,1,4,597960,2,0,4,597960,0,1,3,494280,0,0,4,597960,1,0,4,597960,0,0,4,597960,0,0,4,653380,0,0,4,653380,0,0,4,653380,0,0,4,653380,0,0
자람사회적협동조합,214821,3,501020,0,0,3,501020,0,0,4,634400,1,0,4,634400,0,1,3,501020,0,0,4,615220,1,0,4,615220,0,0,4,615220,0,0,4,692080,0,1,4,693440,1,0,4,693440,0,0,4,693440,0,0
자람사회적협동조합,644820,5,757060,1,0,5,757060,0,0,5,757060,0,0,5,757060,0,0,5,757060,0,0,5,757060,0,0,5,899880,0,0,6,1145940,1,0,6,1210740,0,1,6,1217320,1,0,6,1328460,0,0,6,1328460,0,0
자람사회적협동조합,520820,,,,,,,,,4,751660,4,0,4,751660,0,1,3,618280,0,0,4,728520,1,1,3,610900,0,0,4,725200,1,0,4,725200,0,0,4,725200,0,0,4,725200,0,0,4,725200,0,0
자람아이어린이집,414800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1687220,1,0
자람어린이집,122801,6,1014660,2,0,6,1014660,0,0,6,1014660,0,1,5,829260,0,1,4,643860,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
자람어린이집,221803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3525460,0,0,18,3623140,0,0,18,3623140,0,0,18,3623140,0,0,19,3824460,1,0
자람어린이집,307802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2855980,1,0,15,3157840,1,0,15,3157840,0,0,15,3157840,0,0,15,3157840,0,0
자람어린이집,566800,,,,,5,877320,5,0,5,877320,0,0,6,1062720,1,2,5,877320,1,1,5,790920,1,0,5,790920,0,0,6,979560,1,0,6,963160,0,0,6,963160,0,0,6,963160,0,0,6,963160,0,0
자람터,411815,3,506320,0,0,3,506320,0,0,3,506320,0,0,3,506320,0,0,3,506320,0,0,3,506320,0,0,3,506320,0,0,5,1100320,2,0,5,1052180,0,0,5,1052180,0,0,5,1052180,0,0,5,1052180,0,0
자람터어린이집,398800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2112840,2,1,10,2013840,0,2,11,2031480,3,1,10,1932480,0,0
자람터어린이집,301800,6,1297240,0,0,6,1297240,0,0,6,1297240,0,0,6,1297240,0,2,4,936260,0,0,4,936260,0,0,4,936260,0,0,4,936260,0,0,4,978020,0,0,4,978020,0,0,4,978020,0,0,4,978020,0,0
자람테크놀로지,220817,63,27521840,1,0,63,27521840,0,0,64,27875800,1,0,64,27875800,0,0,64,27875800,0,0,70,29690920,6,0,70,29690920,0,0,71,30005920,1,0,74,33972180,3,0,74,33972180,0,0,74,33972180,0,3,71,32361640,0,1
자람테크주식회사,506819,5,1170000,0,0,5,1170000,0,0,5,1170000,0,0,5,1170000,0,0,5,1170000,0,0,7,1629000,2,0,7,1629000,0,0,7,1629000,0,1,6,2139360,0,0,6,2139360,0,0,6,2139360,0,0,6,2139360,0,0
자람패밀리,220883,4,770460,0,0,4,770460,0,0,4,770460,0,0,4,770460,0,0,4,770460,0,0,4,770460,0,0,4,770460,0,0,4,770460,0,1,3,707480,0,0,3,707480,0,0,3,707480,0,0,3,707480,0,0
자람패션주식회사,204865,10,2481680,0,0,10,2481680,0,0,10,2481680,0,0,10,2481680,0,1,9,2285400,0,0,9,2285400,0,0,9,2285400,0,0,9,2285400,0,1,9,2265700,1,1,9,2253640,1,0,9,2253640,0,0,9,2253640,0,0
자람푸드,110861,3,685880,0,0,3,685880,0,0,3,685880,0,0,3,685880,0,0,3,685880,0,0,3,685880,0,0,3,685880,0,0,3,685880,0,0,3,794420,0,0,3,794420,0,0,3,794420,0,0,3,794420,0,0
자람푸드농업회사법인주식회사,163870,4,1384540,0,0,4,1384540,0,0,4,1384540,0,1,3,994220,0,0,3,994220,0,0,4,1271780,1,0,4,1271780,0,0,4,1271780,0,0,5,1508120,1,0,6,1778120,1,0,6,1778120,0,0,6,1778120,0,0
자람플랜주식회사,501812,4,1528100,0,0,4,1528100,0,0,4,1528100,0,1,3,1198260,0,0,3,1198260,0,0,3,1198260,0,0,3,1198260,0,0,3,1198260,0,0,3,1275460,0,0,3,1275460,0,0,3,1275460,0,0,3,1275460,0,0
