company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
차&고치과교정과치과의원,516970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3301920,0,0,11,3402500,0,1,10,3172740,0,0,11,3361460,1,0,11,3361460,0,1
차&박피부과의원,110184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2803560,1,0,11,2914860,0,0,11,2914860,0,0,11,2914860,0,1,11,3016560,1,0
차가운,616862,4,1039580,0,0,4,1039580,0,0,4,1039580,0,0,4,288000,0,0,4,288000,0,0,4,288000,0,0,4,288000,0,0,4,288000,0,0,4,511020,0,0,4,511020,0,1,3,439020,0,3,,,,
차건축사사무소,142811,7,3015520,0,0,7,3015520,0,0,7,3015520,0,0,7,3015520,0,3,4,1764900,0,0,5,1945800,1,0,5,1945800,0,0,5,1945800,0,0,5,1909980,0,0,5,1909980,0,1,4,1336680,0,0,5,1909980,1,0
차경,248880,,,,,,,,,,,,,3,450000,1,0,3,450000,0,1,,,,,3,540000,1,2,,,,,3,536480,2,1,3,536480,1,0,3,536480,0,0,3,536480,0,0
차경,706870,,,,,,,,,,,,,,,,,3,870120,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
차경,706870,,,,,,,,,,,,,,,,,,,,,4,1724400,4,4,,,,,,,,,,,,,,,,,,,,,0,0,0,0
차경,706870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,999720,2,0,3,1026260,0,0,3,1026260,0,0,3,1026260,0,0,3,1026260,0,3
차고145,866100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3099860,0,0,10,3400420,0,1,,,,,,,,,10,3382420,1,5
차고엔지니어링,319860,28,8767480,1,1,29,9248080,2,0,29,9248080,0,1,31,9730980,3,2,31,9737820,2,3,28,9017660,0,1,27,8782860,0,2,27,8796100,2,1,29,9996980,3,2,27,9502620,0,0,29,10105700,2,0,29,10105700,0,0
차나라주유소,478850,3,690300,1,0,3,690300,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
차네스,520860,9,1640560,2,1,8,1523560,0,1,7,1402060,0,0,7,1402060,0,0,7,1402060,0,1,8,1624000,2,0,8,1624000,0,1,12,2253000,5,2,10,2439660,0,0,10,2439660,0,2,9,2419400,1,1,12,2956400,4,0
차놀자렌트카주식회사,369860,5,975320,0,0,5,975320,0,0,5,975320,0,0,5,975320,0,0,5,975320,0,0,5,975320,0,0,5,975320,0,0,5,975320,0,0,5,1016080,0,1,4,847960,0,0,5,1072960,1,0,5,1072960,0,0
