company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
카119주식회사,354810,9,2021280,0,2,7,1393080,0,0,7,1393080,0,0,7,1393080,0,1,6,1114080,0,0,6,1114080,0,0,6,1114080,0,2,4,1011480,0,0,5,1152540,1,0,5,1152540,0,0,5,1152540,0,0,5,1152540,0,0
카가에프이아이코리아주식회사,120819,17,6977380,0,1,17,6891520,1,0,17,6891520,0,0,17,6891520,0,0,17,6891520,0,0,17,6891520,0,0,17,6891520,0,0,18,7169260,1,0,18,7640840,0,1,17,7362380,0,0,17,7362380,0,0,17,7362380,0,0
카고게이트,105818,11,3799760,1,1,11,3735140,1,0,11,3735140,0,0,11,3735140,0,0,12,4069580,1,0,12,4069580,0,0,12,4069580,0,3,9,3097140,0,0,11,3613540,2,0,11,3613540,0,0,11,3613540,0,0,11,3613540,0,0
카고고,313870,8,1020440,0,0,8,1020440,0,0,8,1020440,0,0,8,1020440,0,1,7,920640,0,0,7,920640,0,0,7,920640,0,0,7,920640,0,0,7,774200,0,0,7,774200,0,0,7,774200,0,0,7,774200,0,0
카고네트워크,101815,8,3434380,0,0,8,3434380,0,0,8,3434380,0,0,8,3434380,0,0,8,3434380,0,0,8,3434380,0,0,8,3434380,0,0,8,3434380,0,0,8,3409460,0,0,8,3409460,0,0,8,3409460,0,0,8,3409460,0,0
카고넷로지스틱스,109816,3,1198080,0,0,3,1198080,0,0,3,1198080,0,0,3,1198080,0,0,3,1198080,0,0,3,1198080,0,0,3,1198080,0,0,3,1198080,0,0,3,1226060,0,0,3,1226060,0,0,3,1226060,0,0,3,1226060,0,0
카고라인,109815,12,5392600,1,0,12,5392600,0,0,12,5392600,0,0,12,5392600,0,0,12,5392600,0,0,12,5392600,0,0,12,5392600,0,1,12,5396200,1,0,12,5591040,0,0,12,5591040,0,0,12,5591040,0,1,12,5531740,1,0
카고랩,878870,5,1116900,1,0,5,1044360,0,0,6,1423800,1,0,6,1423800,0,0,6,1423800,0,0,6,1410920,0,1,5,1213460,0,0,5,1213460,0,0,5,1399120,0,0,5,1399120,0,0,5,1399120,0,0,5,1399120,0,0
카고러쉬,105870,12,3846360,1,0,12,3846360,0,0,12,3846360,0,1,11,3614340,0,0,11,3614340,0,0,12,3821340,1,0,12,3821340,0,0,12,3821340,0,0,12,4318040,0,2,11,4019800,1,0,12,4253800,1,0,12,4373320,0,0
카고로직스,602814,4,1162600,0,0,4,1162600,0,0,4,1162600,0,0,4,1162600,0,0,4,1162600,0,0,4,1162600,0,0,4,1162600,0,0,4,1162600,0,0,4,1180780,0,0,4,1180780,0,0,4,1180780,0,0,4,1180780,0,0
