company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
타겟골프,204817,6,2235480,0,0,6,2235480,0,0,6,2235480,0,0,6,2235480,0,0,6,2235480,0,0,6,2235480,0,0,6,2235480,0,0,6,2235480,0,1,5,1715300,0,0,5,1715300,0,0,5,1715300,0,0,5,1715300,0,0
타겟글로벌소싱리미티드,640840,4,1997180,0,0,4,1997180,0,0,4,1997180,0,0,4,1997180,0,0,4,1997180,0,0,4,1997180,0,0,4,1997180,0,0,4,1997180,0,0,4,2141820,0,0,4,2141820,0,0,4,2141820,0,0,4,2141820,0,0
타고커뮤니케이션즈,107818,4,581280,0,0,4,581280,0,0,4,581280,0,0,4,581280,0,0,4,581280,0,0,4,581280,0,0,4,581280,0,0,4,581280,0,0,4,535320,0,0,4,535320,0,0,4,535320,0,0,4,535320,0,0
타깃링크테라퓨틱스,645870,4,1499120,0,0,4,1499120,0,0,5,1784060,1,0,6,2114000,1,1,5,1558700,0,0,5,1558700,0,0,5,1558700,0,0,5,1558700,0,0,5,1615500,0,0,5,1615500,0,0,5,1615500,0,0,5,1615500,0,0
타깃포인트,391870,3,308140,0,0,3,308140,0,0,3,308140,0,0,3,308140,0,0,3,308140,0,0,3,308140,0,0,3,308140,0,0,3,308140,0,0,3,698020,0,0,3,698020,0,0,3,698020,0,0,3,698020,0,0
타꾸다컴퍼니,203860,4,796140,0,0,4,796140,0,0,4,796140,0,0,4,796140,0,0,4,796140,0,0,4,796140,0,0,4,796140,0,0,5,1010600,1,0,5,1111740,0,0,5,1111740,0,0,5,1111740,0,0,5,1111740,0,0
타나무역,214881,3,1366020,0,0,3,1366020,0,0,3,1366020,0,0,3,1366020,0,0,3,1366020,0,0,3,1366020,0,0,3,1366020,0,0,3,1366020,0,0,3,1439980,0,0,3,1439980,0,0,3,1439980,0,0,3,1439980,0,0
타나유엑스디,823870,6,2387960,0,0,6,2387960,0,1,6,2374360,1,0,6,2374360,0,0,6,2374360,0,0,6,2312080,0,0,6,2312080,0,0,6,2312080,0,0,6,2347440,0,0,6,2347440,0,0,6,2347440,0,0,6,2347440,0,0
타노스주식회사,649860,10,2962880,2,0,10,2962880,0,0,10,2962880,0,0,12,3475880,2,0,12,3644800,0,1,11,3329800,0,0,11,3329800,0,0,11,3329800,0,0,14,4589320,3,3,11,3770320,0,0,12,4049320,1,0,13,4301320,1,1
타노인터내셔날,220873,7,2304960,0,0,7,2304960,0,0,7,2304960,0,0,7,2304960,0,1,8,2459580,2,0,8,2459580,0,0,8,2459580,0,0,8,2459580,0,0,8,2614660,0,0,8,2614660,0,0,8,2614660,0,0,8,2614660,0,0
타니,201862,9,1992500,0,0,10,2226500,1,0,11,2478500,1,1,10,2185640,0,0,10,2185640,0,0,10,2185640,0,2,8,1717640,0,0,8,1717640,0,2,6,1251440,0,0,8,1719440,2,0,8,1719440,0,0,8,1719440,0,0
타니베이관광호텔주식회사,321870,80,17064920,17,9,74,15828800,3,12,79,16861220,17,7,78,16571420,6,4,81,17174520,7,4,82,17521560,5,2,83,17691840,3,6,81,16990380,4,3,82,17603400,4,3,81,17582520,2,3,80,17414860,2,2,80,17352140,2,11
타니서울역점,814850,4,1050440,0,0,7,1779440,3,1,7,1779440,1,0,7,1779440,0,0,7,1779440,0,0,7,1779440,0,0,7,1779440,0,0,7,1779440,0,0,7,1824280,0,0,7,1824280,0,0,7,1824280,0,0,7,1824280,0,1
타니앤레져（홍콩반점）,615853,,,,,,,,,,,,,3,436580,1,0,3,436580,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
타니움싱가포르피티이엘티디,813840,8,4442400,0,0,8,4442400,0,0,8,4442400,0,0,8,4442400,0,0,8,4442400,0,0,9,4997700,1,0,10,5553000,1,0,11,6108300,1,0,11,6306300,0,0,12,6879600,1,0,12,6879600,0,0,12,6879600,0,1
타니코리아주식회사,389860,4,1956140,0,0,4,1956140,0,0,4,1956140,0,0,4,1956140,0,0,5,2145140,1,0,5,2145140,0,0,5,2145140,0,0,5,2145140,0,1,4,1760300,0,0,4,1760300,0,0,5,1994300,1,0,5,1994300,0,0
타다닥주식회사,591870,3,606500,0,0,3,606500,0,0,4,795500,1,0,4,795500,0,0,4,795500,0,1,4,859400,1,0,4,859400,0,1,3,670400,0,0,3,671920,0,0,3,671920,0,0,6,1586760,3,1,5,1300300,0,0
타라소프트,264811,12,3254540,2,0,14,3690940,2,2,16,3897920,4,1,15,3699480,0,0,15,3699480,0,0,15,3699480,0,0,15,3699480,0,0,15,3699480,0,1,16,3887680,2,0,17,4094680,1,1,17,4109620,1,0,17,4109620,0,0
타라스페이스,410860,31,8046480,0,0,32,8244480,1,0,33,8442480,1,1,32,8244480,0,1,33,8478580,2,1,32,8221800,0,0,32,8221800,0,0,33,8393060,1,2,34,8868700,3,0,34,8868700,0,0,35,9057340,1,0,35,9057340,0,3
타라유통,218812,67,25374820,1,1,66,25011580,0,0,67,25566880,1,1,69,25771620,3,1,68,25555620,0,0,69,25848120,1,1,69,25773600,1,1,69,25768280,1,0,73,25676040,4,8,65,22437980,0,2,65,22402140,2,5,60,20388040,0,3
타라유통,138853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1266260,5,0
타라유통,327850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1650240,4,0
타라유통,496850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3756080,10,0,13,4641940,3,0,13,4641940,0,0
타라찬,492070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,2,,,,,,,,,,,,,,,,
타라티.피.에스,128812,173,63627660,0,1,173,63655560,1,2,171,63151840,0,1,171,62977880,1,0,173,63432540,2,4,172,63407700,3,2,173,63698140,3,3,173,63695360,3,3,173,68865140,3,3,178,70026780,8,4,175,68840500,1,0,177,69585960,2,1
타라티피에스그래픽스사업부문,603852,144,45433260,4,1,146,45680580,3,0,148,46015020,2,5,144,45022240,1,1,149,46300680,6,2,150,46697140,3,1,151,47095200,2,1,153,47456900,3,1,152,52627880,0,3,157,54185660,8,2,160,54664720,5,3,160,55028760,3,6
타래,511200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3464960,0,0,12,3924960,1,2,10,3315580,0,1,11,3474080,2,1,11,3438800,1,0
타래박,127817,7,1765240,0,0,7,1765240,0,0,7,1765240,0,0,7,1765240,0,0,7,1765240,0,0,7,1765240,0,0,7,1765240,0,0,7,1765240,0,0,7,1758400,0,0,7,1758400,0,0,7,1758400,0,0,7,1758400,0,0
타래박에프엠에스,127865,6,1733480,0,0,6,1733480,0,0,6,1733480,0,0,6,1733480,0,0,6,1733480,0,1,6,1721060,1,0,6,1721060,0,0,6,1721060,0,0,6,1716280,0,0,6,1716280,0,0,6,1716280,0,0,7,1806280,1,0
타래주류,210811,13,4402300,0,0,13,4402300,0,0,13,4402300,0,1,12,4030420,0,0,13,4381420,1,1,13,4376840,1,0,13,4376840,0,0,13,4376840,0,0,13,4864860,0,0,13,4864860,0,0,13,4864860,0,0,13,4864860,0,0
타로,126815,4,793420,0,0,4,793420,0,0,4,793420,0,0,4,776140,0,0,4,726020,0,0,4,726020,0,0,4,776140,0,0,4,776140,0,0,4,764000,0,1,3,665180,0,0,3,665180,0,0,3,665180,0,0
타마,130866,,,,,,,,,,,,,,,,,,,,,3,862280,1,1,,,,,,,,,,,,,,,,,,,,,,,,
타마,440850,3,724140,0,0,3,724140,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
타마노아패션,209816,5,1681620,0,0,5,1681620,0,0,5,1681620,0,0,5,1681620,0,1,4,1425220,0,0,4,1425220,0,0,4,1425220,0,0,4,1425220,0,0,4,1429280,0,0,4,1429280,0,0,4,1429280,0,0,4,1429280,0,0
타마린드,112851,7,1998260,0,0,8,2241260,1,1,7,2068460,0,1,7,1978460,1,2,6,1690100,1,2,6,1657160,2,0,6,1657160,0,0,6,1657160,0,1,5,1420380,0,0,5,1420380,0,0,5,1420380,0,1,6,1708380,2,0
타마비즈,105862,8,2855500,0,0,8,2855500,0,0,8,2855500,0,1,7,2641480,0,0,7,2641480,0,0,7,2641480,0,0,7,2641480,0,0,7,2641480,0,0,7,2721580,0,0,7,2721580,0,0,7,2721580,0,0,7,2721580,0,0
타마시헤어,167290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
타만타주식회사,603870,15,3383280,4,0,17,3882320,2,2,15,3801320,0,2,13,3513320,0,2,13,3231620,2,2,12,3186620,1,3,11,2930120,2,2,11,3315680,2,1,11,3071520,1,1,12,3371760,2,1,12,3358260,1,1,11,3187260,0,1
타메네트웍스,206863,8,2125060,0,0,8,2125060,0,0,10,2647060,2,0,10,2647060,0,0,10,2647060,0,0,10,2647060,0,1,9,2440060,0,0,9,2440060,0,0,9,2703100,0,1,8,2502860,0,0,8,2502860,0,0,8,2304500,0,1
타모스,401812,21,5335160,0,0,21,5335160,0,0,22,5560160,1,0,24,6248380,2,0,26,6698380,2,1,25,6457460,0,0,25,6457460,0,2,23,6007460,0,0,25,6882820,2,0,25,6882820,0,1,25,6844300,1,0,25,6844300,0,0
타무즈인터내셔널,106871,9,2469660,0,1,8,2290200,0,0,8,2290200,0,0,8,2290200,0,0,8,2290200,0,0,8,2290200,0,0,8,2290200,0,0,8,2290200,0,1,7,2562080,0,0,8,2755580,1,0,8,2755580,0,0,8,2755580,0,0
타미르주식회사,543860,6,2370660,0,0,6,2491880,0,0,6,2491880,0,0,6,2491880,0,0,6,2491880,0,0,6,2491880,0,0,6,2491880,0,0,6,2491880,0,0,6,2368620,0,0,6,2368620,0,0,6,2368620,0,0,6,2368620,0,0
타미성형외과의원,342310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,13379740,3,3,41,14427540,1,1,40,14194900,0,1,42,14309080,3,3,40,13792760,1,4
