company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
007조경주식회사,138813,4,638960,0,0,4,638960,0,0,4,638960,0,0,4,638960,0,0,4,638960,0,0,4,638960,0,0,4,638960,0,0,4,638960,0,0,4,666720,0,1,3,500040,0,0,3,500040,0,0,3,500040,0,0
007조경주식회사,138813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,688500,3,3,0,0,0,0,,,,,,,,,,,,
00대학교조경관리용역,501812,3,681920,0,0,3,681920,0,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
0100크리에이티브,115860,,,,,,,,,,,,,,,,,3,1119220,1,0,3,1119220,0,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,
010글로벌주식회사,396880,5,1158460,0,0,5,1158460,0,0,5,1158460,0,0,5,1158460,0,0,5,1158460,0,0,5,1158460,0,0,5,1158460,0,3,,,,,,,,,,,,,,,,,,,,
016자동차공업사,224143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4087700,0,0,14,4213080,0,0,14,4213080,0,0,14,4213080,0,0,14,4212100,0,0
01스테이션,236870,27,5665340,1,1,27,5507840,1,2,27,5757860,2,1,30,6082480,4,6,24,5357260,0,1,31,6576180,8,3,29,6290000,1,1,36,7460340,8,5,36,8066120,5,10,30,6326620,4,7,27,5652600,4,3,31,6691920,7,1
032디자인주식회사,121819,12,3042300,0,1,12,3008000,1,0,12,3008000,0,0,12,3008000,0,0,12,3008000,0,2,14,3442980,4,0,14,3442980,0,0,14,3442980,0,0,14,3458900,0,0,14,3458900,0,0,14,3458900,0,0,14,3458900,0,2
04판,699850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,568080,2,1,,,,,,,,,3,444680,1,0
052식자재마트,887380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1914560,4,2,11,1883960,2,2,13,2408660,4,0
0cafe,696850,4,556540,0,0,4,556540,0,0,4,556540,0,0,4,556540,0,0,4,556540,0,0,4,556540,0,0,4,556540,0,0,4,556540,0,0,4,701620,0,0,9,1354920,5,0,9,1354920,0,4,5,870100,0,1
