company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
B&B파트너스,187030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429,127167900,14,13,423,125624720,7,10,419,124619360,6,13,413,122913020,7,9,424,125904460,20,9
B&SSTEELTECH,134871,25,8146680,0,2,23,7362520,0,0,23,7362520,0,0,23,7362520,0,0,23,7362520,0,1,22,7151840,0,0,24,7529120,2,0,24,7529120,0,0,25,7407720,1,0,28,8163000,3,0,28,8163000,0,2,26,7703640,0,0
B.CENG,437070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4065660,0,0,10,4077160,0,0,10,4077160,0,9,,,,,0,0,0,0
B.S.K세무회계,635330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5510880,0,0,14,6133020,0,0,14,6133020,0,0,14,6133020,0,0,14,6133020,0,0
BBINNOVATION,617255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,8595800,0,2,31,9070780,0,0,31,9070780,0,0,31,9070780,0,0,31,9070780,0,3
BBQ보라매공원점,119186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2603240,0,1,,,,,,,,,,,,,10,2732920,2,2
BB요양병원,172070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,13739060,2,1,56,14290720,2,3,54,13887960,1,2,53,13376780,1,1,53,13380020,1,3
BCC,137810,15,4864380,0,0,15,4864380,0,1,14,4560900,0,0,14,4560900,0,0,14,4560900,0,1,15,4650640,2,1,14,4365700,0,0,14,4365700,0,1,14,4421360,1,0,14,4421360,0,0,15,4706300,1,1,14,4421360,0,0
BDC,305814,4,891000,4,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
BDC,305814,4,1763100,1,0,4,1702800,0,0,4,1692900,0,0,4,1679400,0,0,5,2239200,1,1,7,2367000,5,0,8,2842640,1,0,6,1428300,0,6,,,,,0,0,0,0,,,,,,,,
