company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
cbs라이프,117811,23,5236160,0,0,23,5236160,0,1,23,4864740,1,1,23,4888860,1,1,22,4700220,0,1,21,4581600,0,1,21,4697620,1,1,20,4475600,0,1,19,4588180,0,1,20,4930460,2,2,18,4436000,0,0,18,4436000,0,2
clavis,515085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3574860,0,1,12,3651600,1,0,13,3876600,1,0,14,4083600,1,0,14,4083600,0,1
city,359800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2921720,2,0,15,3028280,0,0,15,3028280,0,3,15,3077680,3,0,15,3077680,0,0
cafe,514827,6,562280,1,0,6,562280,0,0,6,562280,0,0,6,562280,0,0,6,562280,0,0,6,562280,0,0,6,562280,0,0,6,562280,0,0,6,537180,0,2,4,362140,0,1,3,267560,0,0,3,267560,0,0
220,0,0,9,1929220,0,0,9,1929220,0,0,9,1929220,0,0,9,1808400,0,1,9,1762320,1,1,8,1535520,0,0,9,1688520,1,0
C&S세무법인의정부지점,127853,4,819420,0,0,4,819420,0,0,4,819420,0,0,4,819420,0,0,4,819420,0,0,4,819420,0,0,4,819420,0,0,4,819420,0,0,4,933460,0,0,4,933460,0,1,3,827260,0,0,3,827260,0,0
C.C.C동구노인복지센터,408821,64,8758720,0,0,64,8758720,0,8,67,9263960,11,2,65,9168040,0,1,66,9111700,2,7,59,8479300,0,2,60,8455000,3,2,58,8265820,0,1,61,8739940,4,0,63,9049540,2,5,58,8504320,0,2,56,8180860,0,2
C．H．BCompany이랴이랴,617819,9,2332560,0,0,9,2332560,0,0,9,2332560,0,0,9,2332560,0,0,9,2350120,0,0,9,2350120,0,0,9,2350120,0,0,9,2350120,0,0,9,2369460,0,0,9,2369460,0,0,9,2369460,0,0,9,2369460,0,0
C．JTECH（주）,311814,24,7966080,0,1,23,7624080,0,0,23,7624080,0,0,25,8308080,2,0,25,8308080,0,0,25,8308080,0,0,25,8308080,0,2,26,8565320,3,1,25,8136020,0,1,24,7821740,0,0,25,8046740,1,0,27,8730740,2,0
C．S．C주식회사,615816,17,5853500,0,0,18,6082540,1,1,17,5849900,0,0,17,5849900,0,0,17,5849900,0,0,17,5849900,0,0,17,5849900,0,0,17,5849900,0,0,17,6054340,0,0,17,6054340,0,0,17,6054340,0,0,17,6054340,0,1
C.S구조엔지니어링,213863,43,15766920,0,1,42,15506200,0,2,42,15497460,2,0,43,15821460,1,1,44,16091360,2,0,44,16091360,0,1,43,15736320,0,0,43,15736320,0,0,44,16533860,1,3,42,16067760,1,0,42,16067760,0,2,41,15681760,1,0
CAL,813010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3200460,4,1,10,3018840,0,0,10,3018840,0,0,11,3225840,1,1,10,3018840,0,0
CalyxTechnologyInc．한국사무소,907840,15,4870100,0,0,15,4870100,0,0,15,4870100,0,1,14,4515680,0,0,14,4515680,0,0,14,4515680,0,0,14,4515680,0,0,14,4515680,0,0,14,4662180,0,0,14,4662180,0,0,14,4662180,0,0,14,4662180,0,0
CBOLCorp한국연락사무소,904840,4,1259260,0,0,4,1259260,0,0,4,1259260,0,0,4,1259260,0,1,3,1016540,0,0,4,1187180,1,0,4,1187180,0,0,5,1469320,1,0,5,1494080,0,0,5,1494080,0,0,5,1494080,0,0,5,1494080,0,0
CBS,117820,315,144534280,2,1,315,144214600,1,6,315,143572900,6,6,326,146326620,17,7,321,143949360,2,4,317,142462740,0,2,321,143868520,6,6,327,145719980,12,3,325,152137880,1,3,324,151471520,2,3,327,152831960,6,1,329,153466460,3,5
CCC아가페의원,408820,4,1161440,0,0,4,1161440,0,0,4,1161440,0,0,4,1161440,0,0,4,1161440,0,0,4,1161440,0,0,4,1161440,0,0,4,1161440,0,0,4,1250260,0,0,4,1250260,0,0,4,1250260,0,0,4,1250260,0,0
CDI에이프릴（April）어학원,204292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3243300,0,2,12,3056460,2,1,,,,,,,,,,,,
CED인터내셔널,211880,18,6511960,0,0,19,6826960,1,1,18,6296600,0,0,18,6296600,0,0,19,6566600,1,0,19,6566600,0,1,18,6296600,0,0,18,6296600,0,0,18,6481520,0,2,17,6078320,1,0,19,6663320,2,0,19,6663320,0,0
CFC,515860,10,2247820,3,0,10,2247820,0,2,10,2227560,2,1,11,2465620,2,0,13,2899420,2,4,10,2337460,1,0,16,3867460,6,4,17,3775380,5,0,21,4701580,4,0,21,4701580,0,7,17,3809320,3,3,14,3172940,0,0
CF의원,119220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3306660,0,0,10,3172900,0,0,10,3172900,0,0,10,3172900,0,0,10,3172900,0,0
CGV주안역,443870,,,,,4,964800,4,0,20,2907460,16,1,22,3323620,3,3,21,3231920,2,5,18,2712180,2,0,19,2801720,1,0,19,2801720,0,3,23,3063400,7,2,22,3079980,1,6,19,2677320,3,1,27,3648360,9,15
CHC엔지니어링,138811,5,720440,0,0,5,720440,0,0,5,720440,0,0,5,720440,0,1,4,594440,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH건기,621817,25,10373660,0,4,22,8778060,1,1,22,8901260,1,5,17,7780180,0,0,19,8890780,2,0,20,9446080,1,0,21,9728420,1,1,21,10004720,1,0,22,10694840,1,3,20,9709360,1,0,21,10282660,1,0,25,12097960,4,0
CH부설제주직업전문학원,804820,5,734040,1,2,3,554040,0,1,,,,,,,,,,,,,,,,,,,,,3,540720,1,0,3,542960,0,1,,,,,3,542960,1,0,3,542960,0,0
CH테크,606257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2310180,3,1,,,,,,,,,,,,
CIHKBOOKS홍대본관,734850,3,491040,0,0,3,491040,0,0,3,491040,0,0,3,491040,0,0,3,491040,0,0,3,491040,0,0,3,491040,0,0,3,491040,0,0,3,578860,0,0,3,578860,0,0,3,578860,0,0,3,578860,0,0
CIP통상,113815,6,2070580,0,0,6,2070580,0,0,6,2070580,0,1,5,1862780,0,1,5,1842540,1,0,5,1842540,0,0,5,1842540,0,0,5,1842540,0,0,5,1869460,0,0,5,1869460,0,0,5,1869460,0,0,5,1869460,0,0
CJCGV,104814,1538,183345660,140,286,1436,170854400,184,167,1845,213875400,576,362,1653,195929620,170,851,867,113789780,65,167,1100,132120960,400,378,823,105463740,101,80,1411,168121780,668,274,1257,157681460,120,140,1461,175273320,344,254,1512,179983280,305,373,1283,159099920,144,200
CJ대한통운사하대리점,606083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4123740,1,0,19,4849120,2,2,20,4934700,3,2,20,5085200,2,5,16,3874440,1,3
CJ수지．판교신선,110082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1811020,2,0,11,1811020,0,0,11,1811020,0,0
CJ씨푸드（주）,229811,342,127497500,9,3,351,129943320,12,10,354,130235920,13,4,361,131857880,11,6,360,131449060,5,13,354,130114800,7,10,350,129002220,6,7,349,129320940,6,7,342,135197600,0,3,341,135309380,2,6,345,136192040,10,11,349,136322760,15,7
CJ아이누리울산중앙점,620852,7,1307940,1,0,9,1730940,2,2,8,1571820,1,0,10,1958820,2,1,10,1979260,1,0,10,1979260,0,0,10,1979260,0,0,10,1979260,0,0,10,1981300,0,0,10,1981300,0,0,10,1981300,0,0,10,1981300,0,0
CJ올리브영경주점,505016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2421900,1,1,,,,,10,2539780,4,3,,,,,,,,
CJ키즈빌어린이집,101800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,5924220,0,0,28,6107140,0,0,28,6107140,0,0,28,6107140,0,1,28,6085260,1,0
CJ키즈빌어린이집,873800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,6880000,1,2,30,7290740,3,0,30,7290740,0,2,30,7347340,2,0,30,7347340,0,2
CJ푸드빌,312814,1706,620160360,58,40,1747,629748680,81,52,1755,631227740,60,37,1815,644142560,97,45,1804,642192840,34,44,1793,641216280,33,41,1775,637384500,23,45,1748,629826220,18,35,1741,672335880,28,36,1753,671533520,48,47,1844,246787620,345,348,1881,252347520,385,321
CKT컴퍼니,442010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4111400,1,0,17,4171840,0,2,15,3823200,0,0,16,4015160,1,0,16,4015160,0,0
CK법률사무소,668130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2280120,2,0,10,2575480,0,0,10,2575480,0,0,11,2809480,1,2,,,,
CK푸드원,137096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3617760,0,1,14,3403440,0,2,13,3051100,1,1,12,2806660,0,0,12,2806660,0,0
CLC희망학교,119821,4,964060,0,0,4,964060,0,0,4,964060,0,0,4,964060,0,0,4,964060,0,0,4,964060,0,1,4,988440,1,0,4,988440,0,0,4,1054940,0,0,4,1054940,0,1,3,737340,0,0,3,737340,0,0
CLEO,126225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2394580,1,0,10,2394580,0,1,,,,,,,,
CLS어학원,106905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,6007520,1,0,25,6384340,0,1,25,6204440,1,0,26,6474440,1,1,26,6491540,1,0
CM,393320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4073440,0,0,11,3957100,0,0,11,3957100,0,0,11,3957100,0,0,11,3957100,0,0
CMS센터,503816,11,4048440,0,0,11,4048440,0,0,11,4048440,0,0,11,4048440,0,0,11,4048440,0,0,11,4048440,0,0,12,4253640,1,0,12,4253640,0,0,12,4374760,0,0,12,4374760,0,0,12,4374760,0,1,11,4169560,0,0
CM세무전기직업전문학교,312950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2338980,2,1,10,2230980,0,0,10,2230980,0,0,10,2230980,0,0
CM엔지니어링,215819,21,10500800,0,0,21,10500800,0,0,21,10500800,0,0,21,10500800,0,1,20,10091580,0,0,20,10091580,0,0,21,10561380,1,0,21,10561380,0,0,21,11104180,0,0,21,11104180,0,0,21,11104180,0,0,21,11104180,0,0
CM충무의원,312924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,6008620,0,1,21,5813640,1,1,21,5772600,1,0,21,5772600,0,0,21,5772600,0,0
