company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
e,215875,6,1641480,0,0,6,1641480,0,0,6,1641480,0,0,6,1641480,0,0,7,1803480,1,0,7,1803480,0,1,6,1641480,0,0,6,1641480,0,0,6,1582000,0,0,6,1582000,0,0,6,1582000,0,0,6,1582000,0,0
e,105919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,4884520,0,0,19,4944160,0,3,16,4152980,0,0,16,4152980,0,0,16,4152980,0,0
e,137802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3097840,1,1,19,2950540,1,1,18,2851540,0,1,17,2771440,0,0,20,3187960,3,0
e,113800,3,984600,0,0,4,1277720,1,0,4,1277720,0,1,4,1275020,1,0,4,1275020,0,0,4,1275020,0,0,4,1275020,0,0,4,1275020,0,0,4,1321900,0,1,3,953080,0,1,3,1031920,1,0,3,1031920,0,0
e,680800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,942740,0,1,10,1037500,1,2,,,,,,,,,,,,
e,617802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1071560,2,0,11,1177240,1,1,11,1192180,1,0,13,1341020,2,1,12,1266600,0,1
e,126802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3433760,0,0,20,3423980,0,0,20,3423980,0,1,20,3430280,1,0,20,3430280,0,0
e,612827,5,1375620,0,0,5,1375620,0,0,5,1375620,0,0,5,1375620,0,0,5,1375620,0,0,5,1375620,0,0,5,1375620,0,0,5,1375620,0,0,5,1375800,0,0,5,1375800,0,0,5,1375800,0,0,5,1375800,0,0
e,113800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1930360,0,0,11,2079220,0,0,11,2079220,0,1,11,2079220,1,0,11,2079220,0,0
e,504801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2595220,0,0,14,2735420,0,1,13,2543820,0,0,13,2543820,0,0,13,2543820,0,0
e,521800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2137740,0,0,11,2411420,1,1,11,2417720,1,0,11,2417720,0,0,11,2417720,0,1
e,210801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3311640,0,2,13,2964320,0,0,14,3157820,1,0,15,3378320,1,0,15,3378320,0,0
e,111820,36,19035580,0,1,35,18480280,0,0,35,18480280,0,0,35,18480280,0,0,35,18480280,0,0,35,18480280,0,0,36,19035580,1,0,36,19035580,0,1,35,19343680,0,0,35,19343680,0,0,35,19343680,0,0,34,18770380,0,0
e,421990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3172100,0,0,10,3247340,0,1,,,,,,,,,,,,
e,212801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1917080,1,1,13,1904760,0,1,13,1861660,1,0,13,1861660,0,0,14,1978660,1,0
e가구몰,502349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4402480,1,1,21,5010760,2,0,21,5010760,0,0,21,5010760,0,0,21,5010760,0,2
e그린8차부영아파트입주자대표회의,615826,3,666260,0,0,3,666260,0,0,3,666260,0,0,3,666260,0,1,3,651500,1,0,3,651500,0,0,3,651500,0,0,3,651500,0,0,3,671840,0,0,3,671840,0,0,3,671840,0,0,3,671840,0,0
e맛있는푸드,134205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2989960,0,0,13,2897320,0,0,13,2897320,0,0,13,2897320,0,1,13,2924320,1,0
e새마을협동조합,408860,4,358560,0,0,4,358560,0,0,4,358560,0,0,4,358560,0,0,4,358560,0,0,4,358560,0,0,4,358560,0,0,4,358560,0,0,4,389120,0,0,4,389120,0,0,4,389120,0,0,4,389120,0,0
