company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
F,564860,8,1527980,4,0,11,1759180,3,0,11,1759180,0,0,11,1751440,0,0,13,2093440,2,0,13,2093440,0,0,13,2093440,0,0,13,2093440,0,0,13,2250160,0,1,13,2515920,1,1,12,2359780,0,2,10,2018140,0,4
F&L．C,109862,4,772160,0,0,4,772160,0,0,4,772160,0,0,4,772160,0,0,4,772160,0,0,4,772160,0,0,4,772160,0,0,4,772160,0,0,4,743460,0,0,4,743460,0,0,4,743460,0,0,4,743460,0,0
F.I.L,211865,32,9894440,1,1,31,9414740,0,1,32,9621740,2,1,31,9397740,0,0,32,9739740,1,0,32,9739740,0,0,32,9739740,0,1,32,9694740,1,0,32,10008560,0,1,31,9711560,0,0,32,9930080,1,0,32,9930080,0,2
F．Q．T．C,615135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,5697800,0,1,20,5833080,0,0,20,5833080,0,0,21,6168140,1,1,20,5934680,0,0
FAO한국협회,214820,8,3020460,0,0,8,3020460,0,0,8,3020460,0,1,7,2761620,0,1,6,2575320,0,0,7,2844960,1,0,7,2844960,0,0,7,2844960,0,0,7,2963860,0,0,8,3175360,1,0,8,3175360,0,0,8,3175360,0,0
FA플러스,113862,13,3714600,0,0,13,3714600,0,0,15,4104480,2,1,15,4092060,1,0,15,4092060,0,0,15,4092060,0,0,15,4092060,0,0,15,4092060,0,0,15,4056860,0,0,15,4056860,0,0,15,4056860,0,0,15,4056860,0,0
FB정보통신,142816,8,1644800,1,0,8,1644800,0,1,7,1410800,0,1,6,1330980,0,0,8,1623480,2,1,7,1411980,0,0,8,1789980,1,0,8,1789980,0,1,8,2148340,1,1,7,1769360,0,0,7,1769360,0,0,8,1922360,1,0
FDT엔지니어링,208870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,963800,1,0,3,963800,0,0
FD장례,305922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2119660,0,0,11,2427260,1,0,11,2427260,0,0,11,2427260,0,0,12,2616260,1,0
FINETESTER,140019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4770380,0,0,19,5069740,1,0,19,5069740,0,0,19,5069740,0,0,19,5069740,0,0
FIRSTFLOOR,104852,19,4960640,2,1,18,4765700,0,1,18,4748420,1,2,18,4749860,2,2,20,5023300,4,2,21,5173320,3,3,18,4646640,0,0,18,4646640,0,2,21,5733820,5,2,22,5828060,3,9,17,4754620,4,7,16,4007180,6,1
FITI시험연구원,204820,679,273724080,3,20,667,269955820,8,13,665,270023780,11,23,657,268620440,15,16,647,265319160,6,16,646,264047440,15,12,643,263868860,9,9,644,263799940,10,12,643,277057300,11,10,645,277225220,12,11,653,278141320,19,6,662,281964800,15,15
FM동물메디컬센터,818160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,11076920,0,2,43,11110380,2,3,41,10844160,1,0,47,12193440,6,1,49,12624900,3,3
FM애그텍,303018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4999800,0,0,16,5434240,0,0,16,5434240,0,0,16,5434240,0,0,16,5434240,0,0
FM정진정보통신,605192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2613200,2,1
FM치과의원,106549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,12273460,0,3,41,11890460,2,1,40,11662760,0,0,41,11852660,1,2,39,11352360,0,1
