company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
gamc,401590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,10604440,3,4,33,10513440,1,0,35,10936440,2,0,35,10936440,0,2,33,10504440,0,0
4200,0,1,5,1629000,0,0,6,1806660,1,0,6,1806660,0,0,6,1806660,0,0
G&G콘택트렌즈,502063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,6597220,0,5,26,6108080,0,0,26,6108080,0,1,25,5754020,0,0,25,5754020,0,2
G&T,616268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2635340,0,0,12,2432280,2,1,11,2243560,0,0,11,2243560,0,0,11,2243560,0,0
G.I.C,615815,22,6439600,0,1,22,6415660,1,0,22,6415660,0,0,22,6415660,0,0,22,6415660,0,0,22,6415660,0,2,20,5911760,0,1,19,5686320,0,0,19,5829640,0,0,19,5829640,0,1,18,5568100,0,0,18,5568100,0,0
G.I.G기업,207815,4,901880,0,0,4,901880,0,0,4,901880,0,1,3,716480,0,0,3,716480,0,0,3,716480,0,0,3,716480,0,0,3,716480,0,0,3,862560,0,1,,,,,,,,,,,,
G.M,131815,55,17415400,2,1,56,17767920,2,0,56,17767920,0,1,59,18436220,4,0,59,18436220,0,1,62,19408580,4,2,60,18900540,0,1,66,20250800,7,3,64,25384400,1,1,63,25114400,0,1,62,24814440,0,0,62,24814440,0,0
G.M.W,130818,13,5204800,0,0,13,5204800,0,0,13,5204800,0,0,13,5204800,0,0,13,5204800,0,0,13,5204800,0,0,13,5204800,0,1,12,4940840,0,0,12,4950500,0,0,12,4950500,0,1,11,4632980,0,0,11,4632980,0,0
G．S테크,124435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3024160,1,0,10,2988680,0,0,10,2988680,0,0,10,2988680,0,0,10,2988680,0,0
GAFFENGINEERING,837810,23,8283460,2,1,23,8056940,1,0,23,8056940,0,1,22,7501640,0,0,22,7501640,0,0,22,7501640,0,0,22,7501640,0,0,22,7501640,0,0,22,10057400,0,1,21,9622800,0,0,21,9622800,0,0,21,9622800,0,0
