company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
kc네트웍스주식회사,408819,15,3964300,1,1,14,3775300,0,0,15,3982300,1,0,15,3982300,0,0,15,3982300,0,0,15,3982300,0,0,16,4234300,1,1,15,3982300,0,0,15,3814860,0,0,15,3814860,0,0,15,3814860,0,0,15,3814860,0,1
kf물류（주）,621818,6,1144500,0,0,6,1144500,0,0,6,1144500,0,1,7,1274560,2,0,7,1274560,0,0,8,1463560,1,0,8,1463560,0,1,7,1274560,0,0,7,1288500,0,0,8,1477500,1,0,8,1477500,0,0,9,1693500,1,0
kids,101800,17,3224360,0,0,17,3224360,0,1,17,3227240,1,1,17,3076860,1,2,15,2945640,0,0,16,3094140,1,0,16,3094140,0,0,16,3094140,0,1,15,3027280,0,0,15,3027280,0,1,14,2888420,0,1,14,2895180,1,0
ks마트,608247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2368860,1,0,12,2304680,0,0,12,2304680,0,0,12,2304680,0,0,12,2304680,0,1
kS전기제어,158310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,5591640,1,4,17,4840760,0,1,17,4687680,1,1,16,4440460,0,0,16,4440460,0,0
ktcs루키어린이집,487800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2089840,2,1,10,2079500,0,0,10,2079500,0,0,10,2079500,0,0,10,2079500,0,0
ktservice남부,314819,80,31294620,0,2,78,30549420,0,0,79,31104720,1,2,312,140089740,235,5,307,138475620,0,3,304,137065960,0,4,301,135900020,1,2,301,135456240,2,1,304,137922060,4,4,300,136333040,0,2,299,135579740,1,3,297,135105380,1,1
ktservice남부,314819,237,87398540,2,0,237,87398540,0,3,236,86931260,2,9,247,91311220,20,4,248,91473400,5,0,254,93193980,6,3,254,93196780,3,4,252,92415600,2,4,249,95859880,1,2,252,96552860,5,3,250,95908480,1,2,251,96810100,3,3
ktservice남부,314819,352,129170540,2,1,351,128872380,0,2,356,129863060,7,3,354,129233080,1,10,346,126680380,2,3,348,127249440,5,7,343,125949320,2,1,343,125965800,1,6,343,132012200,6,3,345,132547880,5,5,344,132048300,4,0,344,132048300,0,1
ktservice남부,314819,383,141791340,2,2,381,141260900,0,0,384,142249520,3,2,383,141719260,1,8,376,138902100,1,1,380,139977300,5,3,378,139245080,1,0,380,139933940,2,3,379,147403740,2,5,374,145822120,0,3,375,146415300,4,3,372,145390140,0,4
ktservice남부,314819,242,89725400,2,2,240,89204580,0,3,241,89317160,4,3,245,91658420,7,2,243,90912780,0,5,244,90874240,6,2,244,91082160,2,4,240,89705980,0,3,239,90492240,2,5,241,90614980,7,1,242,90812720,2,2,241,90463260,1,4
ktservice남부,314819,141,54833380,0,3,138,53973260,0,3,143,54940460,8,1,148,56492960,6,5,145,55608000,2,4,144,54905280,3,2,145,55146300,3,3,145,54984040,3,3,144,55203240,2,0,150,57113000,6,0,150,57113000,0,1,149,56897900,0,0
ktservice남부,314819,70,24866920,2,0,70,24866920,0,0,74,25749000,4,3,76,26985160,5,2,77,27308680,3,2,76,27057680,1,1,75,26763840,0,1,74,26417340,0,1,74,27733840,1,1,73,27281240,0,0,74,27624140,1,0,76,28267640,2,0
ktservice남부,314819,214,79163720,1,2,212,78577300,0,2,212,78447780,2,0,216,79780500,4,2,217,80087760,3,4,219,80249220,6,3,216,79324300,0,1,217,79703460,2,1,219,84749000,3,1,220,85318160,2,2,218,84445980,0,1,218,84474780,1,3
ktservice남부,314819,84,28269140,6,1,83,27909400,0,0,86,28576380,3,3,86,28926580,3,2,84,28280300,0,3,87,29033480,6,1,86,28575380,0,1,85,28271280,0,2,83,29301940,0,3,81,28782400,1,0,83,29302420,2,1,83,29288480,1,1
kids,835800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2208440,2,0,11,2170920,0,0,11,2170920,0,0,11,2170920,0,2,11,2121440,2,0
��설팅,107862,5,1268900,0,0,5,1268900,0,1,4,1155420,0,0,5,1362420,1,0,5,1362420,0,1,4,1155420,0,0,4,1155420,0,0,4,1155420,0,0,4,1521520,0,0,4,1521520,0,0,4,1521520,0,0,4,1521520,0,0
KBI건설,515811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1598480,3,0,3,1598480,0,0,3,1598480,0,0,3,1598480,0,1
KBI메탈,514810,104,38860580,0,0,104,38860580,0,0,104,38860580,0,0,104,38860580,0,0,104,38860580,0,1,103,38630640,0,0,103,38630640,0,0,103,38630640,0,1,102,39697820,0,0,103,39967820,1,0,103,39967820,0,1,102,39405960,0,0
Kbpharm,609819,6,1932640,0,0,6,1932640,0,3,3,1185300,0,0,4,1325700,1,0,4,1325700,0,0,4,1325700,0,0,4,1325700,0,0,4,1325700,0,0,4,1558420,0,0,4,1341440,0,0,4,1341440,0,0,4,1341440,0,0
KBS강태원복지재단,107820,7,1874940,1,0,7,1874940,0,0,7,1874940,0,0,7,1874940,0,0,7,1874940,0,0,7,1874940,0,0,7,1874940,0,0,7,1874940,0,0,7,2020280,0,0,7,2020280,0,0,7,2020280,0,0,7,2020280,0,1
KBS비즈니스,109812,305,116452580,2,3,302,115152640,0,5,313,117120680,16,6,320,118779300,13,8,312,116497760,0,9,306,114382320,3,7,302,113334200,3,8,302,112642300,8,3,299,116871180,0,3,300,117223080,4,5,301,116553960,6,3,301,116227360,3,3
KBS어린이집,107826,39,7872340,2,0,39,7872340,0,1,39,7879080,1,0,39,7879080,0,13,36,7262140,10,0,37,7460140,1,1,37,7464280,1,2,37,7466980,2,0,37,7669680,0,1,36,7570680,0,2,37,7709000,3,0,37,7709000,0,2
KB강서어린이집,617802,15,2960220,0,0,15,2960220,0,1,15,2949880,1,0,15,2949880,0,6,17,3370420,8,0,17,3281140,0,1,16,3182140,0,0,16,3182140,0,0,16,3261400,0,1,15,3162400,0,0,15,3162400,0,1,14,2929760,0,0
KB건설안전연구원,124872,3,1062160,0,0,3,1062160,0,0,3,1062160,0,0,3,1062160,0,0,3,1062160,0,0,3,1062160,0,0,3,1062160,0,0,3,1062160,0,0,3,1095380,0,0,3,1095380,0,0,3,1095380,0,0,3,1095380,0,0
KB골든라이프케어,822870,24,9250660,0,2,23,8771600,1,0,27,10671740,4,0,28,11016880,1,1,28,11241700,1,0,32,12740540,4,3,30,11675200,1,1,29,11337700,0,0,31,12091940,2,2,31,11752360,2,7,26,9634620,2,2,27,10060600,3,0
KB골든라이프케어강동케어센터,786850,11,2320780,0,0,11,2320780,0,0,11,2320780,0,0,12,2436240,1,0,12,2436240,0,1,11,2320780,0,0,12,2582860,1,0,12,2582860,0,0,13,2829180,1,1,12,2621380,0,1,11,2420500,0,0,12,2697240,1,0
KB골든라이프케어광교빌리지,287850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,870200,3,0,38,10165620,35,1
KB골든라이프케어서초빌리지,437850,40,9844900,0,3,38,9204020,1,2,40,10065600,4,1,39,9864280,0,2,40,10258480,3,2,39,9875540,1,1,41,10416500,3,1,42,10623940,2,1,42,11081520,1,1,42,11114540,1,6,42,10795520,6,4,39,10293240,1,2
KB골든라이프케어위례빌리지,255850,51,12833760,4,1,52,13034260,2,1,52,13000340,1,2,52,13209780,2,0,56,14019040,4,4,54,13491120,2,2,56,13914840,4,0,57,14113740,1,5,58,15095460,6,1,59,15115700,2,6,57,14909960,4,0,58,15120020,1,3
KB골든라이프케어위례케어센터,569850,10,1756940,1,0,10,1756940,0,1,9,1684320,0,1,8,1480380,0,0,9,1690440,1,1,8,1480380,0,0,8,1480380,0,0,8,1480380,0,1,8,1586300,1,0,8,1586300,0,1,8,1511880,1,0,8,1511880,0,0
KB골든라이프케어은평빌리지,706850,,,,,,,,,,,,,,,,,,,,,,,,,7,2362020,7,0,47,11596000,40,4,59,14002860,16,2,68,15613060,11,7,70,15946300,9,1,73,16765120,4,5
KB골든라이프케어은평케어센터,122855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,844180,4,0,4,844180,0,0,6,1237820,2,0,6,1237820,0,0
KB골든라이프케어평창카운티,130857,21,5295480,2,1,20,5009740,0,1,21,5162380,2,0,21,5162380,0,1,20,4721560,0,1,20,4699340,1,1,20,4859900,1,1,21,5153560,2,1,20,4894000,0,0,23,6036280,3,1,23,5882120,1,0,23,5882120,0,1
KB광주판매,410163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2821920,0,0,12,3579440,0,0,12,3579440,0,0,12,3579440,0,0,12,3579440,0,0
KB국민은행지부,107800,3,819540,0,0,3,819540,0,0,3,819540,0,0,4,1019700,1,1,3,1040040,0,0,3,1040040,0,0,3,1040040,0,0,3,1040040,0,0,3,1041920,0,0,3,1041920,0,0,3,1041920,0,0,3,1041920,0,0
KB국민카드,101866,1455,792611100,2,1,1454,792055800,0,56,1452,788572080,54,53,1414,767371760,15,4,1410,765337140,0,4,1407,763903280,1,1,1407,763903280,1,2,1409,765013880,4,3,1413,798547000,7,7,1407,795107200,1,1,1411,797248300,5,2,1412,797021200,3,1
KB금융지주,201860,140,77060300,0,0,140,77060300,0,8,132,72759300,0,0,174,96081900,42,34,141,77757000,1,0,141,77757000,0,0,141,77757000,0,0,141,77757000,0,0,141,80169360,0,5,144,81889260,8,0,144,81889260,0,0,144,81889260,0,0
KB물류주식회사,613817,4,762380,1,0,4,762380,0,0,4,762380,0,0,4,762380,0,4,,,,,3,495000,2,0,3,495000,0,1,,,,,,,,,,,,,,,,,,,,
KB아주,209813,7,1891860,1,0,7,1891860,0,0,7,1891860,0,0,7,1891860,0,1,6,1576860,0,0,7,1923360,1,1,6,1576860,0,1,6,1594860,1,0,6,1617800,0,0,6,1617800,0,1,6,1617800,1,0,6,1617800,0,0
KB오토시스,204811,175,70944740,1,1,176,71191160,2,1,177,71551060,2,1,177,71640700,1,2,177,71551260,2,3,181,72738260,7,4,179,71844300,2,2,180,72062720,3,2,183,78079920,5,1,185,78537840,3,1,186,78920340,2,0,188,79835280,2,3
KB자산운용,116813,378,190337700,6,4,379,190883300,5,12,372,186783800,5,11,370,185267400,9,6,367,184449300,3,4,370,185693180,7,9,366,183241140,5,3,374,187002320,11,10,378,196486460,14,6,373,193853160,1,5,383,197944820,15,2,385,199012400,4,11
