company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
miDNA유전체연구소,401056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2987240,1,1,,,,
mom,403803,4,891980,0,0,4,891980,0,0,4,891980,0,0,4,891980,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mom,463800,11,2273200,0,0,11,2273200,0,0,11,2273200,0,0,11,2273200,0,2,11,2186440,2,0,11,2186440,0,0,11,2186440,0,0,12,2444560,1,1,11,2335760,0,0,11,2335760,0,1,11,2222900,1,0,11,2327920,0,0
mom,888800,10,2222160,0,1,9,1992840,0,1,9,2129360,1,0,9,2129360,0,2,10,2291980,3,0,10,2291980,0,0,10,2291980,0,0,10,2291980,0,0,10,2283260,0,0,10,2283260,0,0,10,2283260,0,1,9,2019840,0,0
mom,581800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2019560,1,0,10,2019560,0,1
,1396060,1,0,6,1396060,0,1,5,1207420,0,0,5,1207420,0,0,6,1410100,1,0,6,1404600,0,0,6,1404600,0,0,6,1404600,0,0,6,1404600,0,0
M&SDIEENGINEERINGINC,605172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4456580,0,0,13,4518000,0,0,13,4518000,0,0,13,4518000,0,0,14,4752000,1,0
M&S패션,873880,5,1436560,0,0,5,1436560,0,0,5,1436560,0,0,5,1436560,0,0,5,1436560,0,0,5,1436560,0,0,5,1436560,0,0,5,1436560,0,0,5,1289860,0,0,5,1289860,0,0,5,1289860,0,0,5,1289860,0,0
M.E.H,135815,8,3667920,0,0,8,3667920,0,0,8,3667920,0,0,8,3667920,0,0,8,3667920,0,0,8,3667920,0,0,8,3667920,0,0,8,3667920,0,0,8,3761080,0,0,8,3761080,0,1,7,3331780,0,0,7,3331780,0,0
M.I.T,101025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4768980,0,0,13,4988960,0,0,13,4988960,0,0,13,4988960,0,0,13,4988960,0,0
M.KKorea,122148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4868740,1,0,15,5067780,0,0,15,5067780,0,0,15,5067780,0,0,15,5067780,0,0
M.T.C,622029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,21248180,0,0,62,25028140,2,2,60,24348280,0,0,60,24348280,0,0,61,24663280,1,1
M.T.S,615812,35,9854680,1,0,35,9854680,0,0,37,10377840,2,2,36,10125480,1,1,36,10166340,1,0,36,10166340,0,0,36,10166340,0,2,35,9988140,1,0,35,11349180,0,2,33,10865260,0,2,31,10308000,0,0,31,10308000,0,0
MATE（메이트）,129372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2411980,2,0
MAVERICKS,210031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4730720,1,1,13,4843480,0,0,13,4843480,0,1,12,4524700,0,0,12,4524700,0,0
MBC푸르니어린이집,107800,21,4388040,0,0,21,4388040,0,0,21,4388040,0,0,21,4388040,0,3,21,4398040,3,0,21,4398040,0,1,20,4210400,0,0,20,4210400,0,0,20,4382940,0,2,20,4388420,2,1,20,4389960,1,0,20,4389960,0,0
MC건설,411813,7,2448060,0,0,10,3296020,3,0,10,3296020,0,0,11,3851320,1,0,11,3851320,0,1,11,3686600,1,0,12,4002040,1,0,12,4002040,0,1,11,3676980,0,0,11,3676980,0,0,11,3676980,0,0,11,3676980,0,0
MC에너지,411810,88,34017520,1,1,90,35096900,3,3,89,34880920,2,0,89,34880920,0,3,89,35335060,3,1,90,35578060,2,0,92,36506860,2,1,91,36256760,0,0,95,39395780,4,1,94,39053780,0,1,96,39613580,3,1,96,39433940,1,1
MDS모빌리티,119867,11,3613840,0,0,12,3880780,1,0,12,3880780,0,0,12,3880780,0,0,12,3880780,0,0,12,3880780,0,2,10,3206140,0,1,11,3822640,2,2,9,3313760,0,0,9,3313760,0,0,10,3546940,1,1,9,3113960,0,0
MDS테크,117812,138,56592680,3,2,136,55837680,0,2,136,55623040,2,1,138,56318460,3,0,138,56318460,0,1,140,56920380,3,3,138,55904820,1,1,140,56474060,3,1,140,59706760,1,0,140,59841940,0,2,139,59824400,1,2,138,59298720,1,1
MDV,310813,5,850500,2,1,4,665100,0,0,6,1124100,2,0,7,1214100,1,1,6,1124100,0,1,5,1206000,0,1,4,1017000,0,0,4,1017000,0,0,4,1061820,0,0,4,1061820,0,0,4,1061820,0,0,4,1061820,0,0
MD프라자관리사무소,129800,4,1018880,0,0,4,1018880,0,0,4,1018880,0,0,4,1018880,0,0,4,1018880,0,0,4,1018880,0,0,4,1018880,0,0,4,1018880,0,1,3,781460,0,0,3,781460,0,0,3,781460,0,0,3,781460,0,0
MEATLINE,134817,4,1708000,0,0,4,1708000,0,0,4,1708000,0,0,4,1708000,0,0,4,1708000,0,0,4,1708000,0,0,4,1708000,0,0,4,1708000,0,0,4,1726100,0,0,4,1726100,0,0,4,1726100,0,0,4,1726100,0,0
MetalPRO（메탈프로）,131351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,7782180,0,0,25,8165940,0,0,25,8165940,0,0,25,8165940,0,0,25,8165940,0,0
MEZMOKOREAOFFICE,905840,4,2042820,0,0,4,2042820,0,0,4,2042820,0,0,4,2042820,0,0,4,2042820,0,0,4,2042820,0,0,4,2042820,0,0,4,2042820,0,0,4,2142000,0,0,4,2142000,0,0,4,2142000,0,0,4,2142000,0,0
MGTKOREA,140815,3,1218240,0,0,3,1218240,0,0,3,1218240,0,0,3,1218240,0,0,3,1218240,0,0,3,1218240,0,0,3,1218240,0,0,3,1218240,0,0,3,1243160,0,0,3,1243160,0,0,3,1199160,0,0,3,1199160,0,0
MG내츄럴,767810,3,585980,0,0,3,585980,0,0,3,585980,0,0,3,585980,0,0,3,585980,0,0,3,585980,0,0,3,585980,0,0,3,585980,0,0,3,593440,0,0,3,593440,0,0,3,593440,0,0,3,593440,0,0
MG새마을금고지현주유소,303821,6,903500,0,0,6,903500,0,1,5,822500,0,1,4,741500,0,0,4,741500,0,0,4,741500,0,1,3,662300,0,0,4,761300,1,0,4,823480,0,0,4,823480,0,1,3,724480,0,0,3,724480,0,0
MG엔젤스크린골프연습장,144820,,,,,,,,,,,,,,,,,,,,,4,967500,4,1,3,706500,0,0,3,706500,0,0,3,706500,0,0,4,931500,1,0,4,931500,0,0,4,931500,0,0
MG전자,123814,84,27787460,3,5,82,26954420,3,7,77,25552880,2,1,76,25230420,0,3,74,24802300,1,4,73,24322420,3,0,73,24322420,0,1,75,25036020,3,0,77,26556660,2,6,72,24740240,1,2,76,26055660,6,4,75,25752020,3,1
MG캐피탈주식회사,105818,,,,,,,,,,,,,204,99609520,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHC인터내셔널,230810,,,,,,,,,,,,,,,,,,,,,3,914480,1,0,3,914480,0,0,4,1121480,1,0,4,1209420,0,0,4,1209420,0,0,4,1209420,0,0,4,1209420,0,0
MHR엠에이치알）,401815,23,4399100,5,7,16,3076100,0,3,14,2698100,1,5,9,1753100,0,3,6,1186100,0,0,8,1564100,2,3,6,1186100,1,0,8,1564100,2,1,8,1511000,1,1,8,1511000,1,1,7,1322000,0,2,5,944000,0,1
MH개발,307812,6,1494940,0,1,5,1256000,0,0,6,1525640,1,0,6,1525640,0,0,6,1525640,0,0,6,1525640,0,0,6,1525640,0,0,6,1525640,0,0,7,1841460,1,0,7,1841460,0,0,7,1841460,0,0,7,1841460,0,0
MH스텐,856380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2845060,1,1,,,,,10,2872860,1,0,10,2872860,0,0,10,2872860,0,0
MH에탄올,608810,55,24959800,3,1,54,24534100,0,0,55,24912100,1,1,54,24356800,0,1,53,24221440,0,1,52,24023440,0,0,54,24716440,2,0,55,24972200,1,1,54,25916320,0,0,54,25916320,0,1,53,25539040,0,1,53,25253740,1,1
MH엘퍼스트오페라관리단,301828,4,948400,0,0,4,948400,0,0,4,948400,0,0,4,948400,0,0,4,948400,0,0,4,948400,0,0,4,948400,0,0,4,948400,0,0,4,1010860,0,0,4,1010860,0,0,4,1010860,0,0,4,1010860,0,0
MH종합건설（주）,301863,5,1076660,0,0,5,1076660,0,0,5,1076660,0,0,5,1076660,0,0,5,1076660,0,0,5,1076660,0,0,5,1076660,0,0,5,1076660,0,0,5,1070440,0,0,5,1070440,0,0,5,1070440,0,0,5,1070440,0,0
MIAT.MongolianAirlines서울,110840,,,,,,,,,,,,,,,,,3,797460,1,0,3,797460,0,1,,,,,,,,,,,,,,,,,,,,,,,,
MID,160880,7,2233420,0,0,7,2233420,0,0,7,2233420,0,0,7,2233420,0,1,6,1971160,0,0,6,1971160,0,0,6,1971160,0,0,6,1971160,0,0,6,1916580,0,0,6,1916580,0,0,6,1916580,0,0,6,1916580,0,0
MIGHT&MAIN,121816,40,11252780,4,1,39,10954160,0,0,40,11252780,1,1,40,11305520,1,2,39,11111040,1,0,39,11111040,0,0,39,11111040,0,0,39,11111040,0,0,39,11703580,0,0,39,11703580,0,1,39,11789080,1,2,38,11537800,1,1
MJIT세무회계사무소,217044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4775740,0,0,16,5308740,2,0,18,5686020,2,1,17,5502160,0,1,16,5235140,0,0
MJ산업,126814,6,2072400,0,0,6,2072400,0,1,5,1701160,0,0,5,1701160,0,0,5,1701160,0,0,5,1701160,0,0,5,1701160,0,0,5,1701160,0,0,5,1662280,0,0,5,1662280,0,0,5,1662280,0,0,5,1662280,0,0
MJ커뮤니케이션,511880,3,815300,0,0,3,815300,0,0,3,815300,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MJ폴리텍（주）,311815,9,3834780,0,0,9,3834780,0,0,9,3834780,0,0,9,3834780,0,0,9,3834780,0,0,9,3834780,0,0,9,3834780,0,1,8,3279480,0,0,8,3675840,0,0,8,3675840,0,0,8,3675840,0,0,8,3675840,0,0
