company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
R,506181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2460720,0,0,12,2537140,0,0,12,2537140,0,0,12,2537140,0,1,11,2228900,0,0
R&Hwave,134303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3503660,0,0,12,3938920,1,0,12,3938920,0,0,12,3938920,0,0,12,3938920,0,1
R&T지역아동센타,215800,3,670400,0,0,3,670400,0,0,3,670400,0,1,3,641600,1,0,4,758600,1,0,4,758600,0,0,4,758600,0,0,4,758600,0,0,4,775880,0,0,4,775880,0,0,4,775880,0,1,4,775880,1,0
R.P.T.Trading,105864,6,2155400,0,1,6,2190040,1,0,6,2190040,0,0,8,2663520,2,1,7,2370040,0,1,6,2088340,0,0,6,2088340,0,0,6,2088340,0,0,8,2672700,2,0,8,2672700,0,0,8,2672700,0,0,8,2672700,0,0
REDRUN,106038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3170720,0,0,15,3751140,0,0,15,3751140,0,1,14,3455500,0,0,14,3455500,0,0
RH이노베이션,410870,6,1970520,0,0,6,1970520,0,0,6,1970520,0,0,6,1970520,0,0,6,1970520,0,0,6,1970520,0,0,6,1970520,0,0,6,1970520,0,0,6,2042160,0,0,6,2042160,0,0,6,2042160,0,0,6,2042160,0,0
RICCO,613410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2919960,0,1,13,3273160,2,5,,,,,,,,,,,,
RICH`nYOUNG리치앤영,106104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
RISE사업단,305821,,,,,,,,,,,,,,,,,,,,,,,,,4,1019140,0,0,5,1224340,1,0,8,1826900,3,0,8,1826900,0,0,8,1826900,0,0,8,1826900,0,0
RM마케팅,502287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4059320,2,1,10,3486020,0,0,10,3486020,0,0,10,3486020,0,0
RN2테크놀로지,128816,60,19486980,0,2,58,19010360,0,1,60,19194660,3,1,59,18917100,0,1,61,19578500,3,3,66,22774480,8,2,65,22584680,1,3,63,21038660,1,0,64,22154820,1,2,64,22349320,2,0,65,22694460,1,1,66,22607780,2,1
RNCKorea,144011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,9422800,5,10,51,8554420,5,14,40,6616560,3,2,43,7140620,5,11,44,7115500,12,16
ROADMAP주식회사,416814,9,3161740,0,0,9,3161740,0,0,9,3161740,0,0,9,3161740,0,1,8,2864740,0,0,9,3161740,1,0,9,3161740,0,0,10,3458740,1,0,10,3462460,0,1,9,3165460,0,0,9,3165460,0,0,9,3165460,0,0
ROLLPACK,134818,30,9860280,0,0,31,10045680,1,0,31,10045680,0,0,31,10045680,0,0,32,10255640,1,0,32,10255640,0,0,32,10255640,0,0,32,10255640,0,0,32,12992720,0,0,32,12992720,0,1,31,12450560,0,0,31,12450560,0,0
Rolls,621826,8,3109480,1,0,8,3109480,0,0,8,2757140,0,0,8,2633560,0,1,7,2615560,0,0,7,2615560,0,0,7,2615560,0,0,7,2615560,0,0,7,2761000,0,0,7,2912460,0,1,6,2671080,0,0,6,2819500,0,0
RUNCIBLECAFE,473850,4,588600,0,2,4,750600,2,0,4,750600,0,1,4,751140,1,0,4,751140,0,0,4,751140,0,0,4,751140,0,0,4,751140,0,0,4,740780,0,3,,,,,,,,,,,,
RPC,143811,9,2947640,0,0,9,2947640,0,1,8,2717700,0,1,7,2169880,0,0,7,2169880,0,0,7,2169880,0,0,7,2169880,0,0,7,2169880,0,0,7,2338700,0,0,9,2968700,2,0,9,2968700,0,0,9,2968700,0,0
RAFFIN,615812,,,,,,,,,,,,,,,,,,,,,3,1171700,1,0,3,1171700,0,0,3,1171700,0,0,3,1176740,0,0,4,1428640,1,1,4,1561040,1,0,4,1561040,0,0
RPI,606865,11,2733180,0,0,12,3082020,1,0,12,3082020,0,0,12,3082020,0,1,11,2896620,0,0,11,2896620,0,1,11,2938740,1,0,11,2938740,0,1,10,2884820,0,0,10,2884820,0,0,10,2884820,0,0,10,2884820,0,1
