company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
theKIDS어린이집,399800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,12977620,1,0,49,13717360,0,0,49,13717360,0,0,49,13717360,0,3,47,13383460,1,1
the채움,594850,8,1506220,0,1,7,1304000,0,0,7,1304000,0,1,7,1311740,1,0,7,1311740,0,1,7,1304000,1,0,7,1304000,0,1,6,1123820,0,0,6,1232420,0,1,5,1022100,0,0,5,1022100,0,1,5,1040100,1,0
the큰병원,609917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,34381600,3,0,106,35629200,0,2,106,35529960,2,1,107,35865300,2,1,107,35867100,1,2
the큰병원,615915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,35935740,3,2,121,37372620,4,2,120,37138440,1,2,120,37229260,2,2,119,36926140,1,2
the화이트e치과,603133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4059080,0,0,14,4316720,0,0,14,4316720,0,1,14,4100640,1,0,14,4100640,0,1
t주식회사케이씨모터스,126819,175,60391940,0,6,171,59014320,2,1,171,58973820,1,3,168,57954580,0,2,166,57373000,0,6,162,56574460,2,20,142,49713480,0,1,145,50418180,4,2,147,56330380,4,1,146,56046160,0,1,149,56826540,4,2,148,56214100,1,2
240,0,0,28,10248240,0,0,28,10248240,0,0,28,10248240,0,0
TASTYPLATFORM,581630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4522560,5,4,19,4650520,3,0,19,4650520,0,0,21,5064520,2,4,18,4238960,1,4
TBWAKOREA,120817,272,119985620,6,4,271,119174720,3,0,272,119730020,1,14,265,116804860,7,7,266,116973340,8,8,261,114887880,3,3,267,117085780,9,1,269,117482240,3,2,272,126037440,5,14,265,122947840,7,7,269,124824700,11,0,269,124786260,0,9
TCC로지스（주）,506816,3,908460,0,0,3,908460,0,0,3,908460,0,0,3,908460,0,0,3,908460,0,0,3,908460,0,0,3,908460,0,0,3,908460,0,0,3,958580,0,0,3,958580,0,0,3,958580,0,0,3,958580,0,0
TCC스틸,107811,214,109486960,2,0,218,110458960,4,2,216,109579220,0,1,216,109891520,1,1,216,109579220,1,0,218,110644460,2,1,218,110441600,1,0,218,110441600,0,1,217,115116780,0,2,216,114435120,1,1,215,113861820,0,1,215,113618460,1,3
TDK람다（주）,129840,7,3159960,0,0,7,3159960,0,0,7,3159960,0,0,7,3159960,0,0,7,3159960,0,0,7,3159960,0,0,7,3159960,0,0,7,3159960,0,0,7,3321800,0,0,7,3321800,0,0,7,3321800,0,0,7,3321800,0,0
Tec,314265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4278200,0,0,11,4429200,0,0,11,4429200,0,0,11,4429200,0,0,11,4429200,0,0
TGWP,211881,15,5034540,0,0,15,5034540,0,1,15,4939860,1,0,15,4939860,0,0,15,4939860,0,2,14,4565920,1,0,14,4565920,0,0,14,4565920,0,2,17,5784700,5,0,17,5784700,0,0,17,5784700,0,1,16,5554120,0,0
THE376,755630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2327380,0,0,12,2604220,0,0,12,2604220,0,0,12,2604220,0,0,12,2604220,0,1
THE377베이커리카페,578130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3846220,5,1,17,3865400,1,0,17,3595400,0,1,16,3388400,0,0,17,3604400,1,0
TheClassic500,206821,145,42743920,4,3,151,44071960,9,3,149,43174140,1,4,145,41996320,0,5,143,41596460,3,6,139,40893100,2,2,145,42008640,8,5,145,42128140,5,4,143,43682240,2,4,142,43519720,3,2,145,44342560,5,1,149,45252960,5,6
TheH,497810,6,1346120,0,0,6,1346120,0,0,6,1346120,0,0,6,1346120,0,0,6,1416860,0,0,6,1416860,0,0,6,1416860,0,0,6,1416860,0,0,6,1580100,0,0,6,1580100,0,0,6,1580100,0,0,6,1580100,0,1
THEONE（더원）,410300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4861040,0,0,14,4960360,0,0,14,4960360,0,0,14,4960360,0,0,14,4960360,0,0
THESYSTEM,606059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,5685340,1,0,16,6070380,0,0,17,6323820,1,0,17,6323820,0,0,17,6323820,0,0
Theupkorea,113207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3528680,0,0,17,3234140,0,0,18,3423140,1,0,20,3801140,2,0,20,3801140,0,0
The국제직업전문학교,408852,18,3374580,1,1,18,3239580,1,1,18,3217340,1,3,15,2902340,0,1,15,2882820,1,2,16,2935660,3,2,16,3029000,2,1,15,2834340,0,1,16,3049340,2,0,17,3238340,1,1,17,3238340,1,1,17,3222420,1,0
The꿈나무어린이집,137802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2136900,0,0,12,2170420,0,0,12,2170420,0,0,12,2170420,0,0,12,2170420,0,0
THE나은재가복지센터,389800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1018680,0,0,11,1118120,1,1,10,1055120,0,1,,,,,,,,
The사랑노인요양원,225800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2198100,1,1,12,2408600,1,0,12,2408600,0,0,13,2619640,1,1,12,2408600,0,0
The사랑지역아동센터,112820,3,780920,0,0,3,780920,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The숲어린이집,569820,13,2393400,0,0,13,2393400,0,0,13,2393400,0,0,13,2393400,0,4,9,1673420,0,0,9,1673420,0,0,9,1673420,0,0,10,1880960,1,0,10,1915900,0,0,11,2123440,1,2,12,2374620,3,1,13,2573960,2,0
The아름다운재가장기요양기관,462800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4010080,3,0,27,4357600,1,1,27,4251120,1,3,26,4166260,2,0,27,4251120,1,3
The예주,451870,32,4539560,1,2,34,4863560,4,3,34,4631640,3,2,34,4678260,2,3,32,4408260,1,3,30,4081020,1,1,29,3911460,0,0,30,4073460,1,1,30,3857380,1,2,28,3590980,0,0,31,4100020,3,1,31,4124320,1,0
THE이룸,494410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2154040,1,0
The자람,128865,6,1358320,0,0,6,1358320,0,0,6,1358320,0,0,6,1358320,0,0,6,1358320,0,0,8,1872760,2,0,9,2061760,1,0,10,2430760,1,0,10,2564000,0,0,10,2564000,0,0,10,2564000,0,0,10,2564000,0,0
THE조은치과의원,127467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4538100,0,0,15,4882900,1,1,14,4624160,0,0,14,4624160,0,0,14,4624160,0,0
THE좋은컴퍼니,418814,3,453040,0,1,,,,,,,,,,,,,3,544940,1,0,3,544940,0,0,4,724940,1,0,4,724940,0,2,,,,,,,,,,,,,,,,
The즐거운어린이집,103800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1785840,0,0,10,1946400,0,0,10,1946400,0,0,10,1946400,0,0,10,1946400,0,0
The참사랑복지센터,310910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2037900,0,0,17,2149820,0,1,16,2068200,0,2,15,2008700,1,1,14,1953460,0,1
THE채움,215826,4,1065400,0,0,4,1065400,0,0,4,1248000,0,0,4,1248000,0,0,4,1248000,0,0,4,1248000,0,0,4,1248000,0,0,4,1248000,0,0,4,1300560,0,0,4,1300560,0,1,3,914280,0,0,3,914280,0,0
THE챙김재가방문요양센터,898800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1051640,3,3,,,,,,,,
THE행복시니어센터,627800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1223760,0,1,11,1159140,0,1,11,1160400,1,1
TINTORIA,722860,3,563400,0,0,3,563400,0,1,,,,,3,567000,1,0,3,567000,0,0,4,738000,1,0,4,738000,0,0,4,738000,0,0,4,730080,0,0,4,730080,0,0,4,730080,0,0,4,730080,0,0
TIS,609813,24,9643480,0,0,24,9643480,0,0,24,9643480,0,0,25,9924720,1,0,25,9924720,0,0,26,10167720,1,0,26,10167720,0,0,26,10167720,0,0,26,10640420,0,0,26,10640420,0,0,26,10640420,0,0,26,10640420,0,0
TI솔텍,311811,10,3667340,0,0,10,3667340,0,0,10,3667340,0,0,10,3667340,0,0,10,3667340,0,0,10,3667340,0,0,10,3667340,0,0,11,3982340,1,0,11,4109140,0,0,11,4109140,0,0,11,4109140,0,0,11,4109140,0,0
TKD주식회사,621817,10,2521040,0,0,10,2521040,0,0,10,2521040,0,1,9,2314220,0,0,9,2314220,0,0,9,2314220,0,0,9,2314220,0,0,9,2314220,0,0,9,2386220,0,0,9,2386220,0,0,9,2386220,0,0,9,2386220,0,0
TK시스템,469810,,,,,,,,,,,,,6,513440,4,0,6,513440,0,0,6,513440,0,0,6,513440,0,0,6,513440,0,0,6,549440,0,0,6,549440,0,0,6,549440,0,2,4,371700,0,0
TL테크,401813,24,8695400,0,0,24,8695400,0,2,22,8308400,0,0,23,8515400,1,1,22,8317400,0,0,23,8515400,1,0,24,8936780,1,0,24,8936780,0,0,26,9996900,2,1,25,9603060,0,1,24,9396060,0,2,23,9010960,1,0
TMS,615812,29,7661440,1,1,28,7383160,0,1,27,7050440,0,1,26,6615920,0,0,26,6615920,0,1,28,7051140,3,3,26,6642460,1,1,25,6390380,0,24,,,,,,,,,,,,,,,,
TMTECH,138110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3753600,0,0,10,3844940,0,3,,,,,,,,,,,,
TM정공,122087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2270940,1,1,10,2580720,1,1,,,,,,,,,,,,
