company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
U,106865,12,3376040,0,0,12,3376040,0,0,12,3376040,0,0,12,3376040,0,1,11,3107300,0,0,11,3107300,0,0,11,3107300,0,0,11,3107300,0,0,11,3235000,0,0,11,3235000,0,0,11,3235000,0,0,11,3235000,0,0
U.D엔지니어링,206812,6,2200020,0,0,6,2200020,0,0,7,2389020,1,0,7,2389020,0,0,7,2389020,0,1,6,2145940,0,0,6,2145940,0,0,6,2145940,0,0,6,2088800,0,0,6,2088800,0,0,6,2088800,0,1,5,1794320,0,0
UCIC어린이집,788800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,4047120,1,0,21,4170100,0,0,21,4170100,0,1,21,4180900,1,1,21,4180900,1,0
UNIONHITECH,143022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3225800,0,0,12,3425320,0,0,12,4499200,0,0,12,4499200,0,0,12,4499200,0,0
UNIST어린이집,620827,30,6451520,1,0,30,6451520,0,1,30,6432980,1,0,30,6432980,0,3,29,6294380,2,0,30,6492380,1,0,30,6492380,0,0,30,6492380,0,0,31,7062200,1,0,31,7062200,0,0,31,7062200,0,0,31,7062200,0,0
UNSCHEM,621104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,9421680,0,0,26,10341080,0,0,26,10341080,0,0,26,10341080,0,0,26,10341080,0,0
USFI한국연락사무소,910840,18,7140280,0,0,18,7140280,0,0,18,7140280,0,0,18,7140280,0,0,18,7140280,0,0,18,7140280,0,1,18,7115880,1,1,17,6631860,0,1,16,6490980,0,1,15,6290380,0,0,15,6290380,0,0,15,6290380,0,0
USMCORP.LTD,606816,4,1370240,0,0,4,1370240,0,0,4,1370240,0,0,4,1370240,0,0,4,1370240,0,0,4,1370240,0,0,4,1370240,0,0,4,1370240,0,0,4,1348100,0,0,4,1348100,0,0,4,1348100,0,0,4,1348100,0,1
U치과기공소,719950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2363220,0,0,11,2392520,0,0,11,2392520,0,0,11,2392520,0,1,10,2215040,0,0
ULAB,210083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3962120,0,0,13,3705260,0,0,14,3942220,1,0,17,4720620,3,1,16,4487520,0,0
USCA,130829,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U15,604826,,,,,,,,,,,,,3,416160,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
