company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
VATKOREALTD,129816,39,18392040,0,1,39,18419040,1,0,39,18419040,0,0,39,18419040,0,0,39,18419040,0,0,40,18974340,1,0,40,18974340,0,0,41,19356660,1,0,42,21149120,1,1,43,21230120,2,1,42,21149120,0,0,42,21149120,0,0
VCC,446870,4,398340,1,1,3,135000,0,0,3,135000,0,0,3,135000,0,0,3,135000,0,0,3,135000,0,0,3,135000,0,0,3,135000,0,0,3,132820,0,0,3,132820,0,0,3,132820,0,0,3,132820,0,0
VEN60,840670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1784300,4,0,10,1807260,0,1,,,,,11,1810840,5,2,,,,
VIPkorea가정방문요양센터,215801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1561980,1,1,12,1683300,1,1,12,1683300,1,1,12,1683300,1,1,11,1629120,0,1
VIP동물의료센터서초동작점,614216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4743660,1,0,20,5651400,2,0,20,5651400,0,2,18,5315080,0,1,17,4965260,0,1
VIP보명요양원,152800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,5054720,3,1,26,5334560,2,3,25,5178880,2,1,25,5198680,1,2,23,4766680,0,1
VIP요양원,156800,6,1153340,0,0,6,1153340,0,0,7,1346840,1,0,8,1544840,1,0,8,1544840,0,0,9,1763540,1,0,9,1763540,0,0,9,1763540,0,1,9,1669820,1,0,9,1669820,0,1,8,1480820,0,0,10,1944580,2,0
VIP,397920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,5181300,1,1,24,4915940,0,0,24,4915940,0,0,25,5136440,1,1,25,5172900,1,1
VIP,366800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1930660,0,1,,,,,,,,,,,,,,,,
VIP,707800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,5214420,1,2,23,5052800,2,2,24,5275560,3,3,21,4612980,0,0,24,5261880,3,2
VNISolution,142814,8,2202260,0,0,9,2387660,1,2,7,1924620,0,0,7,1924620,0,0,7,1924620,0,0,7,1924620,0,0,9,2301900,2,0,9,2301900,0,0,9,2423020,0,0,9,2423020,0,0,9,2423020,0,0,9,2423020,0,0
VOID_H,671200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1979500,0,2,11,1730120,1,1,10,1569740,0,1,10,1575580,1,0,10,1575580,0,0
VolvoCarKorea,106817,58,28168620,0,1,58,28322060,1,6,53,27319640,1,0,58,28580900,5,2,56,27470300,0,0,58,28255800,2,0,62,29619720,4,0,62,29619720,0,4,59,30835860,1,1,58,30262560,0,3,55,28997780,0,0,55,28997780,0,1
VOM,502926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4051220,0,0,14,4394300,1,0,14,4394300,0,0,14,4394300,0,1,13,4178300,0,0
V,109865,7,1126520,0,0,8,1234520,1,0,8,1234520,0,0,8,1234520,0,0,8,1234520,0,0,8,1234520,0,0,8,1234520,0,0,8,1234520,0,0,8,1300460,0,0,8,1300460,0,0,9,1426460,1,0,9,1426460,0,0
VICSYSKOREA,113867,3,1037960,0,0,3,1037960,0,0,3,1037960,0,0,3,1037960,0,0,3,1037960,0,0,3,1037960,0,0,3,1037960,0,0,3,1037960,0,0,3,1199420,0,0,3,1199420,0,0,3,1199420,0,0,3,1199420,0,0
VALID,125819,31,13282380,0,0,31,13282380,0,0,31,13282380,0,0,33,14026320,2,2,32,13320980,1,0,32,13320980,0,0,32,13320980,0,0,32,13320980,0,1,31,14317560,0,1,31,14201380,1,2,29,13228480,0,0,30,13546440,1,0
VIP,137860,12,4423280,0,1,11,3979500,0,0,11,3979500,0,0,11,3979500,0,0,11,3979500,0,0,11,3979500,0,0,11,3979500,0,0,11,3979500,0,0,11,4284140,0,0,11,4284140,0,0,11,4284140,0,0,11,4284140,0,0
VMK,520850,3,706040,0,0,3,706040,0,0,3,706040,0,0,4,922040,1,1,3,613160,0,0,3,613160,0,1,,,,,,,,,,,,,,,,,,,,,,,,
VII,609820,63,8622540,1,0,63,8617040,0,56,8,1295620,1,0,9,1475980,1,3,10,1658380,4,0,77,9794360,67,2,78,9495660,3,3,77,9462200,2,4,74,9413660,1,0,77,9943840,3,23,68,8854280,14,4,65,8284600,1,6
VII,613821,24,4861160,1,2,22,4573340,0,19,4,1059460,1,0,4,1059460,0,0,4,1059460,0,0,10,1623940,6,0,11,1713660,1,2,10,1659660,1,1,9,1520860,0,4,5,1182200,0,0,10,1985800,5,0,10,1985800,0,0
V,409820,24,5676840,0,0,25,5882220,1,21,6,1570480,2,0,7,1814820,1,0,7,1814820,0,0,8,2026680,1,0,8,2026680,0,0,8,2026680,0,2,11,2885180,5,0,12,3097040,1,2,10,2618600,0,2,6,1584160,1,2
V,403821,8,2346680,0,0,8,2346680,0,0,8,2346680,0,0,10,2792880,2,2,8,2217800,0,0,9,2427760,1,1,8,2217800,0,0,9,2442800,1,0,9,2661080,0,0,9,2661080,0,0,9,2661080,0,2,8,2215500,1,0
V,416821,6,1818800,0,0,6,1818800,0,0,6,1818800,0,0,6,1818800,0,0,6,1818800,0,0,6,1818800,0,0,6,1818800,0,1,6,1749760,1,0,6,1899060,0,0,6,1899060,0,0,6,1899060,0,1,5,1689100,0,0
V,403821,7,2042420,0,1,7,2107680,1,2,5,1626100,0,0,5,1626100,0,0,5,1626100,0,0,5,1626100,0,0,5,1626100,0,0,6,1851100,1,0,6,2111120,0,0,6,2111120,0,0,6,2111120,0,0,7,2525480,1,1
V,416821,26,4013160,0,0,27,4216920,1,26,,,,,,,,,,,,,14,1578600,12,1,16,1862260,3,2,14,1629700,0,1,13,1607300,0,10,3,634320,0,1,15,2059900,13,0,15,2059900,0,0
V,403820,13,956400,0,0,13,956400,0,6,7,608380,0,0,7,608380,0,0,7,622140,0,0,14,1047660,7,0,14,1047660,0,0,14,1047660,0,0,14,1028760,0,1,13,984480,0,3,16,1233840,6,1,15,1138440,0,0
V,403820,15,3433860,0,0,15,3433860,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
