company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
W,644810,,,,,,,,,,,,,,,,,,,,,,,,,3,1054520,2,0,4,1429460,1,0,4,1429460,0,0,4,1429460,0,0,4,1429460,0,0,4,1429460,0,0
WATOSCOREA,136812,97,26377160,4,1,96,26171960,0,1,96,26171960,1,2,94,25757960,0,0,96,26144060,2,1,97,26332520,2,2,95,25931400,0,1,95,25832040,1,0,95,26939800,0,1,94,26750800,0,2,92,26314660,0,4,90,25631220,2,2
WELCO,303820,25,3951560,0,0,26,4151260,1,3,24,4052260,1,0,24,4052260,0,0,24,4052260,0,2,23,4173860,1,0,23,4173860,0,0,23,4173860,0,0,23,4315380,0,0,23,4315380,0,1,23,4251920,1,0,23,4251920,0,0
WE,616822,8,1873760,0,0,8,1873760,0,0,8,1873760,0,0,8,1873760,0,1,7,1638600,0,0,7,1638600,0,0,7,1638600,0,1,6,1399120,0,0,6,1330900,0,1,6,1407400,1,1,6,1420820,1,2,5,1180160,1,0
WIDO,615815,5,2033620,0,0,5,2033620,0,0,5,2033620,0,0,5,2033620,0,0,5,2033620,0,0,5,2033620,0,0,5,2033620,0,0,5,2033620,0,0,5,2107240,0,0,5,2107240,0,0,5,2107240,0,1,4,1533940,0,0
WinTech,609209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2922640,1,0,11,3211180,0,1,10,2969980,0,1,10,2898160,1,0,11,3105160,1,0
WIT,201175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3550180,0,0,14,3661320,0,1,13,3436320,0,0,13,3436320,0,1,12,3179820,0,0
WITHMOM,105800,12,2405460,0,0,12,2405460,0,0,12,2405460,0,0,12,2405460,0,3,11,2224480,2,0,11,2224480,0,0,11,2224480,0,0,11,2224480,0,0,12,2542280,1,3,10,2116220,1,0,10,2116220,0,0,10,2116220,0,1
WJOlivia,404880,4,1227580,0,0,4,1227580,0,0,4,1227580,0,0,4,1227580,0,0,4,1227580,0,0,4,1227580,0,0,4,1227580,0,0,4,1227580,0,0,4,1208760,0,0,4,1208760,0,1,3,983580,0,0,3,983580,0,0
WM,124822,8,1472740,0,1,7,1360240,0,1,6,1238740,0,1,6,1238740,1,0,8,1472740,2,1,7,1360240,0,0,8,1468240,1,0,8,1468240,0,2,6,1263140,0,1,6,1263140,1,0,7,1384640,1,0,7,1384640,0,0
