company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
yes,605922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,6670880,2,4,26,7271980,2,1,25,6985060,0,0,27,7613440,2,6,22,5808500,1,1
24,63846340,0,0,126,64476340,2,1,127,68879080,2,2,126,68413780,1,1,127,68773780,2,1,128,69578380,2,0
YT,307812,19,7622840,0,0,19,7622840,0,0,20,7937840,1,0,20,7937840,0,0,20,7937840,0,0,20,7937840,0,0,20,7937840,0,0,20,7937840,0,0,20,8147700,0,0,20,8147700,0,0,22,8813700,2,0,22,8960940,0,0
YB,301803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2258120,1,0,12,2283720,0,1,12,2290560,1,0,12,2290560,0,0,12,2290560,0,0
YES,607814,5,1172580,0,0,5,1172580,0,1,4,947580,0,0,4,947580,0,0,4,947580,0,0,4,947580,0,1,3,722580,0,0,3,722580,0,0,3,743460,0,0,3,743460,0,0,3,743460,0,0,3,743460,0,0
YH,138817,5,1625120,0,0,6,2030120,1,1,5,1676600,0,0,5,1676600,0,0,5,1676600,0,0,5,1676600,0,0,6,1928600,1,1,5,1703600,0,0,5,1635020,0,0,5,1635020,0,1,4,1369520,0,0,4,1369520,0,0
Y.J,136812,4,1994760,0,0,4,1994760,0,0,4,1994760,0,1,3,1439460,0,0,3,1439460,0,0,3,1439460,0,0,3,1439460,0,0,3,1439460,0,0,3,1504340,0,0,3,1504340,0,0,3,1504340,0,0,3,1504340,0,0
Y.M.P,504812,115,33531520,1,1,116,33656540,2,0,117,33934000,1,0,118,34186000,1,3,116,33602180,1,0,118,33924380,2,0,118,33924380,0,3,118,34225440,3,3,116,34529080,1,0,116,34529080,0,3,114,33971100,1,3,111,33238800,0,1
Y.M,130400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,6775420,1,0,22,7226720,0,0,22,7226720,0,2,20,6650720,0,0,21,6821360,1,0
Y.TMOLDTECH,119026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4980560,0,0,17,5079900,0,0,17,5079900,0,2,15,4555660,0,0,15,4555660,0,0
YB,123907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,10260040,3,4,45,10377260,2,2,49,11428100,6,2,47,11017800,0,1,47,11125800,1,0
YCHKOREA,109861,34,11618660,0,1,34,11461620,1,0,34,11461620,0,1,33,11245620,0,0,33,11245620,0,0,33,11245620,0,0,33,11245620,0,1,33,11304480,1,0,33,11881660,0,1,32,11308360,0,0,32,11308360,0,0,33,11506360,1,1
YD,608147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2725760,1,0,10,2725760,0,1
YesCare,613806,11,2101560,3,1,10,1770360,0,0,12,2270760,2,1,13,2461740,2,1,12,2276340,0,1,12,2279580,1,0,12,2279580,0,12,0,0,0,0,,,,,,,,,,,,,,,,
YES,411826,5,915720,0,0,4,844720,0,0,4,844720,0,0,5,939220,1,0,5,939220,0,0,5,939220,0,0,5,939220,0,0,5,939220,0,0,5,1178280,0,0,5,1178280,0,0,5,1178280,0,0,5,1178280,0,1
YG,105819,491,183812960,22,13,482,180204620,4,18,475,176907220,11,12,478,177800200,15,24,457,169143820,3,20,452,167318920,15,15,441,164012640,4,7,443,165024260,9,13,436,173379260,6,23,419,167051220,6,9,421,166992480,11,15,422,167940520,16,10
YHB,410813,6,2338240,0,0,6,2338240,0,0,6,2338240,0,0,6,2338240,0,0,6,2338240,0,0,6,2338240,0,0,6,2338240,0,0,6,2338240,0,0,6,2308100,0,0,6,2308100,0,0,6,2308100,0,0,6,2308100,0,0
YH,513814,119,31679080,8,3,118,31332320,2,1,124,33144100,7,8,118,31547680,2,0,123,32821800,5,4,122,32738560,3,3,123,32767260,4,6,122,32723900,5,3,125,33970860,6,3,126,34530120,4,1,129,35920080,4,2,130,36019100,3,1
YH,510053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2423020,0,0,11,2544100,1,0,11,2544100,0,0,11,2544100,0,0,12,2760360,1,0
YJ,141827,6,1459760,0,0,6,1459760,0,0,6,1459760,0,0,6,1459760,0,0,6,1459760,0,0,6,1459760,0,1,5,1278420,0,0,5,1278420,0,0,6,1514580,1,0,6,1514580,0,0,6,1514580,0,4,,,,
YJ,234011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4178380,0,0,13,4743020,1,1,15,5387420,3,2,16,5580920,3,0,18,6405860,2,0
YJ,130442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2038580,0,0,11,2187440,0,2,,,,,,,,,,,,
YKTECH,140087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,6748560,1,0,24,6635480,1,0,26,7190420,2,3,25,6952640,2,0,25,6952640,0,0
YK,314817,8,455360,0,0,8,455360,0,0,9,500360,1,0,9,500360,0,0,9,500360,0,0,9,500360,0,0,9,500360,0,0,9,500360,0,0,9,503940,0,1,8,459760,0,0,9,504760,1,0,9,504760,0,0
YK,504816,5,1178360,1,0,5,1178360,0,0,5,1178360,0,0,5,1178360,0,0,5,1178360,0,0,6,1412360,1,1,6,1601360,1,0,6,1601360,0,0,6,1621420,0,0,6,1621420,0,0,6,1621420,0,0,6,1621420,0,0
YK,374880,6,2540140,0,0,6,2408640,0,0,6,2408640,0,0,6,2408640,0,0,11,4010640,5,0,13,4658640,2,0,14,4901640,1,0,14,4901640,0,0,14,4909660,0,0,14,4909660,0,0,14,4909660,0,2,12,3994360,0,0
YK,303072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2855300,0,0,14,3396540,1,0,14,3396540,0,0,14,3396540,0,0,14,3396540,0,0
YK,206865,11,2898240,0,0,11,2898240,0,0,11,2898240,0,0,12,3114240,1,0,12,3114240,0,0,13,3159860,1,0,13,3159860,0,1,12,2975460,0,0,13,3093560,1,1,12,2859560,0,1,11,2631320,0,5,6,1397240,0,0
YM,605238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,6698100,1,0,22,6837280,0,0,23,6981280,1,0,23,6981280,0,0,23,6981280,0,0
YM21,613850,4,1447820,0,0,4,1447820,0,0,4,1447820,0,1,3,1128680,0,0,3,1128680,0,0,3,1128680,0,0,4,1451420,1,1,3,1128680,0,0,4,1440620,1,0,4,1440620,0,0,4,1440620,0,0,4,1440620,0,0
YM21,613850,5,1623940,0,0,5,1623940,0,0,5,1623940,0,0,5,1623940,0,0,5,1623940,0,0,5,1623940,0,0,5,1623940,0,0,5,1623940,0,0,5,1601620,0,0,5,1601620,0,1,4,1279160,0,0,4,1279160,0,0
YM21,613850,26,8175320,0,0,26,8175320,0,2,25,7970480,1,1,24,7677720,0,1,23,7389720,0,0,24,7668720,1,0,24,7668720,0,1,24,7668720,1,0,24,7897760,0,1,26,8189540,3,3,23,7555940,0,0,23,7555940,0,1
YM21,613850,23,7270000,0,3,20,6411680,0,0,20,6411680,0,0,22,6987680,2,1,21,6693480,0,0,21,6693480,0,0,21,6693480,0,0,21,6693480,0,0,21,6862560,0,0,21,6862560,0,2,20,6523360,1,0,20,6523360,0,0
