company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
A,616814,4,412280,0,0,4,412280,0,0,4,412280,0,0,4,412280,0,0,4,412280,0,0,4,412280,0,0,4,412280,0,0,4,412280,0,0,4,787660,0,0,4,787660,0,0,4,787660,0,1,4,824020,1,0
A,132804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3067960,0,0,16,3743660,1,0,16,3766240,0,0,16,3766240,0,0,16,3766240,0,0
A,134803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3902980,2,1,19,3943680,1,4,17,3543180,2,1,17,3564240,1,1,17,3564240,1,0
A&E지혜어린이집,244800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3886260,0,0,24,4354620,1,1,25,4453620,2,0,26,4642260,1,0,27,4830900,1,1
A.G.I,605197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
A.L.S,137058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3071560,1,1,12,3169280,1,0,12,3169280,0,0,13,3357920,1,0,13,3357920,0,0
A.T.C,506814,5,1794760,0,1,4,1433680,0,0,4,1433680,0,0,4,1433680,0,0,4,1433680,0,0,4,1433680,0,0,4,1433680,0,0,5,1622680,1,0,5,1812420,0,0,5,1812420,0,1,4,1623420,0,0,4,1623420,0,0
A1auto,389060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2567760,1,0
AAA해오름실버케어,134827,28,5647720,0,0,29,5854720,1,2,29,5820960,2,0,30,6041900,1,1,29,5841020,0,2,30,6031920,3,1,31,6266720,2,2,29,5861720,0,2,29,5905400,2,1,30,6135340,2,2,30,6150900,2,0,30,6150900,0,0
AA가정방문요양센터,206801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1303340,1,0,11,1377040,1,0,12,1394240,1,3
ABB코리아,120810,435,213060840,5,2,436,213595800,3,3,439,214037400,6,5,438,213205700,4,3,441,214143860,6,5,443,214227460,7,6,441,212830860,4,5,443,214052540,7,4,444,227292700,5,4,450,228847580,10,4,449,228061800,3,3,452,229746240,6,4
ABCD종합관리,262870,4,475160,0,0,4,475160,0,1,3,318120,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC나노텍,314812,30,10002020,0,0,31,10329340,1,2,31,10174980,2,0,31,10174980,0,1,30,9515900,0,3,28,9189380,1,0,28,9189380,0,0,28,9189380,0,0,28,9274720,0,0,28,9274720,0,0,28,9274720,0,0,28,9274720,0,0
ABC동물의료센터,205113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4567500,1,4,,,,,,,,,,,,,,,,
ABC동화나라어린이집,225800,5,851660,0,0,5,851660,0,0,5,851660,0,0,5,851660,0,1,4,665360,0,0,4,665360,0,1,3,479060,0,1,,,,,3,554760,1,0,3,554760,0,0,3,554760,0,0,3,554760,0,0
ABC안과의원,605267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2517540,0,0,10,2717440,0,0,10,2717440,0,0,10,2717440,0,0,11,2964940,1,0
ABC어린이집,697800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2809440,0,0,14,2917720,0,2,13,2722340,1,0,13,2722340,0,0,14,2923660,1,0
ABF콘텐츠컴퍼니,584870,4,968920,0,0,4,968920,0,0,4,968920,0,0,4,968920,0,0,4,968920,0,0,4,968920,0,0,4,968920,0,0,5,1139920,1,0,5,1170360,0,0,6,1359360,1,0,6,1359360,0,0,6,1359360,0,0
ABO,211101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,7930780,3,2,24,7825360,1,2,23,7587760,1,1,24,7929760,2,0,25,8331700,1,2
ACETECH,416811,15,4490600,1,2,14,4166500,1,3,11,3304140,0,1,11,3305940,1,0,11,3305940,0,1,10,3117840,0,1,9,3068340,0,2,7,2463540,0,0,7,2388060,0,0,7,2388060,0,0,7,2388060,0,0,7,2369160,0,2
ACE마트,107347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2956940,0,0,11,2948560,0,0,11,2948560,0,0,11,2948560,0,0,11,2948560,0,1
Ace소망방문요양센터,309803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1253880,1,0,10,1349780,0,0,10,1349780,0,0,10,1349780,0,0,10,1349780,0,0
ADD아이뜰어린이집,218800,,,,,,,,,38,7528540,0,0,38,7528540,0,6,38,7300400,6,2,36,7191340,0,0,36,7191340,0,0,36,7191340,0,1,36,7398420,1,1,36,7398420,1,1,36,7399060,1,1,35,7204480,0,1
AFP통신서울지국,908840,15,6344320,0,0,15,6344320,0,0,15,6344320,0,0,15,6344320,0,0,15,6344320,0,0,15,6344320,0,0,15,6344320,0,0,15,6344320,0,0,15,6731840,0,0,15,6731840,0,0,15,6731840,0,0,15,6731840,0,1
AFW,504812,95,31860520,3,1,95,31702480,1,3,94,31364780,2,4,93,30981760,3,3,98,32457980,8,4,95,31607700,1,5,93,30857380,3,3,97,31813520,7,2,96,34457160,1,1,102,35071300,7,4,102,35234100,4,1,103,35546940,2,3
Ah늘함께지역아동복지센터,110821,5,1317840,0,0,5,1317840,0,0,5,1317840,0,0,5,1317840,0,0,5,1317840,0,0,5,1317840,0,0,5,1317840,0,0,5,1317840,0,0,5,1419100,0,0,5,1419100,0,0,5,1419100,0,0,5,1419100,0,0
AJ네트웍스주식회사,214864,,,,,,,,,,,,,,,,,633,241949860,20,10,631,240977520,8,18,620,237526440,7,15,615,235293260,10,7,619,259098420,11,5,616,258006640,2,12,609,255575240,5,14,611,255677220,16,7
AJ대원,117810,5,1271840,0,0,5,1271840,0,0,5,1271840,0,0,5,1271840,0,0,5,1271840,0,0,5,1271840,0,0,5,1271840,0,0,5,1271840,0,0,5,1326920,0,0,5,1326920,0,0,5,1326920,0,0,5,1326920,0,0
AJ대원,117810,4,1198960,0,0,4,1198960,0,0,4,1198960,0,0,4,1198960,0,0,4,1198960,0,0,4,1198960,0,0,4,1198960,0,4,0,0,0,0,,,,,,,,,,,,,,,,
AJ대원,117810,11,3235420,3,1,10,2946800,0,2,10,2921880,2,2,8,2326180,0,2,7,2009280,1,0,7,2009280,0,1,6,1710580,0,0,6,1710580,0,0,7,1995260,1,0,7,1995260,0,1,,,,,,,,
AJ대원,117810,5,1538340,0,0,5,1538340,0,0,5,1538340,0,0,5,1538340,0,0,5,1538340,0,0,5,1538340,0,1,4,1163940,0,1,5,1539880,2,0,5,1568700,0,2,5,1546200,2,1,4,1311300,0,0,4,1311300,0,0
AJ대원,234826,11,2386820,0,0,13,3025180,2,1,12,2760500,0,2,13,3061100,3,1,13,3067860,1,2,11,2790120,0,0,11,2790120,0,1,11,2785620,1,0,11,2903600,0,1,,,,,,,,,,,,
AJ대원,117810,,,,,,,,,,,,,,,,,4,1241080,4,0,5,1516120,1,0,5,1516120,0,0,5,1516120,0,1,4,1236580,0,0,6,1804660,2,0,,,,,,,,
AJ대원검단신도시푸르지오더베뉴아파트,117810,18,5210640,3,3,16,4605300,1,0,17,4921020,1,0,17,4921020,0,0,17,4921020,0,0,17,4921020,0,0,17,4921020,0,1,16,4696560,0,1,16,4619880,1,3,13,3821600,0,0,16,4542040,3,1,16,4510540,1,1
AJ대원까치마을2단지아파트,117810,3,825640,0,0,3,825640,0,0,3,825640,0,0,3,825640,0,0,3,825640,0,0,3,825640,0,0,3,825640,0,0,3,825640,0,0,3,816840,0,0,3,816840,0,0,,,,,,,,
AJ대원시범한빛마을아이파크관리사무소,117810,4,1262580,1,0,5,1587020,1,0,5,1587020,0,0,5,1587020,0,0,5,1587020,0,0,6,1999580,1,0,6,1999580,0,0,6,1999580,0,0,6,1925980,0,1,,,,,,,,,,,,
AJ대원양주회천한양수자인관리사무소,117810,4,1064680,0,0,4,1064680,0,0,4,1064680,0,0,4,1064680,0,0,4,1064680,0,0,4,1064680,0,0,4,1064680,0,0,4,1064680,0,0,4,1050300,0,0,4,1050300,0,0,,,,,,,,
AJ대원오산롯데캐슬스카이파크,117810,10,3142880,2,4,8,2494880,2,1,9,2791880,2,1,9,2778380,1,0,11,3448160,2,1,10,3011660,0,2,9,2651660,1,0,10,2921660,1,2,9,2541400,1,1,,,,,,,,,,,,
AJ대원파주문산역2차동문디이스트아파트,117810,8,2284100,0,0,8,2284100,0,0,8,2284100,0,1,8,2283460,1,1,7,1977460,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ대원한울마을LH2단지1BL아파트,117810,8,2386940,0,1,9,2703740,2,2,7,2153760,0,0,8,2482800,1,0,8,2482800,0,0,8,2482800,0,0,8,2482800,0,0,8,2482800,0,0,8,2506080,0,0,,,,,,,,,,,,
AJ아진,622810,,,,,,,,,,,,,,,,,,,,,103,48579120,0,0,105,49476760,2,0,105,49476760,0,0,105,52817880,0,0,105,52817880,0,2,106,53483320,3,1,105,52910020,0,0
AJ전국스카이,792870,23,6834920,5,2,21,6402920,0,0,25,8125060,4,2,23,7559320,0,1,23,7898620,1,0,25,7991560,2,0,25,7991560,0,0,25,7991560,0,2,23,8955340,0,0,23,8955340,0,5,18,6656200,0,0,18,6656200,0,0
AK로지스틱스,123863,25,8251480,2,0,28,8902180,3,2,26,8398640,0,1,26,8341400,1,1,25,8134400,0,1,24,7905540,0,2,22,7300480,0,0,23,7543480,1,1,24,8023160,2,0,24,8023160,0,2,22,7435740,0,2,23,7529340,3,4
AK웅진관세법인,121854,5,1440700,0,1,4,1255300,0,0,4,1255300,0,0,4,1255300,0,0,4,1255300,0,0,5,1431340,1,0,5,1431340,0,0,5,1431340,0,0,5,1471400,0,0,5,1471400,0,0,5,1471400,0,0,5,1471400,0,0
AK웅진관세법인,121861,10,2617780,0,0,10,2617780,0,0,10,2617780,0,0,11,2821180,1,1,10,2617780,0,0,10,2617780,0,0,10,2617780,0,0,10,2617780,0,0,10,2761680,0,0,10,2761680,0,0,10,2761680,0,0,10,2761680,0,0
AK정형외과의원,344980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5307000,0,0,19,6254560,2,1,21,6712020,3,2,20,6474340,1,1,19,6256900,0,0
AK항공,613196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3941940,0,0,13,4023900,0,0,13,4023900,0,0,13,4023900,0,0,13,4023900,0,0
ALF,606817,8,2806880,0,1,7,2555240,0,0,8,2870320,1,1,8,2915320,1,1,7,2600240,0,0,9,3231940,2,2,8,2877080,1,1,7,2600240,0,0,7,2768740,0,0,7,2768740,0,1,6,2462740,0,0,6,2462740,0,0
AMENG,101863,3,846780,0,0,3,846780,0,0,3,846780,0,0,3,846780,0,0,3,846780,0,0,3,537280,0,0,3,504260,0,0,3,504260,0,0,3,504260,0,0,3,504260,0,0,3,504260,0,1,,,,
AMG（에이엠지）,134286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
AMS코리아,127862,3,407600,0,0,3,407600,0,0,3,407600,0,0,3,407600,0,1,,,,,3,565100,2,2,,,,,,,,,,,,,,,,,,,,,4,877940,3,1
AMTEC（앰텍）,503204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3173040,0,0,10,3240660,0,0,10,3240660,0,0,10,3240660,0,0,10,3240660,0,1
ANA정공,503159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4332000,1,0,13,4707760,0,0,13,4707760,0,0,14,4932760,1,0,14,4932760,0,0
APS,229812,104,42722220,0,13,93,38048820,2,40,58,23999460,5,3,56,23115120,1,1,56,23115120,1,3,53,21714360,0,2,51,20675940,0,2,50,20089960,1,1,49,20850600,0,0,50,21039240,1,2,49,20693180,1,2,48,20357400,1,2
APU한국사무소,909840,4,1667660,0,0,4,1667660,0,0,4,1667660,0,0,4,1667660,0,0,4,1667660,0,0,4,1667660,0,1,3,1248360,0,0,3,1248360,0,0,3,1285540,0,0,3,1285540,0,0,3,1285540,0,0,3,1285540,0,0
AP시스템,204870,538,243056120,8,5,545,245859120,12,6,554,248448560,15,4,561,250972280,11,4,564,251823640,7,6,566,252204520,8,4,564,251600080,2,4,560,250100780,0,8,559,262120680,7,7,559,260308840,7,3,558,259971060,2,8,557,259022260,7,15
AP어린이집,443800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,5629100,1,0,30,6049120,1,0,30,6049120,0,0,30,6049120,0,1,31,5853100,2,0
AP오토서비스,371070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1792960,0,0,15,1876300,0,0,15,1876300,0,0,15,1876300,0,1,15,1876300,1,0
ARTCAP,129272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1478040,0,4,11,1427520,3,0,11,1427520,0,0,11,1427520,0,0,11,1427520,0,0
ARTSTAGE다올,132826,7,1244940,0,0,7,1244940,0,0,7,1066300,0,0,7,1066300,0,2,5,694440,0,2,3,460440,0,0,3,460440,0,0,5,917440,2,0,5,884840,0,0,5,884840,0,0,5,884840,0,1,4,656340,0,0
ARTTREE아카데미학원,759930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1505640,1,2,,,,,,,,,,,,,,,,
ASANENG,122816,8,2665600,2,1,7,2420620,0,0,8,2825620,1,1,7,2420620,0,0,8,2795560,1,0,8,2795560,0,0,8,2795560,0,1,9,2960620,2,0,9,3097960,0,0,9,2906980,0,2,7,2221000,0,0,7,2221000,0,0
ASE어린이집,141800,19,4042360,1,0,19,4042360,0,0,19,4042360,0,0,19,4042360,0,2,20,4216680,3,0,20,4216680,0,0,20,4216680,0,1,20,4216680,1,0,21,4671700,1,0,21,4671700,0,0,21,4671700,0,0,21,4671700,0,1
ASG인터내셔날,130815,23,11225760,0,0,23,11225760,0,0,23,11225760,0,0,23,11225760,0,0,23,11225760,0,0,23,11225760,0,0,23,11225760,0,0,23,11225760,0,0,23,12520780,0,0,23,12520780,0,1,22,11947480,0,0,22,11947480,0,0
ASV공동직장어린이집,501804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3482180,2,0,18,3619960,1,1,18,3755860,1,1,18,3806700,1,0,18,3806700,0,2
ATA주식회사,308811,15,5594600,0,0,15,5594600,0,1,14,5248100,0,0,15,5450600,1,1,14,5113820,0,1,13,4773260,0,1,12,4570760,0,0,12,4570760,0,0,12,4540440,0,0,13,4753380,1,0,13,4753380,0,0,14,4964880,1,0
ATA치과의원,469180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,7468580,1,0,23,7822640,0,0,24,8035400,1,0,24,8035400,0,0,24,8035400,0,2
ATS,301817,88,31837720,0,0,89,32125720,1,1,91,32664280,3,1,91,32780380,1,1,91,32650780,1,0,91,32650780,0,0,96,34225780,5,0,101,35336820,5,2,99,35840900,0,1,98,35542200,0,1,98,35587120,1,0,98,35587120,0,0
ATS코퍼레이션,519810,14,4433180,0,0,14,4433180,0,0,15,4622180,1,0,15,4622180,0,0,15,4622180,0,2,13,4189820,0,0,13,4189820,0,0,13,4189820,0,0,13,4143540,0,0,13,4143540,0,0,13,4143540,0,0,13,4143540,0,0
AT시스템,513816,9,2257140,0,0,9,2257140,0,0,9,2257140,0,0,9,2257140,0,1,8,2066800,0,0,8,2066800,0,0,8,2066800,0,0,8,2066800,0,0,8,2119560,0,0,8,2119560,0,0,8,2119560,0,0,8,2119560,0,0
AVACO,503814,400,164933960,3,3,400,164742520,3,5,399,164298620,4,4,399,164510120,4,2,399,164747000,2,5,394,162933440,0,6,391,162239920,3,3,389,161439820,1,6,387,177343300,4,1,388,177406300,2,4,385,176321540,1,3,385,175889260,3,4
AVATEC,503814,26,7816160,0,1,25,7260860,0,1,24,6988440,0,1,23,6538440,0,3,20,5742500,0,1,19,5605520,0,1,20,5676620,2,1,19,5385480,0,0,19,5714360,0,1,18,5465880,0,0,18,5465880,0,0,18,5465880,0,3
AVATEC구미점,503814,426,145438420,2,3,425,145189300,2,9,418,143385360,2,11,408,140902540,1,9,399,138259420,0,3,396,137207780,0,9,387,134491700,0,9,378,131768500,0,9,374,147844120,5,5,377,148213240,8,11,371,146063980,5,13,359,142538560,1,4
