company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
D&A,503814,3,1219200,0,0,3,1219200,0,0,3,1219200,0,0,3,1219200,0,0,3,1219200,0,0,3,1219200,0,0,3,1219200,0,0,3,1219200,0,0,3,1263400,0,0,3,1263400,0,0,3,1263400,0,0,3,1263400,0,0
D&A피부과,211104,,,,,,,,,,,,,,,,,,,,,,,,decoroom,126865,14,3948320,2,0,14,3948320,0,0,14,3948320,0,2,12,3538480,0,0,12,3538480,0,0,12,3538480,0,0,12,3538480,0,1,11,3314380,0,1,10,3192620,0,2,8,2741180,0,0,8,2741180,0,0,8,2741180,0,0
02200,0,0
D&S산전주식회사,315810,40,9159160,0,1,39,8973760,0,1,38,8703040,0,1,37,8524580,0,1,36,8299580,0,0,42,9475160,6,1,41,9164380,0,0,41,9164380,0,1,41,9484220,1,0,41,9484220,0,0,41,9484220,0,1,40,9118560,0,0
D.A산전,134815,4,1743120,0,0,4,1743120,0,0,4,1743120,0,1,3,1187820,0,0,3,1187820,0,0,3,1187820,0,0,3,1187820,0,0,3,1187820,0,0,3,1303740,0,1,,,,,,,,,,,,
D.H플라테크,122817,5,1592440,0,0,5,1592440,0,0,5,1592440,0,0,5,1592440,0,0,5,1592440,0,0,5,1592440,0,0,5,1592440,0,0,5,1592440,0,0,5,1619960,0,0,5,1619960,0,0,5,1619960,0,0,5,1619960,0,0
D.M.Tech,336030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3421480,1,0,10,3421480,0,1
D．S．N．B,515813,15,3856380,0,0,15,3856380,0,0,15,3856380,0,0,15,3856380,0,0,15,3856380,0,0,15,3856380,0,0,15,3856380,0,0,15,3856380,0,0,15,3990680,0,0,15,3990680,0,0,15,3990680,0,0,15,3990680,0,0
DA메트리얼,416818,3,1070080,0,0,3,1070080,0,0,3,1070080,0,0,3,1070080,0,0,3,1070080,0,0,3,1070080,0,0,3,1070080,0,0,3,1070080,0,0,3,817280,0,0,3,817280,0,0,3,817280,0,0,3,817280,0,0
DBCSI손해사정주식회사,220881,380,187172380,1,1,384,189382500,5,2,400,194580360,18,7,393,191009000,0,1,392,190807140,0,7,386,188228300,1,11,375,184695940,0,4,372,183124720,1,12,366,189070820,6,4,363,187295680,1,1,364,187513580,2,4,362,186570400,2,6
DB건설,128870,6,2860720,0,0,6,2860720,0,1,9,3565300,4,0,9,3565300,0,0,10,4026720,1,1,9,3565300,0,1,9,3805240,1,0,9,3805240,0,0,9,3882740,0,0,9,3882740,0,0,9,3882740,0,0,9,3882740,0,0
DB금융투자주식회사,116815,798,391649520,6,8,813,395825960,23,19,818,399269420,24,1,825,402650440,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB산업개발,128870,5,2105800,0,0,5,2105800,0,0,5,2105800,0,0,5,2105800,0,0,5,2105800,0,0,6,2661100,1,2,5,2218220,1,0,5,2218220,0,0,5,2300660,0,1,4,1742220,0,0,5,2315520,1,0,5,2315520,0,1
DB생명보험（주）,202811,585,271266880,0,3,586,271309200,4,2,601,277291320,17,5,609,278427680,13,3,608,277847080,2,7,604,276355700,3,3,606,277087400,5,5,603,275339940,2,5,600,292453500,2,3,598,291182440,1,5,598,290637580,5,4,601,291372200,7,8
DB손해보험아이사랑어린이집,106800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2632200,1,0,11,2752500,0,0,11,2752500,0,0,11,2752500,0,0,11,2752500,0,0
DB캐피탈,202815,37,18529600,0,2,35,17419000,0,1,36,18026500,2,0,37,18581800,1,0,39,19616260,2,0,39,19616260,0,1,39,19458480,1,1,38,18913080,0,1,37,19032280,0,0,39,20107680,2,2,37,18961080,0,0,37,18961080,0,1
DB하이텍,211811,1996,944204320,16,20,1979,937766540,3,5,2010,947775540,36,35,2097,977022940,122,40,2081,969772140,24,48,2110,975172100,77,34,2098,971733380,22,33,2102,969697820,37,27,2130,1009647080,55,30,2145,1016551540,45,24,2152,1018949720,31,21,2163,1020897220,32,20
DB하이텍햇살어린이집,130827,,,,,,,,,13,2630400,13,0,13,2630400,0,2,11,2174100,0,0,12,2274000,1,0,12,2274000,0,0,12,2274000,0,0,12,2416900,0,1,11,2317000,0,0,11,2317000,0,0,11,2317000,0,0
DCFTREK,606815,48,21068660,0,0,48,21068660,0,1,47,20598860,0,0,47,20521020,0,0,47,20521020,0,0,47,20521020,0,0,47,20521020,0,0,47,20521020,0,0,47,21457420,0,0,47,21457420,0,2,45,20310820,0,3,42,18911960,0,0
DCN미디어,120860,3,868040,0,0,3,868040,0,0,3,868040,0,0,3,868040,0,0,3,868040,0,0,3,868040,0,0,3,868040,0,0,3,868040,0,0,3,889740,0,0,3,889740,0,0,3,889740,0,0,3,889740,0,0
DCT코리아,402860,3,686320,0,0,3,686320,0,0,3,686320,0,0,3,686320,0,0,3,686320,0,0,3,686320,0,0,3,686320,0,0,3,686320,0,0,3,685960,0,0,3,685960,0,0,3,685960,0,0,3,685960,0,1
DELCOM,124208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,15981260,0,1,51,16936960,3,1,51,16738520,1,1,50,16320020,0,2,48,16106620,0,1
