company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
ibk남동사랑어린이집,631800,17,4382860,0,0,18,4508680,1,0,18,4508680,0,0,18,4508680,0,1,17,4414000,0,0,17,4414000,0,0,17,4414000,0,0,17,4414000,0,0,17,4667740,0,0,17,4667740,0,0,17,4667740,0,0,17,4667740,0,0
iCS（아이씨에스）,129378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,12618460,2,0,59,13828120,1,1,59,13826680,1,0,59,13827580,0,2,58,13534720,1,0
iM단디지역아동센터,514821,,,,,,,,,,,,,,,,,,,,,4,937040,0,0,4,937040,0,0,4,937040,0,0,4,1025160,0,0,4,1025160,0,0,4,1025160,0,0,4,1025160,0,0
is뽈리나어린이집,301890,39,7028620,0,0,39,7028620,0,0,39,7028620,0,0,40,7127620,1,1,41,7314280,2,3,39,7008480,1,1,39,6921180,1,4,36,6478380,1,0,36,6454940,0,3,35,6423340,2,0,35,6423340,0,0,35,6423340,0,1
i사랑해어린이집,759800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1624020,0,0,10,1762460,0,0,10,1762460,0,0,10,1762460,0,0,10,1762460,0,0
i와숲어린이집,403821,8,1526700,0,0,8,1526700,0,1,8,1529580,1,0,8,1529580,0,6,7,1302520,5,0,7,1302520,0,0,7,1302520,0,1,8,1526160,2,0,8,1534720,0,0,8,1534720,0,0,8,1534720,0,1,7,1435720,0,0
i,698800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1304760,0,1,,,,,,,,,,,,,,,,
i,137803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1918320,1,0,12,1987180,0,0,12,1987180,0,0,12,1987180,0,0,12,1987180,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2894880,0,0,14,3006200,0,1,14,2903520,1,1,14,3058060,1,0,14,3111520,0,0
IBK참좋은어린이집,217801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1965760,0,0,10,2071400,0,1,10,2127900,1,0,10,2127900,0,0,10,2127900,0,0
IBK참좋은어린이집,144800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2508260,0,0,12,2608180,0,0,12,2608180,0,2,11,2478400,1,0,11,2478400,0,1
ICP,585810,26,6354660,0,0,26,6354660,0,1,25,6142080,0,0,25,6142080,0,1,26,6343140,2,1,25,6143520,0,0,27,6548520,2,0,27,6548520,0,0,28,7577440,1,1,27,7395020,0,0,27,7395020,0,0,27,7395020,0,0
ICT폴리텍대학,126820,12,3148420,1,1,12,3140220,1,2,11,2810740,1,1,10,2632460,0,0,11,2839900,1,2,9,2133500,0,2,9,2383060,2,1,10,2632980,2,1,9,2311940,0,0,9,2311940,0,1,9,2311320,1,1,9,2443900,1,0
IC테크,514813,3,1071540,0,0,3,1071540,0,0,3,1071540,0,0,3,1071540,0,0,3,1071540,0,0,3,1071540,0,0,3,1071540,0,0,3,1071540,0,0,3,1104380,0,0,3,1104380,0,0,3,1104380,0,0,3,1104380,0,0
IDHINC,128280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2776460,1,0,12,3030380,1,2,11,2817980,1,0,11,2817980,0,1,10,2244680,0,0
IDnComm,211786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4345860,0,0,13,4242360,0,1,12,4278100,0,1,11,4000820,0,0,12,4207820,1,0
IEN한창,621810,126,35206060,6,4,128,35333620,6,3,125,34497980,0,3,126,34775820,4,3,128,35674740,5,6,123,34625000,1,3,124,34731300,4,3,122,34172320,1,0,124,36071440,2,3,124,35926280,3,0,125,36181240,1,3,124,35704060,2,6
IGS코리아,109811,14,3099580,0,1,14,2991400,1,1,13,2825440,0,0,20,4359940,7,1,19,4116940,0,0,23,5047540,4,5,19,4430140,1,0,20,4637140,1,0,20,4576480,0,1,19,4244020,0,0,19,4244020,0,2,17,3824440,0,0
INB정전기산업,140810,5,1144880,0,0,5,1144880,0,1,4,946700,0,0,4,946700,0,0,4,946700,0,0,4,946700,0,0,4,946700,0,0,4,946700,0,0,4,972420,0,0,4,972420,0,0,4,972420,0,0,4,972420,0,0
INC정밀,130396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,7610460,1,0,36,7722160,0,0,36,7722160,0,2,34,7217360,0,0,36,7734500,2,0
INNOTECH,130396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,8232900,1,1,29,8662500,0,0,29,8662500,0,2,30,8818580,3,0,30,8818580,0,0
INNO정밀,601023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4469320,1,0,15,4631940,0,0,15,4631940,0,1,14,4469680,0,0,14,4469680,0,0
INS헤어,135322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2236860,1,1,,,,,10,2236760,1,1,,,,,10,2250180,2,1
INTER,113863,5,1525940,0,0,5,1525940,0,0,5,1525940,0,0,5,1525940,0,0,5,1525940,0,0,5,1525940,0,0,5,1525940,0,0,5,1525940,0,0,5,1708720,0,0,5,1708720,0,0,5,1708720,0,0,5,1708720,0,0
IS,123343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4572740,0,0,15,4671400,0,0,15,4671400,0,0,15,4671400,0,2,13,3901360,0,0
ISK바이오사이언스코리아,220866,5,2377160,0,0,5,2377160,0,0,5,2377160,0,0,6,2647160,1,0,6,2647160,0,0,6,2647160,0,0,6,2647160,0,0,6,2647160,0,1,5,2124980,0,0,5,2277440,0,0,5,2277440,0,0,5,2277440,0,0
ISL계기（유）,609818,15,6162980,1,0,15,6162980,0,0,15,6162980,0,0,15,6162980,0,0,15,6162980,0,0,16,6387980,1,2,14,5733600,0,1,13,5308440,0,0,15,6113480,2,0,15,6113480,0,1,16,6297960,2,1,15,5786400,0,0
ISO,119039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3011640,0,0,11,3060860,0,0,11,3060860,0,0,11,3060860,0,0,11,3060860,0,0
IS산전,133814,7,2654780,0,0,7,2654780,0,0,8,2935580,1,0,8,2935580,0,0,8,2935580,0,0,8,2935580,0,0,8,2935580,0,0,8,2935580,0,0,8,3070040,0,0,8,3070040,0,0,8,3070040,0,0,8,3070040,0,0
ITDictionary,605235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2558100,0,1,10,2731100,1,0,10,2731100,0,0,10,2731100,0,0,10,2731100,0,1
ITS영남,621224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3310560,0,0,11,3495280,0,0,11,3495280,0,0,11,3495280,0,0,11,3495280,0,0
ITW건화,606812,37,15006440,1,0,37,15006440,0,1,37,14864500,1,0,37,14864500,0,1,37,14878720,1,0,37,14878720,0,0,37,14878720,0,0,37,14878720,0,1,36,15038420,0,0,36,15038420,0,0,36,15038420,0,0,36,15038420,0,0
ICL,755850,18,5012960,1,0,18,5012960,0,0,18,5012960,0,0,18,5012960,0,0,18,5012960,0,17,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
ITS,125861,5,1960460,0,0,5,1960460,0,0,5,1960460,0,0,5,1960460,0,0,6,2230460,1,0,6,2230460,0,0,6,2230460,0,0,6,2230460,0,0,6,2314700,0,0,6,2314700,0,0,6,2314700,0,0,6,2314700,0,0
ImpactWalkers,217105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,4361880,3,1,23,4855260,0,0,23,4855260,0,1,24,5015200,2,2,22,4588880,0,1
IDEC,402821,4,1064240,1,0,5,1262240,1,1,4,1064240,0,0,4,1064240,0,0,3,866240,0,0,3,866240,0,0,3,866240,0,0,3,866240,0,0,3,1010500,0,0,3,1010500,0,0,3,1010500,0,0,3,1010500,0,0
IFC,362810,6,1358180,0,0,6,1358180,0,0,6,1358180,0,0,6,1358180,0,2,4,990540,0,0,5,1134540,1,0,5,1107720,0,0,5,1107720,0,0,5,1213900,0,1,4,939680,0,0,5,1191680,1,0,5,1191680,0,1
ITonNetCoLtd,113864,19,5681080,0,0,20,5895540,1,0,20,5895540,0,0,20,5895540,0,0,20,5895540,0,2,21,6155000,3,2,19,5696000,0,0,21,6124920,2,1,21,6534620,1,1,20,6248960,0,0,20,6248960,0,1,21,6486900,2,0
