company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
J&P수영장,211136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3593400,1,0,17,3774740,1,1,16,3443900,0,1,15,3254900,0,0,16,3479900,1,1
J&P수영장,691480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4883840,0,1,13,4971180,0,0,13,4971180,0,0,13,4971180,0,0,15,5448180,2,2
J&S,609215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2984280,0,0,10,3172360,0,0,10,3172360,0,0,10,3172360,0,0,10,3172360,0,0
J.C몰드（주）,124818,23,6260740,0,0,23,6260740,0,1,22,6058860,0,0,22,6072260,0,1,21,5886860,0,0,22,6075500,1,0,23,6382940,1,0,24,6571580,1,0,25,7297620,1,3,22,6528040,0,1,21,6324380,0,1,21,6488360,1,0
J．KTech,621089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,5292740,0,0,19,5558060,1,0,19,5558060,0,0,20,5746700,1,0,20,5746700,0,1
J．K산업,515067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3888680,1,0,13,3917120,0,1,12,3675300,0,0,12,3675300,0,1,11,3439420,0,0
J.S.전자,476440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3126080,0,0,16,3243340,0,0,16,3243340,0,0,16,3243340,0,0,16,3243340,0,0
J.T.C,613229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,9170060,1,2,37,11511540,4,1,38,11889540,2,2,38,11732140,2,1,40,12190780,3,0
J.W기공,610069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3492960,0,1,,,,,,,,,,,,,,,,
J1모터스,822350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,5523440,0,0,18,5680060,0,0,18,5680060,0,0,19,5912700,1,2,17,5282880,0,0
JBG로지스틱스,605816,17,6655280,0,0,17,6655280,0,1,16,6331640,0,0,16,6331640,0,0,16,6331640,0,0,16,6331640,0,0,16,6331640,0,0,16,6331640,0,0,16,6367560,0,0,16,6367560,0,0,16,6367560,0,0,16,6367560,0,0
JBM,610812,29,8909900,0,0,29,8909900,0,0,31,9490400,2,0,32,9805400,1,1,31,9175120,0,2,31,9103040,2,0,34,10029400,3,1,33,9788840,0,0,35,11701200,2,1,36,11902440,2,0,37,12299880,1,1,36,11951220,0,1
JB마린주식회사,602816,8,3430140,0,0,8,3443820,0,0,8,3443820,0,0,8,3443820,0,0,8,3443820,0,0,8,3443820,0,0,8,3443820,0,0,8,3443820,0,0,8,3206480,0,0,8,3309260,0,0,8,3309260,0,1,7,2748560,0,0
JB메디케어,387810,18,4810140,1,1,18,4842720,1,0,18,4842720,0,0,18,4842720,0,0,18,4842720,0,0,19,5031720,1,0,20,5220720,1,1,19,4956940,0,1,18,5584440,0,0,18,5584440,0,1,18,5571300,1,1,17,5316160,0,2
JCCFoodKorea,794860,3,693000,1,0,3,693000,0,0,4,909000,1,1,3,693000,0,0,5,1053000,2,1,6,1233000,2,0,7,1422000,1,3,5,1044000,1,0,9,1851560,4,1,9,1770560,1,1,8,1590560,0,3,5,987560,0,0
JCG,783880,9,2623400,0,1,8,2411280,0,0,8,2411280,0,0,8,2411280,0,1,7,2186820,0,1,7,1917900,1,0,7,1917900,0,0,7,1917900,0,0,7,1827960,0,0,7,1827960,0,0,7,1827960,0,0,7,1827960,0,2
JCS,757880,9,3172280,0,0,12,4447220,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JCS몰드,513816,26,8788320,0,0,26,8788320,0,0,26,8788320,0,0,26,8788320,0,0,27,9033840,1,1,27,9039960,1,0,27,9039960,0,0,27,9039960,0,0,27,9303040,0,0,27,9303040,0,1,27,9196380,1,0,27,9196380,0,0
JC산업,606054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4151040,0,2,,,,,,,,,,,,,,,,
