company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
다가가,661880,3,671740,0,0,3,671740,0,0,3,671740,0,0,3,671740,0,0,3,671740,0,0,3,671740,0,0,3,671740,0,0,3,671740,0,0,3,525500,0,0,3,525500,0,0,3,525500,0,0,3,525500,0,0
다가본산업주식회사,312819,10,2733820,0,0,10,2733820,0,1,10,2716360,1,0,10,2716360,0,0,10,2716360,0,0,10,2716360,0,0,10,2716360,0,0,10,2716360,0,0,10,2709060,0,0,12,3087060,2,1,11,2895720,0,1,10,2706720,0,0
다가서서,674860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,758700,2,0,3,758700,0,0,3,758700,0,0,3,758700,0,0
다가서해그랑블관리사무소,312811,4,1088980,1,0,4,1088980,0,0,5,1349620,1,1,4,1039120,0,0,4,1039120,0,0,4,1039120,0,1,5,1361860,2,0,5,1361860,0,0,5,1383560,0,0,5,1383560,0,0,5,1383560,0,0,5,1383560,0,0
다가스광학,879880,6,1670000,0,0,6,1699620,0,1,5,1510620,0,0,6,1717620,1,0,6,1717620,0,1,5,1510620,0,0,5,1510620,0,0,5,1510620,0,0,5,1628680,0,0,6,1808680,1,0,6,1808680,0,1,5,1628680,0,0
다가어린이집,312803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2811280,0,1,14,3083240,1,0,14,3083240,0,0,14,3083240,0,0,14,3083240,0,1
다가온,522810,4,379240,0,0,4,379240,0,0,4,379240,0,0,4,379240,0,0,4,335960,0,0,4,335960,0,0,4,335960,0,0,4,335960,0,0,4,274940,0,0,4,274940,0,0,4,274940,0,0,4,274940,0,0
다가온수영장,404910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2646000,2,1,12,2628000,1,0,12,2628000,0,0,12,2628000,0,0,12,2628000,0,1
다가올아이앤씨,317860,21,8283560,1,0,23,8780000,2,1,22,8328560,0,0,23,8883860,1,0,23,8883860,0,1,22,8328560,0,1,21,8027880,0,0,22,8583180,1,0,22,9151120,0,0,22,9151120,0,0,22,9151120,0,0,22,9151120,0,0
다가옴,529820,,,,,,,,,13,1156240,1,1,12,1109180,0,0,12,1109180,0,0,12,1109180,0,0,12,1109180,0,0,12,1109180,0,0,16,1313960,4,1,15,1277960,0,0,15,1277960,0,0,16,1313960,1,1
