company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
라가르데르엑티브엔터프라이즈코리아유한회사,211887,6,2953700,0,0,6,2953700,0,0,6,2953700,0,0,6,2953700,0,0,6,2953700,0,0,6,2953700,0,0,6,2953700,0,0,6,2953700,0,0,6,3060800,0,0,6,3060800,0,0,6,3060800,0,0,6,3060800,0,0
라경,418812,6,1103480,0,0,6,1103480,0,0,6,1103480,0,0,6,1103480,0,0,6,1103480,0,0,6,1103480,0,0,6,1103480,0,0,6,1103480,0,1,5,930320,0,0,5,930320,0,0,5,930320,0,0,5,930320,0,0
라경건설주식회사,408860,12,3126020,0,0,12,3126020,0,0,12,3126020,0,1,11,2796900,0,0,12,3066900,1,1,11,2808780,0,0,12,3224300,1,1,13,3338060,2,2,11,2837040,0,0,11,2837040,0,0,11,2837040,0,0,11,2837040,0,1
라경건설주식회사,408860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1731600,7,0,,,,,,,,,,,,
라경임업,313812,6,868840,2,0,6,868840,0,0,6,868840,0,0,6,868840,0,1,5,688840,0,1,5,699740,1,5,,,,,,,,,,,,,,,,,0,0,0,0,,,,
라경종합건설,124865,10,3687960,2,0,10,3687960,0,0,13,4866140,3,2,11,4170180,0,0,11,4170180,0,0,11,4170180,0,0,11,4170180,0,0,11,4170180,0,0,11,4171000,0,0,11,4171000,0,0,11,4171000,0,0,11,4171000,0,0
라경종합건설,124865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1888640,4,3
라경찬한의원,503905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,5943740,0,0,17,6868460,1,0,17,6868460,0,0,18,7093460,1,1,17,6735620,0,2
라곰디자인,586860,8,2261660,1,1,8,2320160,1,0,8,2320160,0,0,9,2581160,1,0,9,2581160,0,1,8,2302160,0,0,10,2833160,2,1,10,2824160,1,0,10,2871860,0,0,10,2871860,0,0,11,3141860,1,0,11,3141860,0,0
라곰메디,679070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2715740,1,0,11,3083940,1,1,11,2806380,1,1
