company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
마가렛보호작업장,224820,16,3115840,1,0,16,3115840,0,1,15,2560540,0,0,15,2560540,0,1,16,2546760,2,0,16,2546760,0,0,16,2546760,0,0,16,2546760,0,0,16,2668800,0,0,16,2668800,0,0,16,2668800,0,0,16,2668800,0,1
마가렛사회복지회나루최중증발달장애인통합돌봄서비스제공기관,121821,,,,,,,,,4,1073700,2,0,4,1073700,0,0,6,1650840,2,0,8,1976720,2,0,10,2430940,2,0,10,2430940,0,0,10,2440740,0,0,13,3358740,3,0,13,3358740,0,0,13,3358740,0,0
마가뮤직주식회사,214886,3,668420,0,0,3,668420,0,0,3,668420,0,0,3,668420,0,0,4,866420,1,0,4,866420,0,0,4,866420,0,0,4,866420,0,1,3,702440,0,0,3,702440,0,0,3,702440,0,0,3,702440,0,0
마가보감직거래유통,111819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2421000,8,0,10,2556000,1,0,10,2556000,0,3
마가커피,634810,5,1440880,0,0,5,1440880,0,0,5,1440880,0,0,5,1440880,0,0,5,1440880,0,2,3,825820,0,0,3,825820,0,0,3,825820,0,0,3,894120,0,0,3,894120,0,0,3,894120,0,0,3,894120,0,0
마가켐,124870,11,4495800,0,1,10,3968940,0,0,12,4433880,2,0,13,4775880,1,0,13,4775880,0,2,12,4516240,1,0,12,4516240,0,1,13,4664560,2,1,13,4395100,1,1,13,4410040,1,3,11,3658180,1,1,10,3325100,0,0
마감자재,202813,18,4669660,0,0,18,4669660,0,0,18,4669660,0,1,17,4451140,0,0,17,4451140,0,0,18,4668660,1,0,18,4668660,0,0,18,4668660,0,0,18,4847760,0,0,19,5070060,1,2,18,4828060,1,0,18,4828060,0,1
마강전기,703870,5,1691360,0,0,5,1691360,0,0,5,1691360,0,0,5,1691360,0,0,5,1691360,0,0,5,1691360,0,0,5,1691360,0,0,5,1691360,0,0,5,1706200,0,0,5,1706200,0,0,5,1706200,0,0,5,1706200,0,0
마게바코리아주식회사,220881,6,2319700,0,0,6,2319700,0,0,6,2319700,0,0,6,2319700,0,0,6,2319700,0,0,6,2319700,0,0,6,2319700,0,0,6,2319700,0,0,6,2403340,0,0,6,2403340,0,0,6,2403340,0,0,6,2403340,0,0
마계촌닭갈비,748630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
