company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
사）강원DPI강릉지회,226826,48,7855900,0,1,49,8187820,2,3,47,8153360,1,1,48,8390960,2,0,50,8588960,2,0,54,9294380,4,0,60,10095380,6,2,58,9753380,0,1,61,10537540,4,4,61,10606860,4,3,60,10391940,2,3,59,10200600,2,2
사）강원도지체장애인협회고성군지회,227826,4,1005360,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사）경기장애인부모연대안산지부,134820,23,1952280,0,0,23,1952280,0,21,,,,,,,,,22,1882440,20,0,22,1882440,0,1,21,1807020,0,0,21,1807020,0,0,22,1890540,1,0,22,1890540,0,0,22,1890540,0,0,22,1890540,0,0
사）경기장애인부모연대안산지부,134820,114,13838000,9,5,121,14840100,12,5,126,15572400,10,5,135,16564960,14,5,145,17884480,15,2,153,18963620,10,7,157,19525840,11,1,166,20642700,10,7,167,22625760,8,4,172,23589800,9,2,176,24110400,6,1,182,25048080,7,10
사）경기장애인부모연대안산지부,134820,4,141740,0,0,4,141740,0,0,4,141740,0,0,4,141740,0,0,4,141740,0,0,4,141740,0,0,4,141740,0,0,4,141740,0,1,3,108000,0,0,3,108000,0,0,3,108000,0,0,3,108000,0,0
사）경기장애인자립생활센터협의회이천시지부이삭IL센터,126821,45,7185680,1,0,45,7185680,0,2,46,7485560,3,2,47,7580780,3,2,47,7668440,2,1,48,7830440,2,2,48,7832780,2,2,48,7859780,2,1,51,8611900,4,0,52,8782900,1,0,53,8953900,1,0,53,8953900,0,4
사）경북지적발달장애인복지협회안동시지부,508820,12,1764940,0,0,13,1831900,1,1,14,2004600,2,2,16,2238860,4,0,17,2431900,1,2,18,2733040,3,0,20,2954420,2,2,20,3011200,2,0,20,3005520,0,3,19,3060600,2,0,21,3367120,2,0,22,3503380,1,0
사）경북지체장애인협회예천군지회,512820,15,2425640,0,0,15,2425640,0,1,14,2308380,0,0,15,2445180,1,1,15,2413680,1,0,15,2413680,0,0,16,2530680,1,1,15,2402880,0,0,15,2494560,0,0,15,2494560,0,0,16,2575560,1,0,16,2575560,0,2
사）경상남도시각장애인복지연합회밀양지회,615826,3,949860,0,0,3,949860,0,0,3,949860,0,0,3,949860,0,0,3,949860,0,0,3,949860,0,0,3,949860,0,0,3,949860,0,0,3,1035520,0,0,3,1035520,0,0,3,1035520,0,0,3,1035520,0,0
사）경상남도지체장애인연합회창녕군지회,608821,4,855720,0,0,4,855720,0,0,4,855720,0,0,4,855720,0,0,4,855720,0,0,4,855720,0,0,4,855720,0,0,4,855720,0,0,4,895020,0,0,4,895020,0,0,4,895020,0,0,4,895020,0,0
사）경상남도지체장애인연합회함안군지회,393820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,770220,4,1,4,699480,0,0,4,699480,0,0,4,699480,0,0
사）경상북도장애인부모회경산시지부,515820,25,5033020,0,0,26,5229220,1,0,30,5919600,4,0,30,5919600,0,2,28,5530800,0,1,28,5571660,1,0,30,5965320,2,0,30,5965320,0,3,31,7004660,4,2,31,6959220,2,1,32,7153260,2,1,33,7369260,2,2
사）경상북도장애인부모회구미시지부,513820,11,2330680,1,0,11,2330680,0,0,12,2627680,1,0,12,2627680,0,0,12,2627680,0,1,12,2670700,1,1,12,2677000,1,0,12,2677000,0,0,12,2788500,0,0,12,2788500,0,0,13,2982540,1,0,13,2982540,0,0
사）경상북도지속가능발전협의회,513820,3,945340,0,0,3,945340,0,0,3,945340,0,0,3,945340,0,0,3,945340,0,0,3,945340,0,0,3,945340,0,0,3,945340,0,0,3,998980,0,0,3,998980,0,0,3,998980,0,0,3,998980,0,0
사）광주서구장애인협회,410821,133,17647160,6,3,132,17540060,2,6,134,17830320,8,7,128,16837220,1,6,129,17030000,7,1,139,18083760,11,7,136,17685340,4,5,134,17529660,3,2,139,18335620,7,2,142,18586620,5,7,141,18334540,6,3,144,18550160,6,4
