company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
아.루다사회적협동조합,787820,3,380700,0,0,3,380700,0,0,3,380700,0,0,3,380700,0,0,3,380700,0,0,3,380700,0,0,3,380700,0,1,,,,,,,,,,,,,,,,,,,,
아가곱드래,616822,40,6739740,1,1,39,6645240,0,0,43,6992720,4,0,43,6992720,0,0,43,6992720,0,0,44,7089920,1,1,44,7162460,1,0,44,7162460,0,0,45,7972740,1,3,42,7370300,0,0,43,7467500,1,1,42,7370300,0,1
아가나여성의원,866970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3905360,0,1,15,4686080,4,3,14,4445780,2,3,12,3408080,1,3,15,4060220,6,4
아가누리,151940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1079980,0,2,,,,,13,1300480,4,5,,,,,10,1012120,2,1
아가랑어린이집,217826,13,2654300,0,0,13,2654300,0,0,13,2654300,0,0,13,2654300,0,5,13,2582680,5,0,13,2582680,0,0,14,2681680,1,0,14,2681680,0,0,14,2745580,0,0,14,2745580,0,0,14,2745580,0,0,14,2745580,0,0
아가랑어린이집,504800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3402760,0,0,17,3890700,2,0,18,4089060,1,1,19,4199940,2,0,19,4199940,0,0
아가마지서부산점가사간병,471820,3,363760,1,0,3,363760,0,0,3,363760,0,0,3,363760,0,0,3,363760,0,1,,,,,,,,,3,367720,1,1,,,,,,,,,,,,,,,,
아가방가놀이방,301800,7,1160700,1,0,7,1160700,0,0,7,1160700,0,0,7,1160700,0,1,6,982780,0,0,6,982780,0,1,6,989360,1,0,6,989360,0,1,5,700280,0,0,5,700280,0,0,5,700280,0,0,5,700280,0,0
아가방앤컴퍼니,220810,141,50462980,3,4,137,48965760,0,1,139,49525280,3,4,138,48819600,3,3,137,48481400,2,2,137,48092320,2,3,136,47485100,2,2,135,47169480,1,12,124,42104660,1,3,124,41764540,3,9,117,39294780,2,7,111,37381400,1,2
아가사랑어린이집,226827,7,1495140,0,0,7,1495140,0,0,7,1495140,0,0,7,1495140,0,0,7,1495140,0,0,7,1495140,0,0,7,1495140,0,1,8,1712760,2,0,8,1799060,0,0,8,1799060,0,0,8,1799060,0,0,8,1799060,0,0
아가쏘잉협동조합,325880,6,1127200,0,0,6,1127200,0,2,4,716720,0,0,4,716720,0,0,4,716720,0,1,3,624480,0,0,3,624480,0,2,,,,,,,,,,,,,,,,,,,,
아가야어린이집,114800,6,942720,0,0,6,942720,0,0,6,942720,0,0,6,942720,0,3,3,536740,0,0,3,536740,0,0,3,536740,0,0,3,536740,0,0,4,696760,1,0,4,696760,0,0,4,696760,0,0,4,696760,0,0
아가월드몬테소리,427880,3,1140900,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아가의집（사회복지법인아가）,616822,29,10512580,1,0,31,11050040,2,1,30,10738380,0,0,31,11015040,1,0,31,11015040,0,1,30,10738380,0,0,30,10973020,0,0,32,11506720,2,1,32,11650800,1,0,32,11960760,0,1,31,11828100,0,0,32,12093600,1,0
아가천사어린이집,132804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1787120,1,0,10,1787120,0,1
아가타여행사,110817,4,1059900,0,0,4,1059900,0,0,4,1059900,0,0,4,1059900,0,0,4,1059900,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아가파오미니스트리,114826,12,1738640,0,0,12,1738640,0,0,12,1738640,0,0,12,1738640,0,0,12,1738640,0,0,14,2035640,2,0,14,2035640,0,0,14,2035640,0,0,14,2031620,0,0,14,2031620,0,0,14,2031620,0,0,15,2175620,1,0
아가파의원,404210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4528660,1,0,14,4665380,0,1,14,4606620,1,4,10,2851720,0,0,11,3040720,1,1
아가파의원,655100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2808240,1,1,10,2808240,1,0
아가파의원,701300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3467860,1,0,11,3517160,0,0,11,3517160,0,2,,,,,,,,
아가파의원,837130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3119220,0,0,10,3168800,0,1,,,,,,,,,10,3173300,1,2
아가파의원,859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3068240,1,0,10,3125660,0,0,10,3125660,0,2,,,,,,,,
아가페교회,217826,3,743660,0,0,3,743660,0,0,3,743660,0,0,3,743660,0,0,3,743660,0,0,3,743660,0,0,3,743660,0,0,3,743660,0,0,3,805380,0,0,3,805380,0,0,3,805380,0,0,3,805380,0,0
아가페노인복지센터,415802,6,650780,1,0,6,650780,0,1,6,596780,1,1,5,526580,0,0,5,526580,0,0,5,526580,0,0,5,526580,0,0,5,526580,0,0,5,587300,0,0,5,587300,0,1,4,506300,0,1,4,505320,1,0
아가페노인전문요양원,403820,16,3126920,0,0,16,3126920,0,0,17,3335000,1,0,17,3335000,0,1,16,3138360,0,1,15,2941720,0,1,15,2957920,1,0,16,3155920,1,0,16,3303040,0,1,15,3105040,0,0,16,3294040,1,1,15,3089380,0,2
아가페데이케어센터,246820,7,1231440,0,0,7,1231440,0,0,7,1231440,0,1,6,1038300,0,0,6,1038300,0,0,7,1208940,1,0,7,1208940,0,0,7,1208940,0,0,7,1236940,0,0,7,1236940,0,2,6,1069820,1,0,7,1242880,1,1
아가페데이케어센터,769820,10,1884120,3,0,10,1884120,0,0,10,1884120,0,0,10,1884120,0,0,11,2072760,1,2,9,1717900,0,0,9,1717900,0,0,9,1717900,0,0,9,1793660,0,0,9,1793660,0,0,9,1793660,0,1,10,1988600,2,0
아가페라이프（주）,606816,13,3014940,1,1,12,2859520,0,0,12,2859520,0,0,12,2859520,0,1,11,2873300,0,0,12,3061940,1,2,10,2697000,0,4,7,2180960,1,1,6,1720800,0,0,6,1720800,0,2,6,1693800,2,0,6,1693800,0,0
아가페몬테소리어린이집,515800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3566200,0,0,23,3654460,0,0,23,3654460,0,0,23,3654460,0,0,23,3654460,0,0
아가페물산주식회사,607817,9,3500060,0,0,9,3500060,0,1,8,2944760,0,0,8,2944760,0,0,8,2944760,0,0,8,2944760,0,0,9,3312760,1,0,9,3312760,0,0,9,3395580,0,0,9,3395580,0,0,9,3395580,0,0,9,3395580,0,1
아가페방문요양센터,272800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2091100,1,3,17,2180560,0,1,18,2250580,2,2,18,1937040,2,4,15,1730580,1,2
아가페사회적협동조합,546820,20,3934680,1,1,20,3934140,1,0,21,4136280,1,0,21,4136280,0,0,21,4136280,0,0,21,4136280,0,3,19,3775020,1,0,20,3977160,1,0,20,4205480,0,2,19,4023780,1,1,18,3830380,0,1,18,3797260,1,0
아가페사회적협동조합아가페지역아동센터,407821,4,905480,0,0,4,905480,0,0,4,905480,0,0,4,905480,0,0,4,905480,0,0,4,905480,0,0,4,905480,0,1,3,628460,0,0,3,624840,0,1,3,638160,1,0,3,638160,0,0,3,638160,0,0
아가페실버센터,408826,11,2268940,1,0,11,2268940,0,1,11,2280360,1,0,11,2280360,0,0,11,2280360,0,0,11,2280360,0,1,12,2233380,2,2,11,2182980,1,0,11,2415740,0,0,12,2493680,1,0,13,2696180,1,0,13,2696180,0,1
아가페실버케어센터,496800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1199580,2,3,12,1091120,1,1,13,1158620,2,0,14,1230620,1,0,14,1230620,0,2
아가페어린이집,615801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3734680,0,0,19,4008960,0,0,21,4411600,2,1,21,4417540,1,0,21,4417540,0,0
아가페요양원,314804,9,1654520,0,1,8,1476500,0,0,8,1476500,0,2,7,1301720,1,0,8,1490440,1,0,10,1867880,2,0,11,2056600,1,2,10,1867880,1,0,11,2109240,1,1,10,1920520,0,1,9,1744580,0,0,9,1744580,0,0
아가페요양원,537800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2533640,1,1,14,2951240,3,2,14,2925600,2,2,13,2756940,1,0,13,2756940,0,0
아가페요양원,713800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4304420,1,1,19,4099260,0,0,19,4099260,0,0,19,4099260,0,1,18,3892260,0,0
아가페요양원,671800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1955940,1,0,10,1964120,0,0,10,1964120,0,0,10,1964120,0,0,10,1964120,0,0
아가페요양원,613870,14,3088160,1,0,15,3313160,1,1,14,3091860,0,1,14,3091860,1,0,14,3091860,0,1,14,3082860,1,1,15,3361860,2,0,16,3586860,1,0,17,3779140,1,2,16,3567480,1,2,17,3765040,3,1,16,3549400,0,0
아가페의집,345820,15,3169680,2,2,15,3169680,2,3,13,3012840,1,2,13,2999720,2,1,13,2993160,1,1,13,2993160,1,1,14,3061740,2,1,14,3061740,1,0,15,3211440,1,3,14,3142860,2,2,14,3136300,2,2,14,3246080,2,2
아가페장애평생교육센터,128928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3564320,0,0,17,3815580,0,0,17,3815580,0,0,17,3815580,0,0,17,3815580,0,1
아가페주간보호센터,626800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2535880,0,0,14,2676520,0,0,14,2676520,0,0,14,2676520,0,1,14,2678060,1,0
아가페지역아동센터,108828,5,1064480,0,0,5,1064480,0,0,5,1064480,0,0,5,1064480,0,0,5,1064480,0,0,5,1064480,0,0,5,1064480,0,0,5,1064480,0,0,5,1155740,0,1,5,1158520,1,1,4,930380,0,0,5,1128740,1,0
아가페지역아동센터,117820,8,1633300,0,0,9,1840300,1,3,6,1455920,0,0,7,1550680,1,0,7,1550680,0,0,7,1550680,0,0,7,1550680,0,0,7,1550680,0,0,7,1608360,0,0,7,1608360,0,0,7,1608360,0,0,7,1608360,0,0
아가페지역아동센터,515800,4,1007540,0,0,4,1007540,0,0,4,1007540,0,0,4,1007540,0,0,4,1007540,0,0,4,1007540,0,0,4,1007540,0,0,4,1007540,0,0,4,1091340,0,0,4,1091340,0,0,4,1091340,0,0,4,1091340,0,0
아가페출판사,114816,32,8959440,1,2,32,8926960,2,1,31,8703320,0,0,33,9080600,2,1,32,8891960,0,1,34,9536820,3,1,33,9348180,0,0,34,9536820,1,2,32,9752720,0,1,31,9564080,0,1,31,9527180,1,0,31,9527180,0,0
아가페출판사분당지점,144850,3,883520,0,0,3,883520,0,0,3,883520,0,0,3,883520,0,0,3,883520,0,0,3,883520,0,0,3,883520,0,0,3,883520,0,0,3,964260,0,0,3,964260,0,0,3,964260,0,0,3,964260,0,0
아가피아산후도우미,609919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,784040,0,0,10,736520,0,0,10,736520,0,0,10,736520,0,0,10,760460,0,1
아강주식회사,515814,6,1740280,0,0,6,1740280,0,0,6,1740280,0,0,6,1740280,0,0,6,1740280,0,0,6,1740280,0,0,6,1740280,0,0,6,1740280,0,0,6,2140860,0,0,6,2140860,0,0,6,2140860,0,0,6,2140860,0,0
아거스,214816,231,85301220,2,5,227,84295220,1,4,226,83728480,3,3,227,83670880,4,3,229,84336880,5,4,234,86016300,9,2,239,87991700,7,7,236,86680500,4,1,237,92749300,2,3,234,91885660,0,6,235,91917880,7,1,236,91883800,2,3
아거스어패럴,631880,10,2346180,0,0,10,2346180,0,0,10,2346180,0,0,10,2346180,0,0,10,2346180,0,0,10,2346180,0,0,10,2346180,0,0,10,2346180,0,0,12,2955380,2,3,9,2323240,0,0,9,2323240,0,0,12,2911480,3,2
아게건축사사무소주식회사,172810,,,,,,,,,,,,,,,,,,,,,,,,,3,162000,3,0,3,162000,0,0,3,162000,0,0,3,162000,0,0,3,162000,0,0,3,162000,0,0
아게이트,101868,35,9208760,3,3,32,8355840,0,1,31,8078200,0,2,30,7910620,1,2,33,8761020,5,1,33,8775960,1,1,35,9135860,3,2,33,8698280,0,0,33,8938700,0,0,34,9183140,1,2,32,8783900,0,1,32,8941140,1,0
아경물산주식회사,130863,3,984040,0,0,3,984040,0,0,3,984040,0,0,3,984040,0,0,3,984040,0,0,3,984040,0,0,3,984040,0,0,3,984040,0,0,3,1054700,0,0,3,1054700,0,0,3,1054700,0,0,3,1054700,0,0
아경산업,215812,8,2694940,0,0,8,2694940,0,1,8,2870540,1,0,8,2870540,0,0,9,3158540,1,0,9,3158540,0,0,9,3158540,0,0,9,3158540,0,0,9,3286500,0,0,9,3286500,0,0,9,3286500,0,1,9,3303960,1,0
아고,639810,11,3228440,0,0,11,3228440,0,0,11,3228440,0,0,11,3228440,0,0,11,3228440,0,1,11,3252820,1,0,11,3252820,0,1,11,3282800,1,1,10,3231700,0,0,10,3231700,0,0,10,3231700,0,0,10,3231700,0,0
아고다인터내셔널한국연락사무소,101840,68,27853920,2,1,69,28353780,2,2,71,29185560,4,1,73,29713400,3,0,75,30559400,2,1,75,30559400,1,2,73,29663820,0,2,72,29519460,1,3,70,30901360,1,3,70,30471800,3,3,70,29911740,3,0,72,30773040,2,2
아고다트레블오퍼레이션스코리아유한회사,275870,232,66215280,0,9,224,64149080,1,5,228,65045060,9,3,238,67424120,13,4,237,67155100,3,17,222,63727740,2,8,214,61669400,0,12,213,61457540,11,8,206,64322260,1,7,199,62550000,0,7,197,61139100,5,15,182,56614860,0,8
아고다페이먼트코리아유한회사,114872,8,3855600,0,0,8,3855600,0,0,8,3855600,0,0,8,3855600,0,0,9,4410900,1,1,8,3855600,0,0,8,3855600,0,0,8,3855600,0,0,8,4040340,0,0,8,4040340,0,0,8,4040340,0,0,8,4040340,0,0
아고라개발주식회사,224816,3,1233260,0,0,3,1233260,0,0,3,1233260,0,0,3,1233260,0,0,3,1233260,0,0,3,1233260,0,0,3,1197080,0,1,,,,,,,,,,,,,,,,,,,,
아고스,113862,43,15033720,0,0,43,15033720,0,0,43,15033720,0,0,43,15033720,0,2,43,15178720,2,1,46,16134040,4,0,47,16394860,1,1,51,18191600,5,0,,,,,,,,,,,,,,,,
아고스비전,195860,6,1757700,0,0,6,1757700,0,2,4,1216980,0,0,4,1216980,0,0,4,1216980,0,1,3,882720,0,0,3,882720,0,0,3,669420,0,0,3,700460,0,0,3,700460,0,1,,,,,,,,
아광엔지니어링,301812,4,1142820,0,0,4,1142820,0,0,4,1142820,0,0,4,1142820,0,0,4,1142820,0,0,4,1142820,0,0,4,1142820,0,0,4,1142820,0,1,4,1206600,1,1,3,936600,0,0,3,936600,0,0,3,936600,0,0
아구스팩토리,120880,8,3334480,0,1,7,3141440,0,3,5,1739060,1,0,5,1739060,0,0,5,1739060,0,0,5,1739060,0,0,5,1739060,0,0,5,1739060,0,0,5,1812580,0,0,5,1812580,0,0,5,1812580,0,0,5,1812580,0,0
아궁이건설주식회사,112860,,,,,,,,,,,,,,,,,,,,,3,567000,3,0,3,567000,0,0,3,567000,0,0,3,567000,0,0,3,567000,0,0,3,567000,0,0,3,567000,0,0
아그네상사,202816,4,1874700,0,0,4,1874700,0,0,4,1874700,0,0,4,1874700,0,0,4,1874700,0,0,4,1874700,0,0,4,1874700,0,0,4,1874700,0,0,4,1952800,0,0,4,1952800,0,0,4,1952800,0,0,4,1952800,0,0
아그네스메디컬,458860,34,12259760,0,1,34,12341660,1,0,35,12569980,1,1,34,12232480,0,0,34,12232480,0,0,36,13230400,2,2,34,12568100,0,1,36,13316000,3,1,35,13407080,0,1,35,13369640,1,1,34,13028900,0,0,34,13028900,0,1
아그네스수산,201814,34,12305220,10,0,35,12577920,1,2,34,12307920,1,1,17,7333140,0,0,33,12039720,0,1,32,11780340,0,1,32,11804640,1,1,34,12361740,3,4,31,13799400,1,4,28,12249600,1,1,27,11676300,0,2,30,12260860,5,1
아그니코리아주식회사,109862,47,15447960,2,0,47,15447960,0,0,47,15447960,0,1,46,15202720,0,0,50,16380540,4,2,52,17228680,4,3,52,17504820,3,2,52,17161120,2,2,56,19229280,6,2,55,18716560,1,1,58,19333520,4,1,60,19939480,3,1
아그라나프루트코리아주식회사,301811,77,27245560,0,5,74,26871160,2,4,78,27672260,8,3,75,26746440,0,1,84,29456820,10,6,80,28516960,2,0,89,30752940,9,1,90,30689660,2,7,85,31042980,2,2,97,35425780,14,10,91,33992580,4,4,94,35237180,7,5
아그라대전신세계,195850,16,2279660,4,0,16,2279660,0,0,16,2279660,0,1,16,2158080,1,2,16,2335460,2,3,14,2155020,1,1,13,2092920,0,0,13,2092920,0,1,14,2258020,2,1,13,2174600,0,2,14,2235360,3,1,13,2173260,0,1
아그라센터원,163850,16,3353080,2,3,17,3404660,4,3,18,3487460,4,2,17,3254360,1,3,16,3161660,2,2,18,3526060,4,3,18,3533180,3,2,17,3275880,1,0,17,3324720,0,0,17,3324720,0,3,17,3510180,3,1,16,3234880,0,3
아그라씨티아이에프씨여의도,881850,7,1465460,2,0,9,1584260,2,0,12,1785860,3,3,11,1739960,2,3,11,2179860,3,3,14,2133320,6,0,14,2133320,0,4,13,2066640,3,0,13,2058160,0,0,15,2210260,2,3,14,2289720,2,0,15,2379720,1,0
아그라용산,562850,21,4069940,1,0,21,4069940,0,4,24,4520840,7,2,23,4400240,1,6,22,4134380,5,3,24,4196660,5,0,24,4196660,0,4,21,3790840,1,4,23,4562720,6,1,26,4535820,4,5,23,4384180,2,0,23,4384180,0,0
아그라이엑스신세계경기,567850,3,195300,0,1,4,230400,2,2,3,173700,1,0,4,232200,1,1,4,232200,1,1,3,174600,0,0,3,174600,0,2,,,,,,,,,,,,,,,,,,,,
아그라제이디안성스타필드,109854,7,916560,1,1,6,854460,0,1,7,905760,2,0,8,967860,1,3,6,872460,1,0,8,1187000,2,2,6,1001240,0,0,7,1091240,1,1,7,1086440,1,1,8,1020300,2,1,7,942000,0,0,7,942000,0,0
아그라제이디의왕,872850,15,2499300,15,4,13,2313000,2,0,18,3074760,5,4,19,3251060,5,1,18,3003200,0,3,15,2794400,0,1,17,2920760,3,0,19,3230720,2,4,15,2870960,0,1,17,3026660,3,4,14,2789060,1,2,15,2915420,3,2
아그라제이디평촌점,858850,8,1542600,2,1,7,1481400,0,0,8,1695780,1,1,7,1634580,0,1,8,1697580,2,0,9,1954620,1,1,8,1684620,0,2,7,1627560,1,1,6,1353760,0,1,5,1291660,0,0,5,1291660,0,0,5,1291660,0,1
아그라지에프씨,159850,7,1786660,0,0,7,1786660,0,0,7,1786660,0,2,8,2045300,3,0,9,2352820,1,1,9,2283880,1,0,10,2559180,1,1,9,2307180,0,0,11,2838160,2,0,11,2838160,0,0,11,2838160,0,0,11,2838160,0,0
아그라홀딩스인디아&고유샤브을지로점,568850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,246600,3,0,3,246600,0,3,,,,,,,,
아그레망,128867,24,8695160,0,0,24,8695160,0,0,24,8695160,0,0,24,8695160,0,0,24,8695160,0,0,24,8695160,0,0,25,9028160,1,0,25,9028160,0,0,25,9259240,0,2,23,8495240,0,1,23,8431980,1,1,22,8145520,0,0
아그레코코리아,215875,11,5483560,0,0,11,5483560,0,0,11,5483560,0,1,10,4928260,0,0,10,4928260,0,0,10,4928260,0,0,10,4928260,0,0,12,5863000,2,0,12,6123640,0,0,12,6123640,0,0,12,6123640,0,0,12,6123640,0,0
아그로드주식회사,314819,21,8537620,0,0,21,8537620,0,0,21,8537620,0,0,21,8537620,0,0,21,8537620,0,2,22,8694860,3,2,20,8229920,0,0,20,8229920,0,1,19,8371720,0,0,20,8560720,1,0,20,8560720,0,0,20,8560720,0,0
아그로박스,510811,17,5176220,3,0,17,5176220,0,2,16,4861220,1,0,17,5041220,1,3,14,4429220,0,1,14,4398360,1,0,15,4659360,1,1,16,4911360,2,0,17,5544400,1,0,17,5544400,0,1,18,5697400,2,0,18,5697400,0,0
아그로카네쇼코리아,220884,3,1335500,0,0,3,1335500,0,0,3,1335500,0,0,3,1335500,0,0,3,1335500,0,0,3,1335500,0,0,3,1335500,0,0,3,1335500,0,0,3,1382580,0,0,3,1382580,0,0,3,1382580,0,0,3,1382580,0,0
아그로테크농업회사법인주식회사,315813,3,577960,0,0,3,577960,0,0,3,577960,0,0,3,577960,0,0,4,802960,1,1,3,577960,0,0,3,577960,0,0,4,766600,1,0,4,874600,0,0,4,874600,0,0,4,874600,0,0,4,874600,0,0
아그로텍,305814,5,1566340,0,0,5,1566340,0,0,5,1566340,0,0,5,1566340,0,0,5,1566340,0,0,5,1566340,0,0,5,1566340,0,0,5,1566340,0,5,,,,,,,,,,,,,,,,
아그로팜유한회사,696870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,810000,1,0
아그루코리아,201817,37,19122120,0,0,37,19122120,0,0,38,19677420,1,0,38,19677420,0,1,37,19122120,0,0,37,19122120,0,0,38,19677420,1,0,38,19677420,0,0,38,20644220,0,0,38,20644220,0,0,38,20644220,0,0,38,20644220,0,2
아그루코리아인더스트리,222870,22,10828300,0,1,22,10759360,1,0,22,10759360,0,0,22,10759360,0,0,23,11119360,1,0,23,11119360,0,2,21,10204060,0,1,20,9693940,0,0,21,10581680,1,0,22,10956620,1,0,22,10956620,0,0,23,11354420,1,0
아그리영농조합법인,141860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1025360,1,0,3,1025360,0,0,3,1025360,0,0
아그리젠토주식회사,611811,55,14574020,2,3,54,14388620,2,3,53,14126280,2,1,55,14575740,3,1,57,14953020,3,2,60,15632240,5,2,59,15481940,1,15,45,12887060,1,2,43,12980920,0,1,45,13411300,3,1,58,15843100,14,0,58,15843100,0,1
아그막,214869,5,2037840,1,0,5,2037840,0,0,5,2037840,0,0,5,2037840,0,0,5,2037840,0,0,5,2037840,0,0,5,2037840,0,0,5,2037840,0,0,5,2006980,0,0,5,2006980,0,0,5,2006980,0,0,5,2006980,0,0
아그파머티리얼즈코리아유한회사,358810,6,2544740,0,0,6,2544740,0,0,6,2544740,0,0,6,2544740,0,0,6,2544740,0,0,6,2544740,0,0,6,2544740,0,0,6,2544740,0,0,6,2490820,0,0,6,2490820,0,0,6,2490820,0,0,6,2490820,0,0
아기곰어린이집,642800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1986480,1,0,10,1986480,0,0,10,1986480,0,0
아기공룡어린이집,237800,5,945140,0,0,5,945140,0,0,5,945140,0,0,5,945140,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아기나무어린이집,151800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1575680,0,0,11,1497480,1,2,,,,,10,1454020,1,0,10,1454020,0,1
아기나무어린이집,411801,6,959460,0,0,6,959460,0,0,6,959460,0,0,6,959460,0,1,7,978280,2,0,7,978280,0,0,7,978280,0,2,6,882160,1,0,7,1153880,1,0,7,1153880,0,0,7,1153880,0,1,6,975860,0,0
아기동산어린이집,113801,5,824280,0,0,5,824280,0,1,4,731140,0,0,5,827080,1,2,5,831400,2,1,5,831400,1,0,5,831400,0,1,4,735460,0,0,4,748060,0,0,4,748060,0,0,4,748060,0,0,4,748060,0,0
