company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
파가니건설,780880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1002600,3,0,8,3212100,6,8,,,,,0,0,0,0,,,,
파가니니악기,214862,7,1923280,0,0,8,2448240,1,1,7,2182020,0,0,7,2182020,0,1,6,1807080,0,0,6,1807080,0,0,6,1807080,0,0,6,1807080,0,0,6,1793060,0,0,6,1793060,0,0,6,1793060,0,0,6,1793060,0,0
파고다관광,227810,12,1612300,1,1,12,1534000,1,0,12,1534000,0,0,12,1534000,0,0,12,1534000,0,1,12,1545700,1,0,12,1545700,0,0,12,1545700,0,1,12,1565500,1,1,11,1450120,0,0,11,1450120,0,0,11,1450120,0,0
파고다브라이트어학원마포지점,547850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1393460,5,0,5,1393460,0,0,5,1393460,0,1,5,1289960,1,0,6,1586960,1,0
파고다브라이트어학원마포지점,584850,4,809360,0,0,4,809360,0,0,5,1124360,1,0,5,1124360,0,2,5,1325320,2,0,5,1325320,0,0,5,1325320,0,5,0,0,0,0,,,,,,,,,,,,,,,,
파고다아카데미,101812,13,2192980,2,0,14,2382880,1,0,14,2382880,0,1,95,26925560,2,2,13,2328520,1,2,12,2250940,1,0,14,2585280,2,2,12,2155980,0,1,15,2408700,4,0,17,2676000,2,1,16,2395740,0,1,17,2829720,2,1
파고다아카데미부산지점,605851,11,868300,0,3,13,938500,5,0,15,1008700,2,1,14,973600,0,1,14,973600,1,4,12,903400,2,2,13,938500,3,1,14,973600,2,3,13,1101120,2,2,13,1101120,2,1,13,1101120,1,0,13,1101120,0,1
파고다아카데미신촌지점,105850,3,494720,0,1,,,,,3,494720,1,0,4,529820,1,0,5,564920,1,0,5,564920,0,1,5,540080,1,0,5,540080,0,0,5,576540,0,0,6,612540,1,3,4,144000,1,0,4,144000,0,1
파고다아카데미외국인,101850,7,1329360,1,2,5,1038940,0,0,7,1329360,2,0,7,1329360,0,1,6,1104360,0,0,7,1329360,1,1,6,1104360,0,1,6,1104360,1,0,6,1112920,0,1,5,755180,0,0,7,850560,2,0,8,1208300,1,2
파고다에스씨에스,214876,105,25587680,3,5,104,25417040,4,7,102,25079180,5,0,105,25474540,3,2,108,26039900,5,1,110,26095440,3,8,102,24622180,0,16,87,21367200,1,3,84,20702780,0,2,86,21215520,4,3,84,20138400,1,8,77,18119760,1,6
