company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
하가,216870,11,2589280,0,1,10,2344840,0,0,10,2344840,0,2,8,1987540,0,0,8,1987540,0,0,8,1987540,0,0,8,1987540,0,0,8,1987540,0,0,9,2211520,1,1,8,2009300,0,0,9,2201260,1,1,8,2018840,0,0
하가엔젤어린이집,418801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2717480,0,0,14,2816420,0,0,14,2816420,0,0,15,2947280,1,0,15,2947280,0,1
하가휴먼빌어린이집,821800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1793720,0,0,11,1838220,0,0,11,1838220,0,0,12,2026860,1,0,12,2026860,0,0
하갈비국수정육식당,255850,31,8147160,2,0,35,8953380,4,4,33,8234300,2,1,33,8234300,1,4,32,8063300,3,8,24,6154420,0,1,25,6442420,2,2,25,6335960,2,1,26,6747580,2,2,27,7012820,3,1,27,7012820,1,2,27,7011380,2,3
하겐다즈강원영업소,688520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2418400,0,0,10,2344060,0,1,10,2344060,1,1,,,,,10,2348380,1,0
하경관세사무소,832630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2822640,2,1,10,2885640,1,0,11,3077600,1,0,11,3077600,0,0
하경기업,110812,29,10484360,0,1,28,10081700,0,1,27,9757260,0,0,27,9757260,0,1,27,9842300,1,2,25,9082160,0,0,25,9082160,0,0,25,9082160,0,1,25,11306480,1,0,26,11747920,1,1,25,11306480,0,0,25,11306480,0,1
하경기업（주）,132862,3,968300,0,0,4,1203380,1,0,4,1203380,0,0,4,1203380,0,0,4,1203380,0,0,4,1203380,0,0,4,1203380,0,0,4,1203380,0,0,4,1410100,0,0,4,1410100,0,1,3,935080,0,0,3,935080,0,0
하경산업,606860,62,19767300,1,0,65,20527700,3,1,65,20753340,1,1,66,20965100,2,3,65,20643000,2,1,64,20357980,0,3,63,20059100,2,0,67,21072120,4,0,68,23068880,1,2,66,22401360,0,0,68,22881680,2,2,66,22326920,0,0
하경산업개발주식회사,864860,5,1440960,0,0,5,1440960,0,0,5,1440960,0,0,5,1440960,0,0,5,1440960,0,0,5,1440960,0,0,5,1440960,0,0,5,1440960,0,0,5,1477580,0,0,5,1477580,0,0,5,1477580,0,0,5,1477580,0,0
하경상사,379870,4,818980,0,0,4,818980,0,0,4,818980,0,0,4,818980,0,0,4,818980,0,0,4,818980,0,0,4,818980,0,0,4,818980,0,0,4,749840,0,0,4,749840,0,0,4,749840,0,0,4,749840,0,0
하경엔지니어링,214861,17,7695580,0,1,16,7612160,0,0,16,7612160,0,4,12,5762320,0,0,12,5653780,0,0,12,5653780,0,0,12,5653780,0,0,12,5653780,0,0,12,5799660,0,0,12,5799660,0,0,12,5799660,0,0,12,5799660,0,0
하경엔지니어링강원지사,384850,3,807460,1,0,3,807460,0,0,3,807460,0,0,3,807460,0,0,3,807460,0,0,3,807460,0,0,3,807460,0,0,3,807460,0,0,3,820240,0,0,3,820240,0,0,3,820240,0,0,3,820240,0,0
하경이엔씨,113819,4,1206420,0,0,4,1206420,0,0,4,1206420,0,0,4,1206420,0,0,4,1206420,0,0,4,1206420,0,0,4,1206420,0,0,4,1206420,0,0,4,1230360,0,0,4,1230360,0,0,4,1230360,0,0,4,1230360,0,0
하경테크,628020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2640960,0,0,14,2640960,0,0,14,2640960,0,1,13,2452320,0,0,13,2452320,0,0
하계1차청구아파트입주자대표회의,225826,7,1562020,2,0,7,1562020,0,2,5,1140100,0,0,5,1140100,0,0,5,1140100,0,0,5,1140100,0,1,5,1166920,1,1,4,940480,0,0,4,955240,0,0,4,955240,0,0,4,955240,0,0,4,955240,0,0
하계방문요양센터,766800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1364560,2,1,13,1475320,1,2,14,1561900,3,2,12,1412500,0,0,12,1412500,0,1
하계실버센터,217826,45,11498680,2,1,44,11247940,0,1,43,11007640,0,1,43,11019780,1,2,42,10775080,1,0,42,10775080,0,0,42,10775080,0,1,42,10772460,1,2,40,10721560,0,0,41,10971120,1,1,41,10755300,1,1,40,10495740,0,0
하계어린이집,217820,15,3397880,0,0,15,3397880,0,0,15,3397880,0,0,15,3397880,0,1,16,3632500,2,1,15,3406240,0,1,15,3421620,1,0,15,3421620,0,1,15,3385160,1,0,15,3385160,0,0,15,3385160,0,0,15,3385160,0,0
하계장애인주간활동센터,604826,4,980340,0,0,4,980340,0,0,4,980340,0,0,4,980340,0,1,4,982760,1,0,4,982760,0,0,4,982760,0,0,4,982760,0,0,4,1080960,0,1,4,1147660,1,0,5,1423320,1,0,5,1423320,0,0
하계종합사회복지관,116826,22,6106760,2,1,21,5905160,0,2,20,5712640,1,3,18,5116300,1,3,19,5108020,4,1,20,5357040,2,0,20,5357040,0,2,19,5164280,1,0,21,6145380,2,0,21,6145380,0,1,20,5904720,0,0,21,6138000,1,1
하계현대어린이집,168800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2464600,1,0,12,2540020,0,0,12,2540020,0,0,12,2540020,0,1,11,2441020,0,0
하고디자인,220868,3,1127240,0,0,3,1127240,0,0,3,1127240,0,0,3,1127240,0,1,,,,,,,,,,,,,3,1161260,1,0,3,1324520,0,0,3,1324520,0,0,3,1324520,0,0,3,1324520,0,0
하고잡,264810,4,805560,0,0,4,805560,0,0,4,805560,0,0,4,805560,0,0,4,805560,0,0,4,805560,0,0,4,805560,0,0,4,805560,0,0,4,1132640,0,0,4,1132640,0,0,5,1705940,1,0,5,1705940,0,0
하고잡,264810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2895300,10,5,5,1687500,0,0,5,1755000,0,1,4,1593000,0,0,5,1066500,1,5
하고잡,264810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2241000,6,3,4,776240,1,4
하광,444880,5,1238820,0,0,5,1238820,0,0,5,1238820,0,0,5,1238820,0,0,6,1427820,1,0,6,1427820,0,0,6,1427820,0,1,6,1436820,1,0,6,1430800,0,0,6,1430800,0,0,6,1430800,0,2,7,1623140,3,0
하귀농업협동조합,616820,162,64716640,0,0,162,64716640,0,1,161,64380220,0,1,160,63910340,0,1,159,63639180,0,1,159,63683820,1,0,159,63683820,0,0,159,63683820,0,1,159,66808980,1,1,161,67359960,3,1,160,67067920,0,0,161,67364920,1,1
하귀농업협동조합경제사업장,616822,14,2484080,5,1,18,3222080,5,0,23,4023080,5,1,26,4365080,4,11,16,2844080,1,5,11,1962080,0,10,,,,,3,477080,2,2,,,,,,,,,8,1467440,7,0,10,1872440,2,0
하귀농협하나로마트,616822,8,1144880,0,1,9,1315880,2,1,12,1846880,4,1,12,1846880,1,1,16,2530880,5,6,11,1756880,1,1,12,1918880,2,0,12,1918880,0,1,12,1968120,1,3,10,1530000,1,1,11,1791000,2,0,13,1971000,2,5
하귀수영장,306143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1560760,1,1,,,,,11,1760740,2,0
하귀어린이집,616820,14,2756980,0,0,15,2853100,1,0,15,2853100,0,0,15,2853100,0,1,14,2560880,0,0,15,2655640,1,0,15,2655640,0,0,15,2655640,0,0,16,2918540,1,1,16,2918080,1,0,16,2918080,0,1,16,2990180,1,1
하귀일초등학교,616830,3,883800,0,0,3,883800,0,0,3,883800,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,812600,2,0,3,812600,0,0
하귀초등학교,616830,5,1485000,0,5,,,,,,,,,,,,,,,,,5,1179000,5,0,5,1179000,0,0,5,1179000,0,0,5,1179000,0,0,5,1179000,0,0,6,1494000,1,1,6,1494000,1,0
하귀휴먼시아2단지입주자대표회의,502829,4,1019060,0,0,4,1019060,0,0,4,1019060,0,0,4,1019060,0,0,4,1019060,0,0,4,1019060,0,0,4,1019060,0,0,4,1019060,0,1,3,755720,0,0,4,1047320,1,0,4,1047320,0,0,4,1047320,0,0
하귀휴먼시아어린이집,616801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2134780,1,0,11,2202440,0,0,11,2202440,0,1,10,2009580,0,0,10,2009580,0,0
하기,131862,3,1219920,0,0,3,1219920,0,0,3,1219920,0,0,3,1219920,0,0,3,1219920,0,0,3,1219920,0,0,3,1219920,0,0,3,1219920,0,0,3,1294360,0,0,3,1294360,0,0,3,1294360,0,0,3,1294360,0,0
하기소닉,314813,4,960740,0,0,4,960740,0,0,4,960740,0,0,4,960740,0,0,4,960740,0,0,4,960740,0,0,4,960740,0,0,4,960740,0,0,4,958840,0,0,4,958840,0,0,4,958840,0,0,4,958840,0,0
하기와라전기한국주식회사,214887,4,1680560,0,0,4,1680560,0,0,4,1680560,0,0,4,1680560,0,0,4,1680560,0,0,4,1680560,0,0,4,1680560,0,0,4,1680560,0,0,4,1816000,0,0,4,1816000,0,0,4,1816000,0,0,4,1816000,0,0
하길고등학교,366830,27,7714380,0,0,27,7714380,0,0,27,7714380,0,0,27,7714380,0,6,26,7733040,5,0,27,7967040,1,0,27,7967040,0,0,27,7967040,0,1,27,7992820,1,0,27,7992820,0,1,26,7693840,0,0,26,7693840,0,0
하길유치원,372830,15,3829200,1,0,15,3829200,0,1,21,4648200,7,0,21,4648200,0,13,14,3982380,6,0,15,4432380,1,0,15,4432380,0,0,15,4432380,0,0,18,5482120,3,0,18,5482120,0,1,19,5990260,3,0,20,6192480,1,0
하길중학교,143830,33,9861460,0,0,33,9861460,0,0,33,9861460,0,0,33,9861460,0,7,32,10006140,6,1,34,10053280,3,2,32,9944040,0,0,32,9944040,0,0,32,10308000,0,0,32,10308000,0,0,34,11014500,2,1,33,10793200,0,0
하길초등학교,279830,33,7853460,1,0,34,8078460,1,1,34,8108160,1,2,32,7568160,0,7,35,8296920,10,1,35,8305920,1,1,35,8405820,1,1,35,8380440,1,2,34,8485060,1,1,34,8411900,1,5,29,7285020,0,1,31,7816020,3,3
하꼬호꼬,619880,4,1507200,0,1,3,974680,0,0,3,974680,0,0,3,974680,0,0,4,1159180,1,0,4,1159180,0,0,4,1159180,0,1,3,974680,0,0,3,1075380,0,0,3,1075380,0,0,3,1075380,0,0,3,1075380,0,0
하꾸주코리아,114819,8,2669840,0,0,8,2669840,0,0,8,2669840,0,0,9,2903840,1,0,9,2903840,0,0,9,2903840,0,0,11,3362840,2,0,12,3569840,1,0,12,3683120,0,0,12,3683120,0,2,10,3248960,0,0,10,3248960,0,0
